
"REG_ADM","ANNEE","MOIS","TYPE","NOMBRE"
"16-MONTEREGIE                    ","2014","01","01 - Nombre d'inspections",414
"01-BAS-SAINT-LAURENT             ","2014","01","01 - Nombre d'inspections",135
"07-OUTAOUAIS                     ","2014","01","01 - Nombre d'inspections",148
"15-LAURENTIDES                   ","2014","01","01 - Nombre d'inspections",218
"12-CHAUDIERE-APPALACHES          ","2014","01","01 - Nombre d'inspections",166
"11-GASPESIE--ILES-DE-LA-MADELEINE","2014","01","01 - Nombre d'inspections",72
"05-ESTRIE                        ","2014","01","01 - Nombre d'inspections",169
"13-LAVAL                         ","2014","01","01 - Nombre d'inspections",149
"09-COTE-NORD                     ","2014","01","01 - Nombre d'inspections",47
"04-MAURICIE                      ","2014","01","01 - Nombre d'inspections",120
"03-CAPITALE-NATIONALE            ","2014","01","01 - Nombre d'inspections",290
"14-LANAUDIERE                    ","2014","01","01 - Nombre d'inspections",153
"08-ABITIBI-TEMISCAMINGUE         ","2014","01","01 - Nombre d'inspections",66
"02-SAGUENAY--LAC-SAINT-JEAN      ","2014","01","01 - Nombre d'inspections",97
"17-CENTRE-DU-QUEBEC              ","2014","01","01 - Nombre d'inspections",86
"15-LAURENTIDES                   ","2014","01","02 - Nombre d'avis de non-conformite",33
"14-LANAUDIERE                    ","2014","01","02 - Nombre d'avis de non-conformite",16
"13-LAVAL                         ","2014","01","02 - Nombre d'avis de non-conformite",36
"12-CHAUDIERE-APPALACHES          ","2014","01","02 - Nombre d'avis de non-conformite",28
"11-GASPESIE--ILES-DE-LA-MADELEINE","2014","01","02 - Nombre d'avis de non-conformite",8
"09-COTE-NORD                     ","2014","01","02 - Nombre d'avis de non-conformite",7
"08-ABITIBI-TEMISCAMINGUE         ","2014","01","02 - Nombre d'avis de non-conformite",7
"07-OUTAOUAIS                     ","2014","01","02 - Nombre d'avis de non-conformite",26
"05-ESTRIE                        ","2014","01","02 - Nombre d'avis de non-conformite",35
"04-MAURICIE                      ","2014","01","02 - Nombre d'avis de non-conformite",9
"03-CAPITALE-NATIONALE            ","2014","01","02 - Nombre d'avis de non-conformite",44
"02-SAGUENAY--LAC-SAINT-JEAN      ","2014","01","02 - Nombre d'avis de non-conformite",14
"01-BAS-SAINT-LAURENT             ","2014","01","02 - Nombre d'avis de non-conformite",11
"17-CENTRE-DU-QUEBEC              ","2014","01","02 - Nombre d'avis de non-conformite",8
"16-MONTEREGIE                    ","2014","01","02 - Nombre d'avis de non-conformite",48
"07-OUTAOUAIS                     ","2014","01","03 - Nombre d'infractions constatees",35
"14-LANAUDIERE                    ","2014","01","03 - Nombre d'infractions constatees",21
"16-MONTEREGIE                    ","2014","01","03 - Nombre d'infractions constatees",61
"15-LAURENTIDES                   ","2014","01","03 - Nombre d'infractions constatees",40
"17-CENTRE-DU-QUEBEC              ","2014","01","03 - Nombre d'infractions constatees",9
"08-ABITIBI-TEMISCAMINGUE         ","2014","01","03 - Nombre d'infractions constatees",9
"01-BAS-SAINT-LAURENT             ","2014","01","03 - Nombre d'infractions constatees",16
