MUNID|MAT_CAT|MAT_NOM|TYPE_COL|DESC_COL|INFO
43027|Autre|Tous produits biomédicaux|A|Autres - Matières spécifiques|CLSC ou pharmacie. Ex.: seringues, aiguilles, tubulures, etc.
43027|Autre|Vêtements et Autre textiles|A|Autres - Matières spécifiques|Comptoirs vestimentaires, friperies
43027|Autre|Objets encombrants|S|Collectes spéciales|Aller à https://sherbrooke.ca/encombrants et remplir le formulaire lorsque disponible
43027|Autre|Autocollants plastifiés|D|Bac pour les déchets|
43027|Autre|Sacs ou enveloppes composés de plusieurs matières|D|Bac pour les déchets|Mélange daluminium, de plastique et de papie. Ex.: sacs de croustilles ou chips, sacs de biscuits, emballages de barres tendres, de chocolat, de gomme à mâcher ou de nourriture pour animaux, etc.
43027|Autre|Décorations électriques|D|Bac pour les déchets|
43027|Autre|Ballons|D|Bac pour les déchets|
43027|Autre|Jeux gonflables|D|Bac pour les déchets|
43027|Autre|Emballage de ballots de foin|D|Bac pour les déchets|
43027|Autre|Gants de latex|D|Bac pour les déchets|
43027|Autre|Guirlandes de Noël|D|Bac pour les déchets|
43027|Autre|Sacs et poches tissés|D|Bac pour les déchets|Ex. : poches de moulée
43027|Autre|Emballages composés de plusieurs matières|D|Bac pour les déchets|Mélange daluminium, de plastique et de papie. Ex.: emballages de barres tendres, de chocolat, de gomme à mâcher ou de nourriture pour animaux, etc.
43027|Autre|Balles de golf|D|Bac pour les déchets|
43027|Autre|Balles de tennis|D|Bac pour les déchets|
43027|Autre|Balles de baseball|D|Bac pour les déchets|
43027|Autre|Tubes de dentifrice|D|Bac pour les déchets|
43027|Autre|Tuyaux darrosage|D|Bac pour les déchets|
43027|Autre|Porcelaine|O|Apporter aux écocentres ou Collectes spéciales|
43027|Autre|Céramique|O|Apporter aux écocentres |
43027|Autre|Tubes fluorescents|O|Apporter aux écocentres ou collecte de résidus domestiques dangereux|
43027|Autre|Vaisselle|D|Bac pour les déchets|
43027|Autre|Bouchon de liège|D|Bac pour les déchets|
43027|Autre|Charpie de sécheuse|D|Bac pour les déchets|
43027|Autre|Feuilles assouplisantes|D|Bac pour les déchets|
43027|Autre|Cire|D|Bac pour les déchets|
43027|Autre|Coton-tiges|D|Bac pour les déchets|
43027|Autre|Feuilles jetables de balai|D|Bac pour les déchets|
