ID,Municipal,Secteur,Jour,Precision,Frequence,Remarques,TypeDechet,LONGITUDE,LATITUDE
6,Repentigny,F,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/matieres-organiques-a-venir/faq.html,Hebdomadaire,"La collecte des mati�res organiques � Repentigny d�butera en octobre 2018. � partir du 20 novembre 2018, la collecte ne sera plus hebdomadaire. Elle sera aux deux semaines.",Mati�res organiques,-73.42161172921806,45.76119812871502
2,Repentigny,B,Mardi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/matieres-organiques-a-venir/faq.html,Hebdomadaire,"La collecte des mati�res organiques � Repentigny d�butera en octobre 2018. � partir du 20 novembre 2018, la collecte ne sera plus hebdomadaire. Elle sera aux deux semaines.",Mati�res organiques,-73.46639047788325,45.759190571897804
3,Repentigny,C,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/matieres-organiques-a-venir/faq.html,Hebdomadaire,"La collecte des mati�res organiques � Repentigny d�butera en octobre 2018. � partir du 20 novembre 2018, la collecte ne sera plus hebdomadaire. Elle sera aux deux semaines.",Mati�res organiques,-73.45238222462204,45.762784581564986
4,Repentigny,D,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/matieres-organiques-a-venir/faq.html,Hebdomadaire,"La collecte des mati�res organiques � Repentigny d�butera en octobre 2018. � partir du 20 novembre 2018, la collecte ne sera plus hebdomadaire. Elle sera aux deux semaines.",Mati�res organiques,-73.46182941162034,45.723436778621796
5,Repentigny,E,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/matieres-organiques-a-venir/faq.html,Hebdomadaire,"La collecte des mati�res organiques � Repentigny d�butera en octobre 2018. � partir du 20 novembre 2018, la collecte ne sera plus hebdomadaire. Elle sera aux deux semaines.",Mati�res organiques,-73.43180828832185,45.77039427857954
1,Repentigny,A,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/des-branches.html,Irr�guli�re,,Branches,-73.49850566099552,45.77529746370832
6,Repentigny,F,Mardi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/des-branches.html,Irr�guli�re,,Branches,-73.42161172921806,45.76119812871502
2,Repentigny,B,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/des-branches.html,Irr�guli�re,,Branches,-73.46639047788325,45.759190571897804
3,Repentigny,C,Lundi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/des-branches.html,Irr�guli�re,,Branches,-73.45238222462204,45.762784581564986
4,Repentigny,D,Lundi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/des-branches.html,Irr�guli�re,,Branches,-73.46182941162034,45.723436778621796
5,Repentigny,E,Mardi,http://www.ville.repentigny.qc.ca/vie-citoyenne/collectes-et-ecoparcs/collectes/des-branches.html,Irr�guli�re,,Branches,-73.43180828832185,45.77039427857954
1,Repentigny,A,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/collectes/des-sapins.html,Annuelle,La collecte annuelle a eu lieu le 10 janvier 2018. La date pour 2019 n'est pas encore connue.,Sapins de No�l,-73.49850566099552,45.77529746370832
6,Repentigny,F,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/collectes/des-sapins.html,Annuelle,La collecte annuelle a eu lieu le 10 janvier 2018. La date pour 2019 n'est pas encore connue.,Sapins de No�l,-73.42161172921806,45.76119812871502
2,Repentigny,B,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/collectes/des-sapins.html,Annuelle,La collecte annuelle a eu lieu le 10 janvier 2018. La date pour 2019 n'est pas encore connue.,Sapins de No�l,-73.46639047788325,45.759190571897804
3,Repentigny,C,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/collectes/des-sapins.html,Annuelle,La collecte annuelle a eu lieu le 10 janvier 2018. La date pour 2019 n'est pas encore connue.,Sapins de No�l,-73.45238222462204,45.762784581564986
4,Repentigny,D,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/collectes/des-sapins.html,Annuelle,La collecte annuelle a eu lieu le 10 janvier 2018. La date pour 2019 n'est pas encore connue.,Sapins de No�l,-73.46182941162034,45.723436778621796
5,Repentigny,E,Mercredi,http://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/collectes/des-sapins.html,Annuelle,La collecte annuelle a eu lieu le 10 janvier 2018. La date pour 2019 n'est pas encore connue.,Sapins de No�l,-73.43180828832185,45.77039427857954
