ï»¿Annee,Dette_deficits_cumules_$,Dette_deficits_cumules_%
2023-2024,114 727 000 000,21.0
2022-2023,114 583 000 000,21.5
2021-2022,112 287 000 000,22.6
2020-2021,108 728 000 000,24.2
2019-2020,107 710 000 000,23.4
2018-2019,112 425 000 000,25.6
2017-2018,119 057 000 000,28.4
2016-2017,122 535 000 000,30.7
2015-2016,127 401 000 000,32.9
2014-2015,130 551 000 000,34.6
2013-2014,130 623 000 000,35.7
2012-2013,130 789 000 000,36.8
2011-2012,122 779 000 000,35.5
2010-2011,111 946 000 000,34.0
2009-2010,109 125 000 000,34.6
2008-2009,103 000 000 000,32.7
2007-2008,94 824 000 000,30.9
2006-2007,96 124 000 000,33.0
2005-2006,91 699 000 000,32.6
2004-2005,87 224 000 000,32.0
2003-2004,86 290 000 000,33.2
2002-2003,85 885 000 000,34.3
2001-2002,84 538 000 000,35.3
2000-2001,81 042 000 000,35.1
1999-2000,82 469 000 000,38.2
1998-1999,82 577 000 000,41.1
1997-1998,82 581 000 000,42.7
1996-1997,64 833 000 000,35.0
1995-1996,61 624 000 000,33.9
1994-1995,57 677 000 000,33.0
1993-1994,51 837 000 000,31.4
1992-1993,46 914 000 000,29.1
1991-1992,41 885 000 000,26.5
1990-1991,37 558 000 000,24.0
1989-1990,34 583 000 000,22.9
1988-1989,32 819 000 000,22.8
1987-1988,31 115 000 000,23.6
1986-1987,28 716 000 000,23.9
1985-1986,25 735 000 000,23.3
1984-1985,21 455 000 000,20.8
1983-1984,17 298 000 000,18.3
1982-1983,15 038 000 000,17.2
1981-1982,12 569 000 000,15.2
1980-1981,14 326 000 000,19.2
1979-1980,10 836 000 000,16.2
1978-1979,8 460 000 000,14.2
1977-1978,7 058 000 000,13.1
1976-1977,6 353 000 000,13.0
1975-1976,5 044 000 000,12.1
