ogc_fid,nom_cours_eau,date_observation,commentaire,desc_etat_glace,longueur_embacle,unite_mesure_longueur_embacle,municipalite,source,cap_certitude,cap_type_evenement,cap_severite,cap_etat,cap_portee,cap_urgence,imprecision,coordonnee_x,coordonnee_y,date_creation
"999998",Rivière du loup,1985/02/25,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"300",Inconnue,Saint-Côme–Linière,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Mineure,Actuel,Public,Passée,Localisation,-70.528291,46.059259,Inconnue
"999997",Rivière Chaudière,1985/02/25,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"300",Inconnue,Saint-Martin,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Mineure,Actuel,Public,Passée,Localisation,-70.634721,45.904427,Inconnue
"999996",Rivière Chaudière,1986/05/09,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Baie-Saint-Paul,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Importante,Actuel,Public,Passée,Aucune,-70.50505,47.441635,1986-03-30
"999995",Rivière Montmorency,1986/01/28,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sainte-Brigitte-de-Laval,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.178805,47.007716,1986-01-28
"999994",Rivière Chaudière,1991/03/28,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Georges,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.651962,46.089859,1991-03-28
"999993",Rivière Chaudière,1991/03/29,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Georges,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.689341,46.1293,1991-03-29
"999992",Rivière Beaurivage,1991/04/06,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-71.300774,46.65123,1991-04-06
"999991",Rivière Chaudière,1991/04/07,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beauceville,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-70.776635,46.210619,1991-04-07
"999990",Rivière-à-la-Puce,1991/01/15,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.004133,46.77752,Inconnue
"999989",Rivière aux Chiens,1991/01/16,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Château-Richer,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.960479,47.007552,Inconnue
"999988",Rivière Chaudière,1991/04/09,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beauceville,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Mineure,Actuel,Public,Passée,Localisation,-70.764911,46.198117,1991-04-06
"999987",Rivière Etchemin,1993/03/31,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.2312,46.763307,1993-03-31
"999986",Rivière-aux-Pins,1993/11/30,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Fossambault-sur-le-Lac,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.613548,46.906287,1993-11-27
"999985",Rivière Matane,1993/04/13,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Matane,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Aucune,-67.532262,48.852742,Inconnue
"999984",Rivière Rimouski,1993/04/13,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Rimouski,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-68.53927,48.444499,Inconnue
"999983",Rivière de l'Achigan,1993/03/31,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Roch-de-l'Achigan,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Localisation,-73.579071,45.851657,Inconnue
"999982",Rivière Etchemin,1993/03/30,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Anselme,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-70.982367,46.627171,Inconnue
"999981",Rivière Hamel,1993/04/10,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Éphrem-de-Beauce,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.906036,46.057552,Inconnue
"999980",Rivière Beaudette,1993/04/10,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Rivière-Beaudette,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-74.321131,45.215857,Inconnue
"999979",Rivière Chaudière,1993/04/10,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Scott,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.084596,46.498534,Inconnue
"999978",Rivière Montmorency,1993/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.170945,46.910103,Inconnue
"999977",Rivière Jacques-Cartier,1993/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Gabriel-de-Valcartier,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.485646,46.949173,Inconnue
"999976",Rivière Sainte-Anne,1993/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Léonard-de-Portneuf,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.869764,46.861959,Inconnue
"999975",Rivière Sainte-Anne,1993/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Raymond,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.836173,46.889863,Inconnue
"999974",Rivière Etchemin,1993/04/10,"Journal de québec,samedi10avril1993,Inondations:gare aux embâcles,Michel Dufour",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Mineure,Actuel,Public,Passée,Aucune,-71.230444,46.760556,Inconnue
"999973",Rivière Sainte-Anne,1993/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Raymond,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.83427,46.893312,Inconnue
"999972",Rivière-du-Gouffre,1993/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Baie-Saint-Paul,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.503596,47.443688,Inconnue
"999971",Rivière Chaudière,1993/03/31,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Lambert-de-Lauzon,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.239737,46.626885,Inconnue
"999970",Rivière Chaudière,1993/01/06,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"6000",Inconnue,Beauceville,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.809497,46.237133,Inconnue
"999969",Rivière Montmorency,1992/03/12,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"1000",Inconnue,Sainte-Brigitte-de-Laval,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Importante,Actuel,Public,Passée,Aucune,-71.197846,46.954759,1992-03-12
"999968",Rivière Saint-Anne-du-Nord,1992/03/12,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beaupré,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Mineure,Actuel,Public,Passée,Aucune,-70.883018,47.048752,1992-03-12
"999967",Rivière Montmorency,1992/03/12,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sainte-Brigitte-de-Laval,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Importante,Actuel,Public,Passée,Aucune,-71.203039,46.962229,1992-03-12
"999966",Rivière Chaudière,1992/03/30,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Georges,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-70.707015,46.135283,1992-03-30
"999965",Rivière-aux-Chiens,1992/03/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sainte-Anne-de-Beaupré,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.965506,47.010461,1992-03-11
"999964",Rivière Montmorency,1992/03/12,École évacuée,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"1000",Inconnue,Sainte-Brigitte-de-Laval,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Importante,Actuel,Public,Passée,Aucune,-71.197846,46.954759,1992-03-12
"999963",Rivière Saint-Anne,1992/03/12,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beaupré,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.88756,47.053074,1992-03-12
"999962",Rivière Montmorency,1992/03/13,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.173543,46.908731,1992-03-13
"999961",Rivière Saint-Anne,1992/03/13,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Raymond,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.820025,46.920063,1992-03-13
"999960",Rivière Beaurivage,1992/04/20,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.309526,46.648769,1992-04-20
"999959",Rivière Jacques-Cartier,1992/04/22,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Stoneham-et-Tewkesbury,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.427039,47.061611,1992-04-22
"999958",Rivière Sainte-Anne,1994/04/17,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Raymond,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.833629,46.893664,Inconnue
"999957",Rivière Montmorency,1994/04/17,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.194331,46.930636,Inconnue
"999956",Rivière Jacques-Cartier,1994/04/17,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Gabriel-de-Valcartier,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.483279,47.009277,Inconnue
"999955",Rivière Chaudière,1994/04/12,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Lambert-de-Lauzon,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.234854,46.629659,1994-04-12
"999954",Rivière Saint-Jean,1994/04/20,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,L'Anse-Saint-Jean,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-70.389531,48.163196,Inconnue
"999953",Rivière Saint-Jean,1994/04/20,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,L'Anse-Saint-Jean,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.19983,48.236337,Inconnue
