OBJECTID,MUNICIPALITE,NOM,TYPE,ADRESSE,WEB,COURRIEL,INFORMATIO,A_INFO_PHO,PHONE_A,B_INFO_PHO,PHONE_B,TYPE_SITE,XNAD83MTM6,YNAD83MTM6,GEOM
1,10043,Plaza Arthur-Buies,,"411, avenue Sirois, Rimouski (Qc)", , , , ,418-722-8122, , ,Attrait touristique et point d'intérêt,229146.9222,5366641.0276,Point
2,10043,Cité des achats,, , , , , , , , ,Attrait touristique et point d'intérêt,231008.8457,5368827.729,Point
3,10043,La Grande Place,,"80, rue Saint-Germain Est, Rimouski (Qc) G5L 3H8", , , , , , , ,Attrait touristique et point d'intérêt,228934.1935,5368755.4941,Point
4,10043,Bureau d'information touristique de Rimouski,"Bureaux d’arrondissement, les points de service et les hôtels de ville","50, Rue St-Germain Ouest",http://tourismerimouski.com/,inforiki@tourisme-rimouski.org,<u>Horaire</u>:<br/>Du 4 mai au 12 juin 2015:; du lundi au vendredi de 9 h à 16 h 30<br/><br/>Du 15 juin au 6 septembre 2015 :; tous les jours de 8 h 30 à 19 h 30.<br/><br/>Du 7 septembre au 11 octobre 2015 :; en semaine : 8 h 30 à 17 h 30;; samedi et,Informations :,418 723-2322, , ,Service / Édifice municipal,228578.4126,5368515.2601,Point
5,10043,Musée régional de Rimouski,"Centres culturels, de loisirs, récréatifs et sportifs","35, rue Saint-Germain Ouest",http://www.museerimouski.qc.ca,info@museerimouski.qc.ca,"<u>Horaire</u> :<br/>Du 15 juin au 6 septembre 2015 :; tous les jours de 9 h 30 à 18 h<br/> Du 7 septembre 2015 au 12 juin 2016 :;  du mercredi au dimanche de 12 h à 17 h<br/>( jusqu’à 20 h le jeudi)<br/><br/><u>Coûts</u> :;  adultes: 6 $; enfants,",Informations (poste 102):,418 724-2272, , ,Attrait touristique et point d'intérêt,228674.5414,5368493.1442,Point
6,10043,Hôtel de ville,"Bureaux d’arrondissement, les points de service et les hôtels de ville","205, avenue de la Cathédrale",http://www.ville.rimouski.qc.ca/, , ,Accueil et renseignement généraux:,418 723-3313, , ,Service / Édifice municipal,228966.5758,5368351.3834,Point
7,10043,Le Carrefour Rimouski,,"419, Boul. Jessop, Rimouski (Qc) G5L 7Y5", , , , ,418-722-8666, , ,Attrait touristique et point d'intérêt,229926.9565,5370377.6173,Point
8,10043,Centre communautaire Sacré-Coeur,"Centres culturels, de loisirs, récréatifs et sportifs","148, rue du Rocher-Blanc",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité de 135 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; 1 patinoire extérieure asphaltée et éclairée.; 4 paniers de basketball situés à la patinoire.; 1 terrain de soccer.; 1 espace vert multi,Réservation de salle :,418 725-8776,Patinoire:,418 724-3274,Centre communautaire,224048.8994,5366101.57,Point
9,10043,Colisée Financière SunLife,"Centres culturels, de loisirs, récréatifs et sportifs","111, 2e Rue Ouest", , ,"Aréna de 4 300 sièges.; Superficie de glace de 85 par 200 pieds.; Possibilité de faire de la marche ou de la course à pied en périphérie des gradins<br/><br/><u>Patinage libre (pour tous) 1,25 $</u>:; les samedi de 18 h 55 à 19 h 55.; les dimanche",Horaire des activités :,418 724-3217,Administration :,418 724-3229,Parc et équipement,229310.0352,5367476.965,Point
10,10043,Les Galeries GP,,"92, 2e Rue ouest, Rimouski, (Qc) G5L 8B3", , , , ,418-775-2546, , ,Attrait touristique et point d'intérêt,229214.4913,5367662.4411,Point
