NOM_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,SOUS_TYPE_CLIENT_PARTENAIRE,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE,RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LATITUDE,LONGITUDE,TELEPHONE,URL_WEB
Conseil de développement culturel du Centre-du-Québec,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,17600,rue Béliveau,Bécancour,17,Centre-du-Québec,Québec,Canada,G9H 0M4,46.271826040513929,-72.512328542457539,819-606-0313,http://www.culturecdq.ca/
Conseil de la culture de l'Abitibi-Témiscamingue,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,150,avenue du Lac,Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J9X 4N5,48.239203110225176,-79.018097017872378,819-764-9511,http://ccat.qc.ca/
Conseil de la culture de la Gaspésie,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,169,avenue de Grand-Pré,Bonaventure,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0C 1E0,48.049591397983491,-65.484309991140947,418-534-4139,http://www.culturegaspesie.org/
Conseil de la culture de Lanaudière,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,165,rue Lajoie Sud,Joliette,14,Lanaudière,Québec,Canada,J6E 5K9,46.022396797001193,-73.439044929969128,450-753-7444,http://www.culturelanaudiere.qc.ca/accueil
Conseil de la culture de la région de Québec,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,310,boulevard Langelier,Québec,3,Capitale-Nationale,Québec,Canada,G1K 5N3,46.813278578790865,-71.232131419993124,418-523-1333,http://www.culture-quebec.qc.ca/
Conseil de la culture de l'Estrie,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,17,rue Belvédère Nord,Sherbrooke,5,Estrie,Québec,Canada,J1H 4A7,45.398835896168485,-71.897357600027945,819-563-2744,http://www.cultureestrie.org/
Conseil de la culture des Laurentides,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,223,rue Saint-Georges,Saint-Jérôme,15,Laurentides,Québec,Canada,J7Z 5A1,45.774254459719877,-74.00242579591368,450-432-2425,http://www.culturelaurentides.com/
Conseil de la culture du Bas-Saint-Laurent,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,88,rue Saint-Germain Ouest,Rimouski,1,Bas-Saint-Laurent,Québec,Canada,G5L 4B5,48.449936151461422,-68.532240636869346,418-722-6246,http://crcbsl.org/
Conseil de la culture et des communications de la Mauricie,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,25,rue des Forges,Trois-Rivières,4,Mauricie,Québec,Canada,G9A 6A7,46.341367135457624,-72.539522851843245,819-374-3242,http://www.culturemauricie.ca/
Conseil montérégien de la culture et des communications,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,80,rue Saint-Laurent Ouest,Longueuil,16,Montérégie,Québec,Canada,J4H 1L8,45.538399153717478,-73.505646866504051,450-651-0694,https://www.culturemonteregie.qc.ca/
Conseil régional de la culture de l'Outaouais (C.R.C.O.),Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,432,boulevard Alexandre-Taché,Gatineau,7,Outaouais,Québec,Canada,J9A1M7,45.421203195211739,-75.748439743606241,819-595-2601,http://www.cultureoutaouais.com/
"Conseil régional de la culture du Saguenay - Lac-Saint-Jean, Chibougamau, Chapais inc.",Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,1640,avenue Hamilton Est,Alma,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G8B 4Z1,48.580429590979726,-71.629026560236639,418-662-6623,http://culturesaguenaylacsaintjean.ca/
Conseil régional de la culture et des communications de la Côte-Nord,Organisme de regroupement,Soutenu,Organismes de regroupement,Conseil régional de la culture,Champ multiple,Secteurs multiples ou autres,22,place La Salle,Baie-Comeau,9,Côte-Nord,Québec,Canada,G4Z 1K3,49.220724140475568,-68.152028275007069,418-296-1450,http://www.culturecotenord.com/
