,Liste des bons de commandes approuvés pour le mois de novembre  2021,,,,,
Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de l'entente,Description,Montant
,commande,d'approbation,,,,de l'engagement
"Baudin, Cyril",1502629,11/16/21,Eco-Graffiti Inc,,Produits de peinture,"8 084,04 $"
,1504391,11/25/21,Entreprises Forlini,,Vêtements de travail,"162,73 $"
,1504380,11/25/21,Entretien Mana Inc.,,Service - Entretien d'immeuble,"1 930,47 $"
,1500228,11/02/21,Groupe Trium Inc.,,Accessoires vestimentaires,"2 790,82 $"
,1503831,11/23/21,Motorola Solutions Canada Inc,,Produits électroniques,"1 724,61 $"
,1502996,11/17/21,Multi-Pressions L.C. Inc.,,Réparation/Entretien - Appareil d'entretien,"133,49 $"
,1449150,11/18/21,Regard Sécurité,1255847,Équipement de protection,"155,00 $"
,1498815,11/04/21,Remorquage Burstall Conrad,,Location - Remorque motorisée,"648,30 $"
,1422267,11/26/21,St-Germain Égouts Et Aqueducs Inc.,,"Puisard, chambre de vanne, trou d'homme et regard","2 653,14 $"
,1487380,11/02/21,Tenaquip Limited,,Accessoires et pièces de remplacement pour outil,"49,86 $"
,1500845,11/04/21,Tenaquip Limited,,Produits d'entretien ménager,"180,84 $"
,,,,,,"18 513,30 $"
"Bédard, Lucie",1502912,11/17/21,Compugen Inc.,,Logiciel et progiciel,"42,79 $"
,1464476,11/15/21,Vinacoustik Inc.,,Conseiller - Protection et contrôle de la qualité de l'air,"4 199,50 $"
,,,,,,"4 242,29 $"
"Boutin, Pierre",1450287,11/02/21,Enviroservices Inc,1408088,Service - Analyse et essai en laboratoire,"3 674,56 $"
,1474387,11/15/21,Gfl Environnemental Inc.,1408749,Location - Toilette chimique,"69,82 $"
,1501673,11/10/21,Location Lordbec Inc.,,Entrepreneur en routes et canalisation-branchement d'égout,"19 716,65 $"
,1466283,11/15/21,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","3 548,58 $"
,1472701,11/15/21,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","2 782,17 $"
,1504157,11/24/21,Société Environnementale Côte-Des-Neiges,,Frais - Consultation publique,"13 206,90 $"
,1501195,11/08/21,Transvrac Montréal Laval Inc.,,Service - Transport de matières en vrac,"21 912,81 $"
,1500375,11/03/21,United Rentals Du Canada,,Outils électriques,"9 637,64 $"
,,,,,,"74 549,13 $"
"Chamberot, Robert",1501345,11/09/21,Affichage SST,,Matériel pour communication graphique,"121,79 $"
,1501342,11/09/21,Premiers Soins Plus (6669409 Canada Inc),,Fournitures et matériel médical,"128,92 $"
,1504912,11/29/21,Uline Canada Corp,,Table de conférence,"1 452,89 $"
