,Liste des bons de commandes approuvés pour le mois de décembre  2021,,,,,
Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de l'entente,Description,Montant
,commande,d'approbation,,,,de l'engagement
"Baudin, Cyril",1506212,12/08/21,Clean Harbors Québec Inc,,Service - Traitement/valorisation de matières dangereuses,"5 870,90 $"
,1507698,12/13/21,Clifford Underwood Hydraulique Ltée.,,Équipement - Véhicule et appareil,"3 622,07 $"
,1508513,12/16/21,Clôture Sécur,,"Clôture, barricade","5 958,04 $"
,1507568,12/13/21,Entretien Mana Inc.,1302198,Service - Entretien d'immeuble,"4 688,43 $"
,1488644,12/10/21,Lave Auto 88 Inc.,,Service - Lavage de véhicules,"2 047,25 $"
,1507013,12/09/21,Machinerie Plus Ltée,,Réparation/Entretien - Machine et équipement de construction,"3 762,58 $"
,1454821,12/08/21,Multi-Pressions L.C. Inc.,,Réparation/Entretien - Appareil d'entretien,"1 049,87 $"
,1507596,12/13/21,Regard Sécurité,,Accessoires vestimentaires,"200,00 $"
,,,,,,"27 199,14 $"
"Bédard, Lucie",1509290,12/22/21,Northern Micro,,Ordinateurs et accessoires,"4 015,77 $"
,1493897,12/08/21,"Paquette & Associés, Huissiers De Justice S.E.N.C.R.L.",,Huissier de justice,"12 684,59 $"
,,,,,,"16 700,36 $"
"Boutin, Pierre",1450287,12/16/21,Enviroservices Inc,1408088,Service - Analyse et essai en laboratoire,"2 624,69 $"
,1466291,12/20/21,La Compagnie De Location D'Autos Enterprise Canada.,,"Location - Automobile, camionnette et fourgonnette","2 309,72 $"
,1497601,12/20/21,La Compagnie De Location D'Autos Enterprise Canada.,,"Location - Automobile, camionnette et fourgonnette","1 102,37 $"
,,,,,,"6 036,78 $"
"Brousseau, Hélène",1508631,12/17/21,Addison Électronique Montréal,,Ordinateur et accessoire,"691,28 $"
,,,,,,"691,28 $"
"Chamberot, Robert",1506195,12/06/21,Brault & Bouthillier Ltée,,"Matériel pour loisir, jeu","389,86 $"
,1494300,12/14/21,Compugen Inc.,1469292,Ordinateur et accessoire,"886,30 $"
,1506445,12/07/21,,1469292,Ordinateur et accessoire,"1 045,50 $"
,1506477,12/07/21,,1469292,Ordinateur et accessoire,"1 171,51 $"
,1507390,12/10/21,Groupe Archambault Inc.,,"Matériel pour loisir, jeu","683,58 $"
,1506839,12/08/21,Magasins Best Buy Ltée,,Appareil électronique,"504,97 $"
,1508309,12/16/21,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","2 815,77 $"
,1508497,12/16/21,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","477,79 $"
,,,,,,"7 975,28 $"
