,Liste des bons de commandes approuvés pour le mois de septembre 2021,,,,,
Approbateur,Numéro bon ,Date ,,Numéro de l'entente,Description,Montant
,commande,d'approbation,,,,de l'engagement
"Baudin, Cyril",1488427,09/22/21,9373-5942 Québec Inc.,1479638,Signalisation routière,"1 411,98 $"
,1493795,09/24/21,Addison Électronique Montréal,,Ordinateur et accessoire,"178,27 $"
,1493220,09/22/21,Association Québecoise  Des Transports,,Service - Formation en développement organisationnel et technique,"1 729,46 $"
,1490467,09/03/21,Chaussures Belmont Inc,,"Bottes, souliers et couvres-chaussure","293,94 $"
,1494549,09/29/21,,,"Bottes, souliers et couvres-chaussure","146,97 $"
,1492985,09/21/21,Compugen Inc.,1469292,Ordinateur et accessoire,"2 741,02 $"
,1493485,09/23/21,,1469292,Ordinateur et accessoire,"388,45 $"
,1492975,09/21/21,Eco-Graffiti Inc,,"Décapant, dissolvant","7 874,06 $"
,1493511,09/23/21,Entreprises Forlini-Division Équipement De Sécurité Universel Inc.,,"Bottes, souliers et couvres-chaussure","264,48 $"
,1490250,09/02/21,Groupe Trium Inc.,,Vêtements de travail,"1 080,34 $"
,1493476,09/23/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"873,50 $"
,1490474,09/03/21,La Maison Du Peintre,,Outils manuels,"301,46 $"
,1494414,09/29/21,Multi-Pressions L.C. Inc.,,Produits de soudure,"157,38 $"
,1490478,09/03/21,Ppg Revetements Architecturaux Canada Inc.,,Peinture - aérosol,"1 379,75 $"
,1493823,09/24/21,Produits Sany,,Équipement d'entretien manuel,"1 391,62 $"
,1492785,09/20/21,William Scully Limitée,,"Service - Infographie, graphisme","148,76 $"
,,,,,,"20 361,44 $"
"Boutin, Pierre",1494434,09/29/21,Groupe S.D.,,Borne d'incendie,"22 047,37 $"
,1494386,09/29/21,P2K Montréal,,Entrepreneur en routes et canalisation,"22 047,37 $"
,,,,,,"44 094,74 $"
"Brousseau, Hélène",1492718,09/20/21,Compugen Inc.,1469292,Ordinateur et accessoire,"3 571,42 $"
,,,,,,"3 571,42 $"
"Chamberot, Robert",1493468,09/23/21,Biblio Rpl Ltée,,"Articles, accessoires et équipement de bureau","2 036,60 $"
,1494300,09/28/21,Compugen Inc.,1469292,Ordinateur et accessoire,"886,30 $"
,1494546,09/29/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"225,72 $"
,1493038,09/21/21,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","267,27 $"
,1491744,09/14/21,Rouleaux De Papier & Rubans J.L. Inc.,,Articles de papeterie,"734,92 $"
,1492673,09/20/21,Uline Canada Corp,,"Articles, accessoires et équipement de bureau","639,41 $"
,,,,,,"4 790,22 $"
"Desjardins, Steve",1493213,09/22/21,Les Instruments I.T.M. Inc./I.T.M. Instruments Inc.,,"Réparation/Entretien - Équipement de détection, inspection","1 154,86 $"
,1455953,09/15/21,Mp Réproductions Inc.,,"Service - Infographie, graphisme","199,48 $"
,,,,,,"1 354,34 $"
"Gaudreault, Guylaine",1492138,09/15/21,Excavation Et Construction Gélinas Inc.,,"Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur","1 123,45 $"
,,,,,,"1 123,45 $"
"Gaudreault, Sonia",1487366,09/20/21,Association Skateparks Montréal,,Entrepreneur en travaux d'emplacement,"1 574,81 $"
,1487368,09/20/21,,,Entrepreneur en petits ouvrages de béton,"1 049,87 $"
,1456014,09/01/21,Duoson Multimedia Inc,,Service - Production multimédia,"4 199,50 $"
,1490224,09/01/21,Les Entreprises J-C Beaudet Inc,,Entrepreneur en structures de maçonnerie,"44 753,98 $"
,,,,,,"51 578,16 $"
"Gauthier, Stéphane",1491728,09/14/21,Biblio Rpl Ltée,,Accessoires et fournitures de mobilier de bureau,"1 595,81 $"
,1494550,09/29/21,Machines A Coudre Penelope,,Appareil électronique,"590,64 $"
,1494553,09/29/21,Royal Photo Inc,,"Photocopieur, télécopieur, imprimante et numériseur","1 784,78 $"
,1491731,09/14/21,Uline Canada Corp,,"Articles, accessoires et équipement de bureau","259,51 $"
,,,,,,"4 230,74 $"
"Hardy, Danielle",1492714,09/20/21,Medigestal Inc.,,Conseiller en santé et sécurité,"2 099,75 $"
,1492712,09/20/21,Totalmed Solutions Santé Inc.,,Médecin,"2 099,75 $"
,,,,,,"4 199,50 $"
"Hooper, Chantal",1490204,09/01/21,3289419 Canada (Collins),,Vêtements de travail,"119,06 $"
,1490481,09/03/21,Atelier D'Usinage Innova Precision 2014,,Service - Inspection de véhicules,"341,21 $"
,1490322,09/02/21,Bmr Détail S.E.C.,,Bois de construction,"0,00 $"
,1493894,09/24/21,Bureau En Gros,,Fournitures et matériel médical,"426,18 $"
,1491517,09/13/21,Compugen Inc.,1469292,Ordinateur et accessoire,"2 741,02 $"
,1493073,09/21/21,Esri Canada Limited,,Logiciel et progiciel,"276,94 $"
,1491488,09/13/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"764,31 $"
,1450105,09/22/21,Labrador,1407362,Eau potable - Mesure d'urgence,"8 801,62 $"
,1490153,09/01/21,Location Gamma Inc.,,Refroidissement et chauffage du moteur pour matériel roulant,"1 312,34 $"
,1492125,09/15/21,Montréal Stencil Inc,,"Articles, accessoires et équipement de bureau","21,64 $"
,1483819,09/02/21,Trauma-Secours Inc.,,Service - Formation en santé et sécurité,"1 049,87 $"
,1478496,09/03/21,United Rentals Du Canada,,Service - Transport de colis (Frais de transport),"225,72 $"
,,,,,,"16 079,91 $"
"Limperis, Apostolos Mario",1490440,09/03/21,Les Installations Sportives Agora Inc.,,Équipement de sport,"1 049,87 $"
,1480597,09/29/21,Quincaillerie Sécurité Canada (Qsc),,Produits de cadenassage,"15,75 $"
,1492656,09/20/21,Servi-Glaces 2000,,Service - Nettoyage industriel,"929,14 $"
,,,,,,"1 994,76 $"
"Plante, Stéphane",1491575,09/13/21,Boo! Design Inc.,,"Service - Infographie, graphisme","10 498,75 $"
,1494593,09/29/21,,,Service - Impression,"16 189,07 $"
,1492332,09/16/21,Cosigma Structure Inc.,,Compteur d'eau,"22 677,30 $"
,1494585,09/29/21,Dufresne Standard & Special  Inc.,,"Matériel de fixation, clou, vis","1 474,03 $"
,1491421,09/10/21,Energenia Inc.,,Ingénieur électromécanique,"12 577,50 $"
,1494571,09/29/21,Gestion Bc-A Inc.,,Objet souvenir,"7 874,06 $"
,1491420,09/10/21,Groupe Abs Inc.,,Ingénieur environnement,"11 213,61 $"
,1450136,09/23/21,Loiselle Inc.,1399671,Service - Traitement/valorisation de matériaux de construction,"9 103,46 $"
,1493897,09/24/21,"Paquette & Associes, Huissiers De Justice S.E.N.C.R.L.",,Huissier de justice,"9 973,81 $"
,1442652,09/15/21,"Pivot, Coopérative D'Architecture",,Urbaniste - Aménagement du territoire,"3 674,56 $"
,1478252,09/10/21,Plomberie Denis Paradis Inc,,Entrepreneur en plomberie,"330,71 $"
,1491196,09/09/21,Service Au Fil Des Saisons Inc.,,Service - Aménagement paysager,"6 934,42 $"
,1477624,09/13/21,Socété Canadienne Des Postes,,"Service - Postal, messagerie","3 983,49 $"
,1491419,09/10/21,Technirack,,Entrepreneur en bâtiments de tout genre,"30 793,62 $"
,,,,,,"147 298,39 $"
"Poliseno, Martin",1494562,09/29/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"419,95 $"
,1493822,09/24/21,Multi-Pressions L.C. Inc.,,Pompe et compresseur,"2 219,81 $"
,1492952,09/21/21,Novafor Équipement Inc.,,Vêtements de travail,"708,02 $"
,1492983,09/21/21,Outillages Express,,Accessoires et pièces de remplacement pour outil,"125,36 $"
,1493449,09/23/21,Paysagiste Vision,,"Échelle, escabeau et échafaudage","887,15 $"
,1492933,09/21/21,Produits Sany,1048199,Produits d'entretien ménager,"451,72 $"
,1493035,09/21/21,,1048199,Produits de papier,"668,73 $"
,1492944,09/21/21,Tenaquip Limited,,"Échelle, escabeau et échafaudage","460,10 $"
,1493024,09/21/21,,,Accessoires et pièces de remplacement pour outil,"384,59 $"
,,,,,,"6 325,43 $"
"Rico, Roseline",1490441,09/03/21,Boo! Design Inc.,,Service - Impression,"1 622,06 $"
,1490439,09/03/21,Lamcom Technologies Inc.,,"Guide, brochure et affiche","2 421,64 $"
,1490438,09/03/21,Les Distributions Pierre Larochelle Inc.,,"Classeur, étagère et armoire de rangement","4 892,00 $"
,1493037,09/21/21,Long & Mcquade Limited,,Instrument de musique,"688,67 $"
,1493036,09/21/21,Machines A Coudre Penelope,,Matériel artistique,"301,42 $"
,1480486,09/23/21,Paysagiste Bluesky Inc.,,Service - Aménagement paysager,"524,94 $"
,1452908,09/20/21,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","5 249,37 $"
,,,,,,"15 700,10 $"
"St-Laurent, Sonia",1492772,09/20/21,Compugen Inc.,,Location - Ordinateur et accessoire,"322,67 $"
,,09/20/21,,,Ordinateur et accessoire,"2 320,42 $"
,,,,,,"2 643,09 $"
"Turnblom, Sylvain",1490391,09/02/21,3289419 Canada (Collins),,"Bottes, souliers et couvres-chaussure","157,74 $"
,1493800,09/24/21,9181-0309 Québec Inc.,,Accessoires et pièces de remplacement pour outil,"202,35 $"
,1494537,09/29/21,9181-0309 Québec Inc.,,Outils manuel,"749,61 $"
,1493806,09/24/21,Bf-Tech Inc.,,Outils manuel,"303,33 $"
,1494555,09/29/21,Inolec,,"Matériel de fixation, clou, vis","1 622,06 $"
,1449145,09/21/21,Regard Securite,1255847,Équipement de protection,"162,73 $"
,1492099,09/15/21,St-Germain Égouts Et Aqueducs Inc.,1191511,"Puisard, chambre de vanne, trou d'homme et regard","583,74 $"
,,,,,,"3 781,56 $"
"Varin, Benoit",1492130,09/15/21,Montréal Stencil Inc,,"Articles, accessoires et équipement de bureau","10,82 $"
,,,,,,"10,82 $"
TOTAL,,,,,,"329 138,07 $"
