VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour mai 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,commande,d'approbation,,l'entente,,l'engagement
"Baudin, Cyril",1471799,2021-05-10,3289419 Canada (Collins),,Vêtements de travail,"240,00 $"
,1474445,2021-05-25,,,Vêtements de travail,"115,08 $"
,1469303,2021-05-18,J.A. Larue Inc,,Service - Transport de colis (Frais de transport),"33,07 $"
,1458472,2021-05-13,Le Pro Du Cb Inc,,Appareil de communication,"123,01 $"
,1471802,2021-05-10,Ppg Revetements Architecturaux Canada Inc.,,Accessoires et fournitures de peinture,"1 789,40 $"
,1472103,2021-05-11,Produits Et Services De La Construction (Montreal) Inc.,,Accessoires et fournitures de peinture,"513,60 $"
,1452199,2021-05-11,Produits Sany,,Produits de papier,"177,53 $"
,1473452,2021-05-18,Quincaillerie Notre-Dame De St-Henri Inc.,,"Matériel de fixation, clou, vis","296,00$"
,1449150,2021-05-25,Regard Securite,,Équipement de protection,"402,00$"
,1473787,2021-05-19,Remorquage Burstall Conrad,,Location - Remorque motorisée,"524,94$"
,1470806,2021-05-05,Tenaquip Limited,,Équipement sécurité,"121,58$"
,1472227,2021-05-12,Uline Canada Corp,,Équipement sécurité,"348,55$"
,,,,,,"4 684,76$"
"Beauchemin, Sonia",1474961,2021-05-26,Boris Biberdzic,,Service - Artiste visuel,"5 079,72 $"
,1473020,2021-05-14,Distributions Lg Inc.,,Service - Distribution,"4 199,50 $"
,1458216,2021-05-19,Montreal Stencil Inc,,"Articles, accessoires et équipement de bureau","108,74 $"
,1473001,2021-05-14,Nomadic Display Montreal,,Service - Impression,"955,39 $"
,,,,,,"10 343,35$"
"Bédard, Lucie",1468678,2021-05-21,"Paquette & Associes, Huissiers De Justice S.E.N.C.R.L.",,Huissier de justice,"10 498,75 $"
,1453997,2021-05-27,Societe Canadienne Des Postes,,"Service - Postal, messagerie","8 399,00 $"
,,,,,,"18 897,75$"
"Boutin, Pierre",1472641,2021-05-13,Agence Denis Lepine,,Outil pneumatique,"9 448,87 $"
,1471680,2021-05-10,Enterprise Location D'Autos,,"Location - Automobile, camionnette et fourgonnette","12 640,51 $"
,1472133,2021-05-11,Location Lordbec Inc.,,Entrepreneur en routes et canalisation,"22 504,07 $"
,1472701,2021-05-13,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","9 910,82 $"
,,,,,,"54 504,27 $"
"Chamberot, Robert",1475187,2021-05-27,Flexiseel Canada,,Réparation/Entretien - équipement de bureau,"377,33 $"
,1472457,2021-05-12,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","2 949,19 $"
,,,,,,"3 326,52 $"
"Desjardins, Steve",1473308,2021-05-17,Corporate Express Canada Inc. (Staples Avantage),,Appareil électronique,"1 835,15 $"
,1475272,2021-05-27,Hypertec Systemes Inc,1469336,Ordinateur et accessoire,"238,57 $"
,,,,,,"2 073,72 $"
"Gaudreault, Guylaine",1475274,2021-05-27,Boo! Design Inc.,,Article promotionnel,"614,18 $"
,1471188,2021-05-06,Cloture Secur,,Réparation/Entretien - Porte et fenêtre,"913,39 $"
,1474322,2021-05-21,,,Accessoires de charpente et de clôture,"21 422,70 $"
,1474326,2021-05-21,,,Réparation/Entretien - Porte et fenêtre,"682,42 $"
,1471187,2021-05-06,Construction Piravic Inc.,,Équipement et fourniture pour terrain de jeux,"9 343,73 $"
,1473867,2021-05-19,Echafauds Plus (Laval) Inc,,"Clôture, barricade","6 944,92 $"
,1475504,2021-05-28,Hardy Expert Conseil Inc.,,Entrepreneur en bâtiments de tout genre,"3 464,85 $"
,1475273,2021-05-27,Les Constructions Argozy Inc.,,Service - Aménagement paysager,"21 047,37 $"
,1472309,2021-05-12,Martin Roy Et Ass. Inc.,,Ingénieur électrique,"7 842,57 $"
,1475428,2021-05-28,Materiaux Paysagers Savaria Ltee,1468667,Produits horticoles,"4 329,68 $"
,1463374,2021-05-06,Meta + Forme Paysages Inc.,,Architectes-paysagistes,"1 080,32 $"
,1470837,2021-05-05,Ncl Envirotek Inc,,Conseiller - Protection et contrôle de la qualité du sol,"6 273,00 $"
,1474331,2021-05-21,Techsport Inc.,,Mobilier pour parc récréatif,"1 980,22 $"
,1474318,2021-05-21,Tentes Fiesta Ltee,,Location - Chapiteau,"3 616,82 $"
,,,,,,"89 556,17 $"
"Gaudreault, Sonia",1473952,2021-05-20,Association Des Bibliotheques Publiques Du Quebec,,"Frais - Inscription pour colloque, conférence, séminaire et congrès","1 165,36 $"
,1472872,2021-05-14,Office Municipal D'Habitation De Montreal (Omhm),,"Frais - Permis, frais gouvernemantal","11 885,63 $"
,1474324,2021-05-21,Solutions Trexo Inc.,,Peinture,"11 338,65 $"
,,,,,,"24 389,64 $"
"Hooper, Chantal",1473406,2021-05-18,9181-0309 Quebec Inc.,,Tuyau d'aqueduc,"2 860,33 $"
,1474346,2021-05-21,Arbo-Design Inc.,,"Service - Abattage, émondage, élagage","5 196,88 $"
,1470822,2021-05-05,Compugen Inc.,,Ordinateur et accessoire,"366,41 $"
,1474387,2021-05-21,Gfl Environnemental Inc.,1408749,Location - Toilette chimique (6),"5 039,45 $"
,1474467,2021-05-25,Guay Inc.,,"Location - Véhicule lourd, machinerie lourde et camion avec équipement spécialisé","7 664,09 $"
,1471311,2021-05-07,Les Mousses De L'Estrie Inc.,,Équipement et fourniture pour terrain de jeux,"4 750,68 $"
,1472624,2021-05-13,Location Lordbec Inc.,,Entrepreneur en routes et canalisation,"6 771,69 $"
,1472137,2021-05-11,Materiaux Paysagers Savaria Ltee,1468688,Produits horticoles,"3 657,23 $"
,,,,,,"36 306,76 $"
"Limperis, Apostolos Mario",1475184,2021-05-27,Centaurecom Inc.,,Accessoires vestimentaires,"1 494,81 $"
,1473841,2021-05-19,Chaussures Belmont Inc,1431934,Vêtements de travail,"104,64 $"
,1473209,2021-05-17,L'Empreinte Imprimerie Inc.,,Articles promotionnels,"1 742,80 $"
,1464441,2021-05-12,Produits Sany,,Produits d'entretien ménager,"67,15 $"
,,,,,,"3 409,40 $"
"Plante, Stéphane",1438811,2021-05-21,Aedifica Inc.,,Entrepreneur en structures d'ouvrages de génie civil,"9 301,89 $"
,1471060,2021-05-06,Boo! Design Inc.,,"Service - Infographie, graphisme","1 049,87 $"
,1472619,2021-05-13,C.M.S. Entrepreneurs Generaux Inc.,1411709,Service - Nettoyage place publique,"34 264,77 $"
,1452202,2021-05-27,Construction Piravic Inc.,,Entrepreneur en bâtiments de tout genre,"5 035,20 $"
,1470389,2021-05-06,Electrobac Inc.,,Bac de recyclage et de récupération,"1 574,77 $"
,1470843,2021-05-05,Gbi Experts-Conseils Inc.,,Conseiller - Protection et contrôle de la qualité du sol,"25 821,68 $"
,1472297,2021-05-12,Ghd Consultants Ltee,,Ingénieur - Contrôle qualité,"11 502,85 $"
,1426883,2021-05-06,Induktion Groupe Conseil Inc.,,"Éclairage, lumière","1 574,81 $"
,1475269,2021-05-27,Meubles De Patio Richard Champagne Et Les Produits Nord-Sud,,Mobilier pour espace public et jardin,"20 495,66 $"
,1473387,2021-05-18,Mu,,Service - Artiste visuel,"24 700,00 $"
,1468076,2021-05-20,"Paris, Ladouceur & Associes Inc.",1438947,Évaluateur agréé,"10 498,75 $"
,1442652,2021-05-21,"Pivot, Cooperative D'Architecture",,Urbaniste - Aménagement du territoire,"5 774,31 $"
,1474048,2021-05-20,Prevention Cote-Des-Neiges Notre-Dame-De-Grace,,Peinture,"4 934,41 $"
,1473295,2021-05-17,Serrurier Shay Montreal #1 24/7,,Service - Serrurier,"377,43 $"
,1473798,2021-05-19,Solutions Graffiti - 9181-5084 Quebec Inc,,Service - Nettoyage de graffiti,"40 289,14 $"
,1471692,2021-05-10,Sylvaine Chassay,,"Service - Animation, entraînement","6 000,00 $"
,1474295,2021-05-21,Tessier Recreo-Parc Inc.,,Mobilier pour parc récréatif,"1 968,52 $"
,,,,,,"205 164,06 $"
"Poliseno, Martin",1474577,2021-05-25,Acti-Sol Inc,,Produits horticoles,"882,84 $"
,1474517,2021-05-25,Atelier D'Usinage Innova Precision 2014,,Équipement sécurité,"93,81 $"
,1474073,2021-05-20,Atmosphare Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"198,01 $"
,1470461,2021-05-04,Bmr Detail S.E.C.,,Outils manuels,"186,79 $"
,1472452,2021-05-12,,,"Calfeutrage, scellant, mastic et bouche-pore","541,18 $"
,1473157,2021-05-17,,,Produits d'hygiène corporelle,"281,62 $"
,1470207,2021-05-03,Distribution Sports Loisirs G.P. Inc.,,Accessoires et fournitures de peinture,"639,38 $"
,1472550,2021-05-13,Entreprises Forlini-Division Equipement De Securite Universel Inc.,,Vêtements de travail,"157,32 $"
,1475323,2021-05-28,Equipements Stinson (Quebec) Inc.,,Accessoires et fournitures de peinture,"1 916,19 $"
,1471705,2021-05-10,Gfl Environnemental Inc.,1408749,Location - Toilette chimique,"992,13 $"
,1473190,2021-05-17,,1408749,Location - Toilette chimique,"992,13 $"
,1475485,2021-05-28,,1408749,Location - Toilette chimique,"3 359,60 $"
,1475611,2021-05-31,,1408749,Location - Toilette chimique,"839,90 $"
,1470548,2021-05-05,Jean Guglia & Fils Enr.,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"501,95 $"
,1470418,2021-05-04,Les Equipements D'Arpentage Cansel Inc.,,Location - Appareil électronique,"960,64 $"
,1471805,2021-05-11,Materiaux Paysagers Savaria Ltee,1468667,Produits horticoles,"3 937,03 $"
,1471848,2021-05-10,Motorola Solutions Canada Inc,887030,Appareil de communication,"1 284,57 $"
,1473572,2021-05-18,Multi-Pressions L.C. Inc.,,"Conduit, raccord et finition","297,11 $"
,1470434,2021-05-04,Novafor Equipement Inc.,,Couvre-plancher,"1 574,81 $"
,1470955,2021-05-11,,,Vêtements de travail,"552,98 $"
,1464602,2021-05-28,Pepiniere A. Mucci Inc.,,Produits horticoles,"594,23 $"
,1474099,2021-05-20,Poly-Expert Distribution Inc.,,"Matériel de fixation, clou, vis","44,41 $"
,1474509,2021-05-25,Securite Landry Inc,,Accessoires vestimentaires,"443,56 $"
,1474679,2021-05-25,Vortex Structures Aquatiques Internationales Inc,,Réparation/Entretien - Équipement de sport et terrain de jeux,"3 843,93 $"
,,,,,,"25 116,12 $"
"Reeves, Geneviève",1455051,2021-05-05,"Comaq, Corporation Des Officiers Municipaux Agrees Du Quebec",,"Frais - Inscription pour colloque, conférence, séminaire et congrès","440,95 $"
,1459885,2021-05-12,Duoson Multimedia Inc,,Service - Diffusion,"4 199,50 $"
,1472814,2021-05-14,"Gaudreault, Guylaine",,Réparation/Entretien - Ordinateur et accessoire,"1 008,95 $"
,1472272,2021-05-12,Hypertec Systemes Inc,1469336,Ordinateur et accessoire,"395,59 $"
,1451230,2021-05-12,Les Traductions Terry Knowles Inc.,,"Service - Rédaction, révision","2 099,75 $"
,1451200,2021-05-12,Wolters Kluwer Canada Ltee,,"Guide, brochure et affiche","2 099,75 $"
,,,,,,"10 244,49 $"
"Rico, Roseline",1471431,2021-05-07,Composants Industriels Wajax,,Accessoires et fournitures de mobilier de bureau,"89,93 $"
,1472526,2021-05-13,Fero Transport Inc.,,Service - Transport de valeurs,"892,40 $"
,1472897,2021-05-14,L'Empreinte Imprimerie Inc.,,Service - Impression,"1 469,82 $"
,1473283,2021-05-18,,,Service - Impression,"2 099,75 $"
,1473855,2021-05-19,Machines A Coudre Penelope,,Matériel artistique,"84,20 $"
,1472890,2021-05-14,Peauseidon Eau De Source Naturelle,,Breuvage et nourriture,"419,95 $"
,1472892,2021-05-14,Quincaillerie Cote Des Neiges,,Équipement de scène,"629,92 $"
