VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juin 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,commande,d'approbation,,l'entente,,l'engagement
"Baudin, Cyril",1476541,2021-06-03,9181-0309 Québec Inc.,,Outils pneumatiques,"62,35 $"
,1480632,2021-06-23,Eco-Graffiti Inc,,"Décapant, dissolvant","5 091,89 $"
,1479895,2021-06-21,Lafarge Canada Inc,1402405,Agrégat en vrac,"7 481,41 $"
,1480080,2021-06-22,La Maison Du Peintre,,Accessoires et fournitures de peinture,"2 974,14 $"
,1476631,2021-06-04,Produits Sany,1048199,Produits de papier,"912,34 $"
,1479919,2021-06-21,Produits Sany,1048199,Équipement d'entretien manuel,"129,68 $"
,,,,,,"16 651,81 $"
"Beauchemin, Sonia",1477540,2021-06-09,Enveloppe Laurentide Inc,,Articles de papeterie,"400,00 $"
,1475932,2021-06-01,Lamcom Technologies Inc.,,Service - Impression,"1 611,56 $"
,,,,,,"2 011,56 $"
"Boutin, Pierre",1480032,2021-06-22,Apple Canada Inc,,Ordinateur et accessoire,"209,92 $"
,1465186,2021-06-14,Construction Djl Inc,1338038,"Asphalte, bitume","14 698,25 $"
,1477493,2021-06-09,Fnx-Innov Inc.,,Ingénieur - Gestion de projet,"20 997,00 $"
,1477505,2021-06-09,P2K Montreal,,Entrepreneur en routes et canalisation,"22 047,37 $"
,1478441,2021-06-14,Québec Multiplants,,Produits horticoles,"15 000,09 $"
,,,,,,"72 952,63 $"
"Chamberot, Robert",1477029,2021-06-07,Les Emballages Box Pack,,Équipement et fourniture d'emballage et d'entreposage,"771,66 $"
,1479035,2021-06-16,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","376,42 $"
,,,,,,"1 148,08 $"
"Desjardins, Steve",1476419,2021-06-03,Acklands - Grainger Inc,,Service - Formation en santé et sécurité,"1 157,47 $"
,1473308,2021-06-17,Corporate Express Canada Inc. (Staples Avantage),,Appareil électronique,"153,84 $"
,1453993,2021-06-23,Globex Courrier Express International Inc.,1302177,"Service - Postal, messagerie","209,97 $"
,1452739,2021-06-08,Telus Communications Inc.,,Appareil de communication,"2 099,75 $"
,,,,,,"3 621,03 $"
"Gaudreault, Guylaine",1477391,2021-06-08,Édifice 5160 Decarie Inc.,,"Frais - Transport en commun, taxi, stationnement","16 006,39 $"
,1481258,2021-06-29,Elaine Doyle,,Avocat,"9 000,00 $"
