VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juillet 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,commande,d'approbation,,l'entente,,l'engagement
"Baudin, Cyril",1486137,2021-07-30,3289419 Canada (Collins),,Vêtements de travail,"238,10 $"
,1482969,2021-07-09,9181-0309 Québec Inc.,,Outils à batterie,"600,51 $"
,1486134,2021-07-30,Aerochem Inc.,,Produits d'entretien ménager,"1 923,37 $"
,1482391,2021-07-07,Coopérative De L'Université Laval,,Ordinateur et accessoire,"286,62 $"
,1485278,2021-07-28,C.P.U. Design Inc.,,Logiciel et progiciel,"48,50 $"
,1486123,2021-07-30,Givesco Inc.,,Bois de construction,"2 370,49 $"
,1483528,2021-07-14,Motorola Solutions Canada Inc,,"Piles, batteries","574,87 $"
,1485817,2021-07-28,Quincaillerie Notre-Dame De St-Henri Inc.,,"Matériel de fixation, clou, vis","296,00 $"
,1484692,2021-07-20,Tenaquip Limited,,Accessoires et pièces de remplacement pour outil,"310,14 $"
,,,,,,"6 648,60 $"
"Bédard, Lucie",1484181,2021-07-16,"Paquette & Associes, Huissiers De Justice S.E.N.C.R.L.",,Huissier de justice,"10 498,75 $"
,,,,,,"10 498,75 $"
"Boutin, Pierre",1485572,2021-07-27,Barriere Qmb Inc.,,Signalisation routière,"20 617,45 $"
,1484996,2021-07-22,Iml North America Llc,,Outils à batterie,"12 478,40 $"
,1407855,2021-07-05,Loiselle Inc.,,Service - Traitement/valorisation de matériaux de construction,"1 500,87 $"
,1484089,2021-07-16,Transport Mottillo Et Fils Inc.,,Entrepreneur en routes et canalisation,"20 799,28 $"
,,,,,,"55 396,00 $"
"Chamberot, Robert",1477029,2021-07-07,Les Emballages Box Pack,,Service - Transport de colis (Frais de transport),"80,81 $"
,,,,,,"80,81 $"
"Desjardins, Steve",1476419,2021-07-28,Acklands - Grainger Inc.,,Service - Formation en santé et sécurité,"242,65 $"
,1485074,2021-07-22,Caprea Experts Immobiliers Inc.,,Évaluateur agréé,"2 414,72 $"
,1482177,2021-07-06,Ligne Dynamique 2005,,Entrepreneur en travaux de finition,"3 569,57 $"
,,,,,,"6 226,94 $"
"Gaudreault, Guylaine",1484437,2021-07-23,Groupe Le Corre Et Associés Inc.,,Service - Formation en développement interpersonnel/relationnel,"1 249,35 $"
,1481895,2021-07-05,Innovision + Inc,,Conseiller en informatique,"14 873,47 $"
,1452731,2021-07-23,Telus Communications Inc.,1408829,Appareil de communication,"2 099,75 $"
,,,,,,"18 222,57 $"
"Gaudreault, Sonia",1486212,2021-07-30,Collège Lionel-Groulx,,Service - Formation en santé et sécurité,"1 499,85 $"
,1453574,2021-07-29,Discount Location D'Autos Et Camions,,"Location - Automobile, camionnette et fourgonnette","524,94 $"
,,,,,,"2 024,79 $"
"Gauthier, Stéphane",1484040,2021-07-16,Biblio Rpl Ltée,,"Articles, accessoires et équipement de bureau","1 254,11 $"
,1482496,2021-07-07,Brault & Bouthillier Lee,,Matériel artistique,"223,69 $"
,1482490,2021-07-07,Machines A Coudre Pénélope,,Électroménager,"1 049,85 $"
,1482899,2021-07-09,Trotec Laser Canada Inc.,,Matériel artistique,"237,29 $"
,1482494,2021-07-07,Uline Canada Corp,,Articles de papeterie,"260,74 $"
,,,,,,"3 025,68 $"
"Hardy, Danielle",1484275,2021-07-19,Globex Courrier Express International Inc.,1302177,"Service - Postal, messagerie","209,98 $"
,,,,,,"209,98 $"
"Hooper, Chantal",1478243,2021-07-14,Acklands - Grainger Inc.,,Service - Formation en santé et sécurité,"32,38 $"
,1484689,2021-07-20,Aux Aubépines 2002 Inc.,,Produits horticoles,"3 003,06 $"
,1483321,2021-07-13,Équipements Stinson (Quebec) Inc.,,Peinture - aérosol,"2 104,70 $"
,1484549,2021-07-20,Jean Guglia & Fils Enr.,,Outils manuels,"807,84 $"
,1480080,2021-07-13,La Maison Du Peintre,,Accessoires et fournitures de peinture,"212,37 $"
,1485733,2021-07-28,,,"Teinture, vernis, laque et préservatif","216,12 $"
,1483062,2021-07-09,Location Gamma Inc.,,Outils électriques,"3 141,23 $"
,1480306,2021-07-28,Novafor Equipement Inc.,,Équipement sécurité,"1 153,39 $"
,1485211,2021-07-23,,,Équipement de protection,"2 772,39 $"
,1483911,2021-07-28,,,"Teinture, vernis, laque et préservatif","2 844,22 $"
,1484591,2021-07-20,Sécurmax,,Produits de cadenassage,"1 207,00 $"
,1483048,2021-07-09,Solutions Alternatives Environnement Inc,,Service - Formation en développement organisationnel et technique,"519,69 $"
,1484561,2021-07-20,Soupapes Universelle Valves,,Produits de branchement,"3 370,09 $"
,1483029,2021-07-09,St-Germain Egouts Et Aqueducs Inc.,1191511,"Puisard, chambre de vanne, trou d'homme et regard","4 906,17 $"
,,,,,,"26 290,65 $"
