,Liste des bons de commandes approuvés pour le mois d'octobre  2021,,,,,
Approbateur,Numéro bon ,Date ,,Numéro de l'entente,Description,Montant
,commande,d'approbation,,,,de l'engagement
"Baudin, Cyril",1497098,10/15/21,Acklands - Grainger Inc.,,"Garage en toile, serre et abris temporaires","4 289,90 $"
,1498474,10/22/21,Bureau En Gros,,Accessoires et fournitures de mobilier de bureau,"115,48 $"
,1496987,10/14/21,Entretien Mana Inc.,,Service - Entretien d'immeuble,"4 562,92 $"
,1462244,10/12/21,Gestion P. Venne Inc. - Canadian Tire,,Accessoires et pièces de remplacement pour outil,"524,94 $"
,1496636,10/13/21,Groupe Enov Inc.,,Produits d'entretien ménager,"1 214,56 $"
,1493476,10/28/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"3 414,19 $"
,1498160,10/21/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"436,75 $"
,1449865,10/14/21,Inter Propane Inc.,,"Carburant (essence, diesel, kérosène)","104,99 $"
,1449150,10/27/21,Regard Sécurité,1255847,Équipement de protection,"170,00 $"
,1498815,10/26/21,Remorquage Burstall Conrad,,Location - Remorque motorisée,"299,21 $"
,1499211,10/27/21,Tech-Mix,1380942,"Asphalte, bitume","3 149,62 $"
,,,,,,"18 282,56 $"
"Bédard, Lucie",1496180,10/08/21,Les Industries Poly Inc.,1322302,Service - Reprographie,"19 947,62 $"
,,,,,,"19 947,62 $"
"Boutin, Pierre",1450287,10/05/21,Enviroservices Inc,1408088,Service - Analyse et essai en laboratoire,"3 254,61 $"
,1496036,10/07/21,Pépinière Abbotsford Inc.,,Produits horticoles,"17 459,42 $"
,1495994,10/07/21,Pépinière Rougemont Enr,,Produits horticoles,"22 703,55 $"
,1496677,10/13/21,Sani-Dépôt,,Sacs à ordures et recyclage,"9 572,97 $"
,,,,,,"52 990,55 $"
"Chamberot, Robert",1496528,10/12/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"225,72 $"
,1497456,10/18/21,Uline Canada Corp,,Fournitures de classement et de rangement,"684,14 $"
,,,,,,"909,86 $"
"Cousineau, Simon",1495408,10/05/21,Produits Sany,1048199,Produits d'entretien ménager,"1 472,66 $"
,1497119,10/15/21,,1048199,Produits d'entretien ménager,"108,52 $"
,,,,,,"1 581,18 $"
"Desjardins, Steve",1498824,10/26/21,Korem Logiciels Et Données Geospatiaux Inc.,,Logiciel et progiciel,"1 015,86 $"
,1452739,10/07/21,Telus Communications  Inc.,1408829,Appareil de communication,"1 574,81 $"
,1498369,10/22/21,Trauma-Secours Inc.,,Service - Formation en santé et sécurité,"393,70 $"
,,,,,,"2 984,37 $"
"Gaudreault, Guylaine",1498901,10/26/21,Ample Man Danse,,Service - Artiste de la scène,"5 000,00 $"
,1475693,10/29/21,Groupe De Sécurité Garda Senc,,"Service - Agence de sécurité, gardiennage","7 567,50 $"
,1499726,10/29/21,Plg Arpenteurs-Geometres Inc.,,Arpenteur-géomètre,"7 874,06 $"
,1497870,10/20/21,Simon Guay,,Appareil d'éclairage de rue et de bâtiment,"21 679,92 $"
,1452731,10/07/21,Telus Communications  Inc.,,Appareil de communication,"1 574,81 $"
,1497899,10/20/21,Trauma-Secours Inc.,,Service - Formation en santé et sécurité,"1 259,85 $"
,1451200,10/12/21,Wolters Kluwer Canada Ltee,,"Guide, brochure et affiche","2 143,85 $"
,,,,,,"47 099,99 $"
"Gaudreault, Sonia",1496491,10/12/21,Compugen Inc.,1469292,Ordinateur et accessoire,"11 602,12 $"
,1496517,10/12/21,Entreprise Ziani Inc.,,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)","14 567,02 $"
,,,,,,"26 169,14 $"
"Gauthier, Stéphane",1498230,10/21/21,Biblio Rpl Ltée,,Articles de papeterie,"1 753,60 $"
,1495842,10/06/21,Entreprises Sign Max Inc.,,Matériel pour communication graphique,"397,89 $"
,1498530,10/22/21,Futurcarb Inc.,,"Articles, accessoires et équipement de bureau","102,13 $"
,1495838,10/06/21,Quincaillerie Notre-Dame De St-Henri Inc.,,"Matériel de fixation, clou, vis","839,90 $"
,1496526,10/12/21,Rouleaux De Papier & Rubans J.L. Inc.,,Articles de papeterie,"270,87 $"
,1495841,10/06/21,Voxel Factory Inc.,,Matière plastique,"313,70 $"
,,,,,,"3 678,09 $"
"Hardy, Danielle",1498403,10/22/21,Clinique De Médecine Industrielle Et Préventive Du Québec Inc.,,"Infirmier, infirmier auxiliaire","4 329,68 $"
,1492714,10/04/21,Médigestal Inc.,,Conseiller en santé et sécurité,"787,41 $"
,,,,,,"5 117,09 $"
"Hooper, Chantal",1495856,10/06/21,Bmr Detail S.E.C.,,Outils manuels,"700,11 $"
,1497601,10/21/21,Enterprise Location D'Autos,,"Location - Automobile, camionnette et fourgonnette","8 472,49 $"
,1499284,10/27/21,Entreprises Forlini-Division Équipement De Sécurité Universel Inc.,,Vêtements de travail,"168,95 $"
,1495751,10/06/21,Ferronnerie Bronx,,Bois de construction,"7 231,71 $"
,1495301,10/04/21,Magasin Jasmin Inc.,,Produits horticoles,"4 010,52 $"
,1497350,10/18/21,Magasin Jasmin Inc.,,Produits horticoles,"146,79 $"
,1496552,10/12/21,Novafor Équipement Inc.,,Équipement contre les chutes,"3 598,01 $"
,1496252,10/08/21,Pépinière Dominique Savio Ltée,,Produits horticoles,"8 014,63 $"
,1496521,10/12/21,Produits Sany,1048199,Sacs à ordures et recyclage,"5 135,99 $"
,1453648,10/14/21,Quincaillerie Notre-Dame De St-Henri Inc.,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"1 049,87 $"
,1449780,10/07/21,Rogers Communications Canada Inc.,1137408,Appareil de communication,"7 349,12 $"
,1494853,10/01/21,Sanexen Services Environnementaux Inc.,,"Service - Vidange de puisards, regards et fosses septiques","981,28 $"
,,,,,,"46 859,47 $"
"Limperis, Apostolos Mario",1497578,10/19/21,Entreprises A.L.I. Snowdon Inc.,,"Articles, accessoires et équipement de bureau","2 238,33 $"
,1497581,10/19/21,Lavage De Vitres Future Inc.,,Service - Nettoyage industriel,"482,94 $"
,1496533,10/12/21,Produits Sany,,Distributeur de produit nettoyant,"741,61 $"
,1497241,10/15/21,,1048199,Produits d'entretien ménager,"585,90 $"
,1496532,10/12/21,Sylprotec Inc.,,Équipement contre les chutes,"819,27 $"
,,,,,,"4 868,05 $"
"Plante, Stéphane",1498410,10/22/21,Air Photo Max,,Service - Photographie,"551,18 $"
,1495583,10/06/21,"Gaudreault, Sonia",,Frais - Dépenses de fonction,"141,25 $"
,1496098,10/07/21,Hardy Expert Conseil Inc.,,Contrat de gré à gré et contingences pour le projet de réfection du mur Rideau coté de la ruelle.,"22 791,26 $"
,1495821,10/06/21,HEC Montréal,,Service - Formation en développement interpersonnel/relationnel,"1 779,54 $"
,1497985,10/20/21,Leblanc Illuminations-Canada Inc.,,Décorations hivernales- trois soumissions pour arrond. CDN-NDG,"14 307,21 $"
,1495073,10/04/21,"Le Groupe Gesfor, Poirier, Pinchin Inc.",,Réfection des entrées et plomberie: services professionnels en environnement,"9 181,16 $"
,1496396,10/12/21,Multi-Surfaces - F. Giguère Inc,,Travaux de mise à niveau de la piste d'athlétisme du parc de la Confédération ,"40 505,06 $"
,1496372,10/12/21,Ni Produits Inc.,,"Îlots de déchets, de recyclage et de résidus alimentaires ","20 171,61 $"
,1482245,10/01/21,R&D Ergo Ltd.,,"Service - Courtage en douane, frais de douane","1 205,26 $"
,1497897,10/20/21,Service Au Fil Des Saisons Inc.,,Service - Aménagement paysager,"761,16 $"
,1452729,10/07/21,Telus Communications  Inc.,,Appareil de communication,"1 049,87 $"
,1453161,10/04/21,Xylème Inc.,,"Service - Abattage, émondage, élagage","5 249,37 $"
,,,,,,"117 693,93 $"
"Poliseno, Martin",1493073,10/12/21,Esri Canada Limited,,Logiciel et progiciel,"211,88 $"
,1499246,10/27/21,Ferronnerie Bronx,,Bois de construction,"567,72 $"
,1499392,10/28/21,,,Bois de construction,"2 194,76 $"
,1496694,10/13/21,Inolec,,"Huile, graisse et lubrifiant","384,57 $"
,1496708,10/13/21,Jean Guglia & Fils Enr.,,Outils à batterie,"818,34 $"
,1494843,10/01/21,Novafor Equipement Inc.,,Vêtements de travail,"384,09 $"
,1496690,10/13/21,Outillages Express,,Équipement sécurité,"18,87 $"
,1497086,10/15/21,Production Case Company Inc.,,Accessoires et pièces de remplacement pour outil,"700,04 $"
,1497746,10/19/21,Regard Sécurité,1255847,Accessoires vestimentaires,"200,00 $"
,1494831,10/01/21,Sécurité Landry Inc,,Vêtements de travail,"181,09 $"
,1496497,10/12/21,Solutions Alternatives Environnement Inc,,Service - Formation en développement organisationnel et technique,"414,70 $"
,,,,,,"6 076,06 $"
"Reeves, Geneviève",1459885,10/04/21,Duoson Multimédia Inc,,Service - Diffusion,"744,57 $"
,1496373,10/12/21,Pg Solutions Inc.,,Logiciel et progiciel,"1 464,58 $"
,1477738,10/04/21,Société Canadienne Des Postes,,"Service - Postal, messagerie","3 580,17 $"
,,,,,,"5 789,32 $"
"Rico, Roseline",1496498,10/12/21,Abra Electroniques Corporation,,Outils électriques,"942,49 $"
,1494994,10/01/21,Alpha Signa Inc.,,Matériel pour communication graphique,"401,52 $"
,1498536,10/22/21,Bibliotheca Canada Inc.,,Réparation/Entretien - Appareil électronique,"705,52 $"
,1497572,10/19/21,Dallaire Medical Inc.,,Fournitures et matériel médical,"245,27 $"
,1494996,10/01/21,Entreprise Ziani Inc.,,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)","3 018,39 $"
,1497570,10/19/21,Erandy Vergara Vargas,,Service - Organisation d'expositions,"3 300,00 $"
,1495834,10/06/21,Groupe Icible Inc.,,Appareil électronique,"2 341,22 $"
,1494999,10/01/21,Hypertec Systèmes Inc,1469336,Ordinateur et accessoire,"225,72 $"
,1498532,10/22/21,Long & Mcquade Limited,,Instrument de musique,"440,94 $"
,1493036,10/18/21,Machines à Coudre Pénélope,,Matériel artistique,"320,32 $"
,1496513,10/12/21,Monsieur Macarons Inc.,,"Articles, accessoires et équipement de bureau","214,11 $"
,1499228,10/27/21,R.I.D.E.A.U.,,Frais - Adhésion et cotisation,"6 371,69 $"
,1496504,10/12/21,Show Scène Design Et Technologie Inc.,,Accessoires et pièces de remplacement pour outil,"302,36 $"
,1497574,10/19/21,Solotech Inc,,Équipement de scène,"419,95 $"
,1497575,10/19/21,Store Urbain,,Accessoires et fournitures de mobilier de bureau,"3 750,16 $"
,1452914,10/04/21,Voxel Factory Inc.,,"Articles, accessoires et équipement de bureau","2 099,75 $"
,1497573,10/19/21,Xyz Technologie Culturelle Inc.,,Équipement de scène,"1 048,84 $"
,,,,,,"26 148,25 $"
"Stingaciu, Irinel-Maria",1495836,10/06/21,Composants Industriels Wajax,,Accessoires et pièces de remplacement pour outil,"3 614,76 $"
,1499230,10/27/21,Premiers Soins Plus (6669409 Canada Inc),,Fournitures et matériel médical,"71,08 $"
,,,,,,"3 685,84 $"
"Turnblom, Sylvain",1497117,10/15/21,9181-0309 Québec Inc.,,"Matériel de fixation, clou, vis","385,12 $"
,1498256,10/21/21,9181-0309 Québec Inc.,,Accessoires et pièces de remplacement pour outil,"45,03 $"
,1498823,10/26/21,Bf-Tech Inc.,,Système d'échappement et antipollution pour matériel roulant,"169,76 $"
,1449145,10/28/21,Regard Sécurité,1255847,Équipement de protection,"170,00 $"
,1496614,10/13/21,St-Germain Égouts Et Aqueducs Inc.,1277188,"Puisard, chambre de vanne, trou d'homme et regard","2 837,44 $"
,1499558,10/28/21,St-Germain Égouts Et Aqueducs Inc.,1191511,"Puisard, chambre de vanne, trou d'homme et regard","514,44 $"
,,,,,,"4 121,79 $"
TOTAL,,,,,,"394 003,16 $"
