VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour avril 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,commande,d'approbation,,l'entente,,l'engagement
"Baudin, Cyril",1465928,2021-04-06,7871104 Canada Inc.,,Entrepreneur en routes et canalisation,"22 790,69 $"
,1466031,2021-04-13,9208-1546 Quebec Inc (Balai-Tech Plus),,"Service - Balayage, nettoyage de voies publiques","18 141,84 $"
,1466271,2021-04-13,Balaye Pro Inc,,"Service - Balayage, nettoyage de voies publiques","16 630,02 $"
,1466291,2021-04-08,Enterprise Location D'Autos,,"Location - Automobile, camionnette et fourgonnette","9 931,87 $"
,1450287,2021-04-15,Enviroservices Inc,1408088,Service - Analyse et essai en laboratoire,"6 299,25 $"
,1467989,2021-04-19,Groupe Sanyvan Inc.,,Service - Inspection de conduites,"5 963,29 $"
,1449865,2021-04-08,Inter Propane Inc.,,"Carburant (essence, diesel, kérosène)","3 574,56 $"
,1466574,2021-04-09,Lafarge Canada Inc,,Agrégat en vrac,"755,61 $"
,1468054,2021-04-19,Location Lordbec Inc.,,Entrepreneur en routes et canalisation,"22 441,08 $"
,1466283,2021-04-08,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","12 511,13 $"
,1467983,2021-04-19,Produits Sany,1048199,Produits d'entretien ménager,"382,31 $"
,1467373,2021-04-14,Reliance Foundry Co Ltd,,Équipement sécurité,"3 569,57 $"
,1467367,2021-04-14,Sani-Depot,,Produits d'entretien ménager,"135,28 $"
,1465670,2021-04-20,St-Germain Egouts Et Aqueducs Inc.,,"Puisard, chambre de vanne, trou d'homme et regard","5 250,44 $"
,1465899,2021-04-06,Transport Mottillo Et Fils Inc.,,Entrepreneur en routes et canalisation,"21 522,44 $"
,,,,,,"149 899,38 $"
"Beauchemin, Sonia",1468978,2021-04-23,Association Des Communicateurs Municipaux Du Quebec Inc. Acmq,,Frais - Adhésion et cotisation,"262,47 $"
,,,,,,"262,47 $"
"Bédard, Lucie",1468678,2021-04-22,"Paquette & Associes, Huissiers De Justice S.E.N.C.R.L.",,Huissier de justice,"10 498,75 $"
,,,,,,"10 498,75 $"
"Desjardins, Steve",1467557,2021-04-15,Centre De Services Scolaire De Montreal,,Service - Formation en développement interpersonnel/relationnel,"165,88 $"
