"VILLE DE MONTRÉAL  ";;;;;;
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce";;;;;;
"Listes des bons de commandes approuvés pour janvier 2021";;;;;;
;;;;;;
;;;;;;
"Dernier Approbateur";"Numéro bon ";"Date ";"Nom fournisseur";"Numéro de";"Description";"Montant de "
;"commande";"d'approbation";;"l'entente";;"l'engagement"
"Baudin, Cyril";1439720;"2021-01-08";"Addison électronique Montréal";;"Appareil de communication";"527,91 $"
;1451470;"2021-01-14";"Association québécoise des transports";;"Service - Formation en développement organisationnel et technique";"6 299,25 $"
;1453281;"2021-01-22";"Confidentiel déchiquetage de documents Inc.";1339456;"Service de destruction de documents";"267,72 $"
;1449865;"2021-01-07";"Inter Propane Inc.";;"Carburant (essence, diesel, kérosène)";"3 674,56 $"
;1450277;"2021-01-11";"Location Gamma Inc.";;"Gaz naturel";"524,94 $"
;1449759;"2021-01-07";"Martech Signalisation Inc.";;"Signalisation routière";"5 301,87 $"
;1449764;"2021-01-07";"Onomat Canada Inc.";;"Machine et équipement de construction";"6 367,49 $"
;1449150;"2021-01-30";"Regard Sécurité";;"Équipement de protection";"970,00 $"
;1453846;"2021-01-26";"Réno-Dépôt";;"Accessoires et pièces de remplacement pour machinerie et équipement industriel";"787,41 $"
;1452138;"2021-01-19";"Ricci, Teasdale Huissers en justice Inc.";;"Huissier de justice";"1 259,85 $"
;;;;;;"25 981,00 $"
"Beauchemin, Sonia";1452219;"2021-01-19";"Margaret Sankey";;"Traducteur";"2 729,67 $"
;1454429;"2021-01-28";"Tabasko Communications Inc.";;"Service - Infographie, graphisme";"545,93 $"
;1419278;"2021-01-12";"Telus Mobilité";1408829;"Accessoires de communication";"97,70 $"
;1452729;"2021-01-20";;1408829;"Frais mensuels téléphonie cellulaire";"1 574,81 $"
;1452248;"2021-01-19";"Vidéotron Ltée";;"Service de Télédiffusion";"629,92 $"
;;;;;;"5 578,03 $"
"Bédard, Lucie";1454571;"2021-01-28";"Paquette & associés, huissiers de justice (SENCRL)";;"Huissier de justice";"10 952,30 $"
;1453997;"2021-01-26";"SOCIETE CANADIENNE DES POSTES";;"Service postal, messagerie";"10 498,75 $"
;1452738;"2021-01-29";"Telus Mobilité";1408829;"Frais mensuels téléphonie cellulaire";"1 574,81 $"
;1453161;"2021-01-21";"Xylème Inc.";;"Service d'abattage, d'émondage et d'élagage";"10 498,75 $"
;;;;;;"33 524,61 $"
"Boutin, Pierre";1453741;"2021-01-26";"Arbo-Design Inc.";;"Service d'abattage, d'émondage et d'élagage";"22 827,40 $"
;1453627;"2021-01-25";"École nationale d'administration publique (ENAP)";;"Service de formation en développement interpersonnel et relationnel";"1 154,86 $"
;1453045;"2021-01-21";"Location Lordbec Inc.";;"Entrepreneur en route et canalisation";"12 992,20 $"
;1449780;"2021-01-07";"Rogers Communications Canada Inc.";1137408;"Frais mensuels téléphonie cellulaire";"13 648,37 $"
;;;;;;"50 622,83 $"
"Brousseau, Hélène";1449871;"2021-01-07";"Compugen Inc.";;"Logiciel et progiciel";"2 280,37 $"
;1454705;"2021-01-29";"École nationale d'administration publique (ENAP)";;"Service de formation en développement interpersonnel et relationnel";"1 653,55 $"
