VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour mars 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,commande,d'approbation,,l'entente,,l'engagement
"Baudin, Cyril",1465073,2021-03-30,Construction DJL Inc.,1338038,"Asphalte, bitume","7 349,12 $"
,1465080,2021-03-30,,1338038,"Asphalte, bitume","6 299,25 $"
,1465186,2021-03-30,,1338038,"Asphalte, bitume","6 299,25 $"
,1465193,2021-03-30,,1338038,"Asphalte, bitume","2 099,75 $"
,1462244,2021-03-12,Gestion P. Venne Inc. - Canadian Tire,,Accessoires et pièces de remplacement pour outils,"1 049,88 $"
,1460495,2021-03-02,Globex Courrier Express International Inc.,1302177,"Service - Postal, messagerie","419,95 $"
,1461975,2021-03-13,Groupe Sanyvan Inc.,,Service - Inspection de conduites,"6 921,30 $"
,1464361,2021-03-25,,,Service - Inspection de conduites,"5 244,12 $"
,1463367,2021-03-18,Groupe Trium Inc.,,Vêtements de travail,"540,17 $"
,1464600,2021-03-26,Materiaux Paysagers Savaria Ltee,1416351,Produits horticoles,"3 692,93 $"
,1463344,2021-03-18,Montreal Stencil Inc,,"Articles, accessoires et équipement de bureau","99,70 $"
,1461721,2021-03-10,Novafor Equipement Inc.,,Vêtements de travail,"505,96 $"
,1462164,2021-03-11,,,Vêtements de travail,"447,21 $"
,1449150,2021-03-25,Regard Securite ,,Équipement de protection,"275,00 $"
,1462166,2021-03-11,,,Équipement de protection,"282,29 $"
,1462222,2021-03-12,Vermeer Canada Inc.,,Accessoires et pièces de remplacement pour outil,"126,38 $"
,,,,,,"41 652,26 $"
"Beauchemin, Sonia",1464463,2021-03-25,Compugen Inc.,1410852,Ordinateur et accessoires,"1 300,46 $"
,1452219,2021-03-06,Margaret Sankey,,Traducteur,"8 923,93 $"
,1400596,2021-03-03,Marie-Eve Rouleau,,Spécialiste des médias sociaux,"40,00 $"
,,,,,,"10 264,39$"
"Bédard, Lucie",1464145,2021-03-24,Compugen Inc.,1410852,Ordinateur et accessoire,"356,96 $"
,1464476,2021-03-25,Vinacoustik Inc.,,Conseiller - Protection et contrôle de la qualité de l'air,"10 988,70 $"
,,,,,,"11 345,66 $"
"Brousseau, Hélène",1460078,2021-03-03,Compugen Inc.,1410852,Ordinateurs et accessoires,"6 496,95 $"
,1464455,2021-03-25,Hypertec Systemes Inc,1410870,Ordinateur et accessoire,"235,42 $"
,,,,,,"6 732,37 $"
"Carrier, Raymond",1463545,2021-03-19,Biblio Rpl Ltee,,"Articles, accessoires et équipement de bureau","530,64 $"
,1461225,2021-03-08,C.P.U. Design Inc.,,"Photocopieur, télécopieur, imprimante et numériseur","1 568,77 $"
,1461306,2021-03-08,,,"Photocopieur, télécopieur, imprimante et numériseur","1 568,77 $"
,1462347,2021-03-12,Demenagement Performance (Pmi),,Service - Déménagement,"2 624,69 $"
,1463540,2021-03-19,Groupe Mediatomic Inc.,,"Guide, brochure et affiche","937,01 $"
,1456168,2021-03-08,PMP Electrique Inc.,,"Conduit, raccord et finition","2 729,67 $"
,1450740,2021-03-09,Quincaillerie Côte-Des-Neiges,,Matériel de finition,"524,94 $"
,1461669,2021-03-10,Toshiba Solutions D'Affaires,,"Location - Photocopieur, télécopieur, imprimante et numériseur","2 030,88 $"
,,2021-03-10,,,Frais-photocopies,"2 099,74 $"
,1463537,2021-03-19,Uline Canada Corp,,Accessoires et fournitures de mobilier de bureau,"322,21 $"
,,,,,,"14 937,32 $"
"Gaudreault, Guylaine",1461197,2021-03-05,"Comaq, Corporation Des Officiers Municipaux Agrees Du Quebec",,"Frais - Inscription pour colloque, conférence, séminaire et congrès","398,95 $"
,1463623,2021-03-25,Infoprd,,Conseiller en informatique,"1 023,63 $"
,1464709,2021-03-26,Techsport Inc.,,Entrepreneur en équipements et produits spéciaux,"12 821,83 $"
,,,,,,"14 244,41 $"
"Gaudreault, Sonia",1462991,2021-03-17,Addison Electronique Montreal,,Ordinateur et accessoire,"62,93 $"
