VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour février 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,commande,d'approbation,,l'entente,,l'engagement
"Baudin, Cyril",1455631,2/3/2021,Addison Electronique Montreal  ,,Appareil électronique,"1 049,87"
,1458775,2/19/2021,Groupe Trium Inc. ,,Vêtements de travail ,"540,17 $ "
,1456021,2/4/2021,Olivier Montulet ,,Service - Formation en développement organisationnel et technique ,"1 574,81 $ "
,1449150,2/4/2021,Regard Securite,,Équipement de protection,"135,00 $ "
,,,,,,"3 299,85 $ "
"Beauchemin, Sonia",1456014,2/4/2021,Duoson Multimedia Inc ,,Service - Production multimédia ,"8 399,00 $ "
,1456572,2/9/2021,Impression Multi-Sources ,,Service - Impression ,"233,56 $ "
,1456119,2/4/2021,La Centrale A Images Inc.,,Service - Photographie,"5 249,36 $ "
,1460065,2021-02-26,Les Mordus De La Langue Inc.,,"Service - Rédaction, révision","3 149,62 $ "
,1460067,2/26/2021,Les Traductions Terry Knowles Inc.,,Traducteur,"2 099,75 $ "
,1458216,2/16/2021,Montreal Stencil Inc ,,"Articles, accessoires et équipement de bureau ","65,44 $ "
,1460069,2/26/2021,Traductions Tom Donovan Inc. ,,Traducteur,"2 099,76 $ "
,,,,,,"21 296,49 $ "
"Bédard, Lucie",1455953,2/4/2021,Mp Reproductions Inc. ,,"Service - Infographie, graphisme ","734,91 $ "
,1456769,2/9/2021,Rogers Communications Canada Inc. ,,Service - Téléphonie cellulaire-consommation mensuelle ,"1 784,79 $ "
,,,,,,"2 519,70 $ "
"Boutin, Pierre",1458724,2/18/2021,Iti Inc. ,,Entrepreneur en électricité ,"21 285,51 $ "
,1453990,2/17/2021,"Paris, Ladouceur & Associes Inc. ",,Évaluateur agréé ,"10 498,75 $ "
,1426817,2/17/2021,Pepiniere Auclair Et Freres (1991) Inc. ,,Produits horticoles ,"1 758,54 $ "
,1458763,2/1/2021,Pierre Alarie ,,"Service - Déblaiement, chargement, transport de la neige et épandage  d'abrasif (Contrat) ","11 400,00 $ "
,1458766,2/19/2021,Rejean Beaudry ,,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)","11 400,00 $ "
,1456874,2/9/2021,Transvrac Montreal Laval Inc,,Service - Transport de matières en vrac ,"22 047,37 $ "
,,,,,,"78 390,17 $ "
"Brousseau, Hélène",1460077,2/27/2021,Hypertec Systemes Inc ,,Ordinateur et accessoire ,"109,19 $ "
,,,,,,"109,19 $ "
"Carrier, Raymond",1458474,2/17/2021,Acces Communications ,,Location - Appareil électronique ,"2 183,74 $ "
,1457612,2/12/2021,Alimentation Eric Da Ponte Inc. - Metro ,,Breuvage et nourriture ,"839,90 $ "
,1456159,2/4/2021,Biblio Rpl Ltee ,,Articles de papeterie ,"398,11 $ "
,1457622,2/12/2021,Cooperative De Taxi Montreal ,,Service - Transport automobile ,"157,48 $ "
,1457198,2/10/2021,Globex Courrier Express International Inc,1302177,"Service - Postal, messagerie ","104,99 $ "
,1457896,2/15/2021,Groupe Ameublement Focus Inc. ,,Accessoires et fournitures de mobilier de bureau ,"3 486,62 $ "
,1457617,2/12/2021,Lamcom Technologies Inc,,Service - Impression ,"1 049,87 $ "
,1457611,2/12/2021,L'Empreinte Imprimerie Inc,,Service - Impression ,"629,92 $ "
,1458075,2/16/2021,Les Paysagistes Damy & Pat Inc. ,,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat) ","2 099,75 $ "
,1458794,2/19/2021,Magasins Best Buy Ltee ,,Ordinateur et accessoire ,"2 940,69 $ "
,1458796,2/19/2021,Mp Reproductions Inc,,Service - Impression ,"1 102,58 $ "
,1458796,2/12/2021,Peauseidon Eau De Source Naturelle ,,Eau de source ,"157,48 $ "
,1457614,2/12/2021,Piano Esmonde White ,,Réparation/Entretien - Équipement de scène ,"2 099,75 $ "
,1456168,2/4/2021,Pmp Electrique Inc,,"Conduit, raccord et finition ","3 018,39 $ "
,1457615,2/12/2021,Quincaillerie Cote Des Neiges ,,Matériel artistique ,"524,94 $ "
,1456803,2/9/2021,Services D'Entretien Alphanet Inc,,Service - Entretien d'immeuble ,"10 498,75 $ "
,1456987,2/9/2021,Uline Canada Corp,,Articles de papeterie,"258,09 $ "
,,,,,,"31 551,05 $ "
"Chamberot, Robert",1456183,2/4/2021,R.M. Leduc & Cie Inc. ,,"Articles, accessoires et équipement de bureau ","429,05 $ "
,1456176,2/4/2021,Uline Canada Corp ,,"Articles, accessoires et équipement de bureau ","419,90 $ "
,,,,,,"848,95 $ "
"Desjardins, Steve",1457271,2/10/2021,Emondage St-Germain & Freres Ltee ,,"Service - Abattage, émondage, élagage ","1 732,29 $ "
,,,,,,"1 732,29 $ "
"Gaudreault, Guylaine",1455051,2/1/2021,"COMAQ, Corporation Des Officiers Municipaux Agrees Du Quebec ",,"Frais - Inscription pour colloque, conférence, séminaire et congrès ","435,70 $ "
,1459233,2/23/2021,Consultant Expertise En Ascenseurs C.E.A. Inc. ,,Ingénieur civil - Structure de bâtiment ,"3 527,58 $ "
,1452735,2/5/2021,Globex Courrier Express International Inc,,"Service - Postal, messagerie","1 049,87 $ "
,1456005,2/4/2021,P.Laplante & Associes Inc.,,Conseiller en relation de travail ,"9 028,92 $ "
,,,,,,"14 042,07 $ "
"Gaudreault, Sonia",1458480,2/17/2021,Ecole Nationale D'Administration Publique ,,Service - Formation en développement interpersonnel/relationnel ,"183,73 $ "
,1455344,2/2/2021,Uba Inc. ,1381890,Produits d'entretien ménag,"15 874,11 $ "
,,,,,,"16 057,84 $ "
"Hardy, Danielle",1455587,2/3/2021,Academie De Gestion ,,Concepteur de programme de formation ,"2 682,43 $ "
,1456828,2/9/2021,Centre Patronal De Sante Et Securite Du Travail Du Quebec (C P S S T Q ) ,,Service - Formation en santé et sécurité ,"1 049,87 $ "
,1460054,2/26/2021,Drivercheck Inc. ,,"Infirmier, infirmier auxiliaire ","1 049,87 $ "
,,,,,,"4 782,17 $ "
"Hooper, Chantal",1458721,2/18/2021,Acklands - Grainger Inc. ,,Outils manuels ,"467,75 $ "
,1456225,2/4/2021,Compugen Inc. ,,Ordinateur et accessoire ,"3 310,14 $ "
,1455267,2/2/2021,Groupe Sanyvan Inc. ,,Service - Inspection de conduites ,"8 938,38 $ "
,1458180,2/16/2021,,,Service - Inspection de conduites ,"7 267,76 $ "
,1458856,2/19/2021,Jean Guglia & Fils Enr,,Accessoires et pièces de remplacement pour outil ,"2 636,35 $ "
,1455251,2/2/2021,L'Empreinte Imprimerie Inc. ,,Service - Impression ,"1 264,91 $ "
,1458611,2/18/2021,Les Jardins Michel Corbeil Inc. ,,Produits horticoles ,"5 776,83 $ "
,1456413,2/5/2021,Novafor Equipement Inc. ,,Attache-câble ,"293,70 $ "
,1458833,2/19/2021,Securite Landry Inc,,Vêtements de travail,"1 118,00 $ "
,1456819,2/9/2021,Societe Internationale D'Arboriculture Quebec Inc. (S.I.A.Q.) ,,"Frais - Inscription pour colloque, conférence, séminaire et congrès ","995,28 $ "
,1449785,2/5/2021,Teltech Signalisation Inc.,1307671,Location - Signalisation routière,"8 399,00 $ "
,,,,,,"40 468,10 $ "
"Limperis, Apostolos Mario",1455353,2/2/2021,Produits Sany,1048199,Réparation/Entretien - Appareil d'entretien,"3 149,62 $ "
,1457731,2/12/2021,,1048199,Équipement d'entretien manuel,"1 260,20 $ "
,,,,,,"4 409,82 $ "
"Morissette, Christian",1458169,2/16/2021,Apsam Association Paritaire Sante & Securite Affaires Municipales ,,Service - Formation en développement organisationnel et technique ,"4 000,00 $ "
,1460093,2/28/2021,Entrac Inc. ,,Service - Formation en développement organisationnel et technique ,"1 049,87 $ "
,1457517,2/11/2021,Equipements Twin Inc. ,,"Accessoires de remplacement (pile, batterie","375,07 $ "
,1458472,2/17/2021,Le Pro Du Cb Inc ,,Appareil de communication-radios CB pour la voirie ,"4 514,46 $ "
,1449103,2/11/2021,Liftow Ltee. ,,Service - Formation en développement organisationnel et technique ,"866,15 $ "
,1457843,2/15/2021,Produits Sany,1048199,Produits d'entretien ménager,"122,96 $ "
,1458575,2/18/2021,Santinel Inc. ,,Service - Formation en santé et sécurité,"314,96 $ "
,1457859,2/15/2021,Tenaquip Limited ,,Vêtements de travail,"2 381,00 $ "
,1460094,2/28/2021,Via Prevention ,,Service - Formation en développement organisationnel et technique ,"629,92 $ "
,,,,,,"14 254,39 $ "
"Plante, Stéphane",1448564,2/2/2021,9118-3210 Quebec Inc.,,Entrepreneur en petits bâtiments ,"20 679,60 $ "
,1458649,2/18/2021,"Affleck De La Riva, Architectes ",,Architecte ,"31 496,24 $ "
,1456223,2/4/2021,Compugen Inc.,1410852,Ordinateur et accessoire,"1 300,46 $ "
,1457274,2/10/2021,Construction Di Paolo Inc ,,Entrepreneur en travaux d'emplacement ,"17 511,91 $ "
,1459662,2/25/2021,Distributions Lg Inc. ,,Service - Distribution ,"15 748,12 $ "
,1459859,2/25/2021,Environnement S-Air Inc,,Conseiller - Protection et contrôle de la qualité de l'air ,"11 863,59 $ "
,1459870,2/25/2021,Global Inspect Inc. ,,Inspecteur en bâtiment,"5 669,31 $ "
,1459230,2/23/2021,Groupe Ortam Inc. ,,Inspecteur en bâtiment,"6 267,76 $ "
,1433479,2/16/2021,Groupe Qualinet Inc,,Service - Nettoyage indust,"39 359,92 $ "
,1457125,2/10/2021,Imprimerie F.L. Chicoine ,,Service - Impression ,"18 432,66 $ "
,1455500,2/2/2021,Meubles De Patio Richard Champagne Et Les Produits Nord-Sud ,,Mobilier pour espace public et jardin ,"11 395,34 $ "
,1455959,2/4/2021,Solution Groupe Dc Inc ,,"Clôture, barricade ","1 047,36 $ "
,,,,,,"180 772,27 $ "
"Poliseno, Martin",1459279,2/23/2021,Atelier D'Usinage Innova Precision 2014,,"Support, renfort et équerre ","283,47 $ "
,1457833,2/15/2021,Atmosphare Inc. ,,Réparation/Entretien - Équipement de sport et terrain de jeux,"2 513,79 $ "
,1459281,2/23/2021,Bmr Detail S.E.C. ,,Accessoires et pièces de remplacement pour outil ,"17,84 $ "
,1459454,2/24/2021,,,Accessoires et pièces de remplacement pour outil ,"301,07 $ "
,1458647,2/18/2021,Corporate Express Canada Inc. (Staples Avantage),,Appareil électronique ,"335,66 $ "
,1457114,2/10/2021,Industries Desormeau Inc. ,,"Matériel de fixation, clou, vis","90,48 $ "
,1457880,2/15/2021,L & T Instrument Inc,,Accessoires et pièces de remplacement pour machinerie et équipement industriel ,"186,88 $ "
,1455887,2/4/2021,Ppg Revetements Architecturaux Canada Inc.,,Accessoires et fournitures de peintu,"3 149,62 $ "
,1458651,2/18/2021,Produits Sany,1048199,Équipement d'entretien manuel ,"155,19 $ "
,1455585,2/3/2021,Societe Internationale D'Arboriculture Quebec Inc (S I A Q ) ,,Livres ,"257,48 $ "
,1458659,2/18/2021,Tenaquip Limited,,Équipement d'entretien manuel,"333,05 $ "
,1456273,2/5/2021,Tessier Recreo-Parc Inc.,,Équipement de sécurité,"146,99 $ "
,,,,,,"7 771,52 $ "
"Reeves, Geneviève",1458364,2/17/2021,F Juniper Belshaw,,Conseiller en développement organisationnel ,"2 519,70 $ "
,1456265,2/8/2021,Globex Courrier Express International Inc,1302177,"Service - Postal, messagerie","524,93 $ "
,1456772,2/9/2021,Rogers Communications Canada Inc.,1137408,Service - Téléphonie cellulaire-consommation mensuelle ,"1 049,87 $ "
,1451200,2/2/2021,Wolters Kluwer Canada Ltee,,"Guide, brochure et affiche","863,00 $ "
,,,,,,"4 957,50 $ "
"Turnblom, Sylvain",1459730,2/25/2021,Addison Electronique Montreal,,Ordinateur et accessoire,"439,91 $ "
,1456446,2/25/2021,Albert Viau Division Emco Corporation,,Produits de branchement,"3 122,58 $ "
,1457511,2/11/2021,Albert Viau Division Emco Corporation,,Produits de branchement,"3 121,70 $ "
,1458702,2/18/2021,Entreprises Forlini-Division Equipement De Securite Universel Inc,,Vêtements de travail,"107,09 $ "
,1459597,2/24/2021,Groupe Sdm Inc,,"Service - Déglaçage, nettoyage et désobstruction de conduites","1 049,87 $ "
,,,,,,"7 841,15 $ "
,,,,,,"435 104,52 $ "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"St-Laurent, Sonia",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TOTAL,,,,,,
