,Liste des bons de commandes approuvés pour le mois d'août 2021,,,,,
Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de l'entente,Description,Montant
,commande,d'approbation,,,,de l'engagement
"Baudin, Cyril",1487594,11/08/21,9181-0309 Québec Inc.,,Accessoires et pièces de remplacement pour outil,"69,71 $"
,1487349,10/08/21,Dufresne Standard & Spécial  Inc.,,Accessoires et pièces de remplacement pour outil,"852,64 $"
,1487570,11/08/21,Global Industrial Canada Inc,,Outils manuels,"208,87 $"
,1488644,19/08/21,Lave Auto 88 Inc.,,Service - Lavage de véhicules,"1 049,87 $"
,1489413,26/08/21,Multi-Pressions L.C. Inc.,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"592,79 $"
,1479721,03/08/21,Novafor Equipement Inc.,,Équipement contre les chutes,"209,96 $"
,1486251,02/08/21,Novafor Equipement Inc.,,Équipement contre les chutes,"5 578,42 $"
,1489556,26/08/21,Quincaillerie Notre-Dame De St-Henri Inc.,,Électroménager,"1 365,89 $"
,1487380,10/08/21,Tenaquip Limited,,Accessoires et pièces de remplacement pour outil,"49,86 $"
,1487588,11/08/21,Tenaquip Limited,,Produits de papier,"23,39 $"
,1488963,23/08/21,Tenaquip Limited,,Fournitures et matériel médical,"910,69 $"
,1487579,11/08/21,William Scully Limited,,"Service - Infographie, graphisme","299,01 $"
,,,,,,"11 211,10 $"
"Bédard, Lucie",1488542,18/08/21,André Philippe St-Arnaud,,Gestionnaire de projet administratif,"5 249,37 $"
,1489681,27/08/21,Groupe Ct Inc.,,Produits pour impression,"3 503,20 $"
,,,,,,"8 752,57 $"
"Boutin, Pierre",1488427,18/08/21,9373-5942 Québec Inc.,,Signalisation routière,"945,20 $"
,1487035,06/08/21,Aux Aubepines 2002 Inc.,,Produits horticoles,"10 696,00 $"
,1486700,04/08/21,Bureau En Gros,,Ordinateur et accessoire,"189,28 $"
,1450136,13/08/21,Loiselle Inc.,1402167,Service - Traitement/valorisation de matériaux de construction,"8 526,03 $"
,,,,,,"20 356,51 $"
"Chamberot, Robert",1487787,12/08/21,Montréal Stencil Inc,,"Articles, accessoires et équipement de bureau","112,43 $"
,1487671,11/08/21,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","601,06 $"
,,,,,,"713,49 $"
"Desjardins, Steve",1478253,03/08/21,Groupe Trium Inc.,,Vêtements de travail,"1 339,85 $"
,,,,,,"1 339,85 $"
"Gaudreault, Guylaine",1481258,27/08/21,Elaine Doyle,,Avocat,"150,00 $"
,1485121,03/08/21,Ensuspension Inc.,,Conseiller en santé et sécurité,"5 023,65 $"
,1485122,10/08/21,Expertise Neurosciences Inc.,,Médecin,"4 619,45 $"
