organisme,type_cr,specialite_regroupement,niveau_classe,categorie,internes,vacants,externes
Agence du revenu du Qu̩bec,CRTI,Administration de donn̩es,0,Professionnel,0,0,11
Agence du revenu du Qu̩bec,CRTI,Administration g̩n̩rale,0,Professionnel,0,0,9
Agence du revenu du Qu̩bec,CRTI,Administration g̩n̩rale,0,Technicien,0,0,1
Agence du revenu du Qu̩bec,CRTI,Analyse d'affaires,0,Professionnel,0,0,5
Agence du revenu du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,0,Professionnel,0,0,209
Agence du revenu du Qu̩bec,CRTI,Architecture d'affaires,0,Professionnel,0,0,3
Agence du revenu du Qu̩bec,CRTI,Architecture de donn̩es et d'information,0,Professionnel,0,0,10
Agence du revenu du Qu̩bec,CRTI,Architecture de s̩curit̩,0,Professionnel,0,0,6
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration d'applications,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration technologique,0,Professionnel,0,0,11
Agence du revenu du Qu̩bec,CRTI,Architecture fonctionnelle,0,Professionnel,0,0,9
Agence du revenu du Qu̩bec,CRTI,Architecture organique,0,Professionnel,0,0,21
Agence du revenu du Qu̩bec,CRTI,Conseil strat̩gique,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,CRTI,Gestion de projet,0,Professionnel,0,0,9
Agence du revenu du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,0,Professionnel,0,0,3
Agence du revenu du Qu̩bec,CRTI,Programmation,0,Technicien,0,0,32
Agence du revenu du Qu̩bec,CRTI,S̩curit̩ de l'information,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,CRTI,Soutien aux utilisateurs,0,Personnel de bureau,0,0,1
Agence du revenu du Qu̩bec,CRTI,Soutien aux utilisateurs,0,Technicien,0,0,3
Agence du revenu du Qu̩bec,CRTI,T̩l̩communications,0,Technicien,0,0,4
Agence du revenu du Qu̩bec,CRTI,Web et m̩dias sociaux,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,CRTI,Administration de donn̩es,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Administration de donn̩es,Niveau standard (St),Professionnel,35,0,0
Agence du revenu du Qu̩bec,CRTI,Administration g̩n̩rale,Classe nominale (C.N.),Technicien,15,0,0
Agence du revenu du Qu̩bec,CRTI,Administration g̩n̩rale,Classe principale (C.P.),Technicien,3,0,0
Agence du revenu du Qu̩bec,CRTI,Administration g̩n̩rale,Niveau expert (Exp.),Professionnel,5,0,0
Agence du revenu du Qu̩bec,CRTI,Administration g̩n̩rale,Niveau standard (St),Professionnel,50,0,0
Agence du revenu du Qu̩bec,CRTI,Analyse d'affaires,Niveau standard (St),Professionnel,9,0,0
Agence du revenu du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,Niveau expert (Exp.),Professionnel,4,0,0
Agence du revenu du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,7,0,0
Agence du revenu du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,Niveau standard (St),Professionnel,439,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'affaires,Niveau ̩m̩rite (Em),Professionnel,4,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'affaires,Niveau expert (Exp.),Professionnel,20,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'affaires,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'affaires,Niveau standard (St),Professionnel,17,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture de donn̩es et d'information,Niveau ̩m̩rite (Em),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture de donn̩es et d'information,Niveau expert (Exp.),Professionnel,5,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture de donn̩es et d'information,Niveau standard (St),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture de s̩curit̩,Niveau ̩m̩rite (Em),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture de s̩curit̩,Niveau expert (Exp.),Professionnel,3,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'entreprise,Niveau ̩m̩rite (Em),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'entreprise,Niveau expert (Exp.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'entreprise,Niveau standard (St),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'infrastructures technologiques,Niveau ̩m̩rite (Em),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'infrastructures technologiques,Niveau expert (Exp.),Professionnel,5,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'infrastructures technologiques,Niveau standard (St),Professionnel,13,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration d'applications,Niveau ̩m̩rite (Em),Professionnel,5,0,0
