Laboratoire;Domaines_accr̩dites;Region;Numero_identification;Adresse;Ville;Code_Postal;Telephone;Telecopieur
Englobe Corp.;605;Capitale Nationale;512;505, boulevard du Parc-Technologique, bureau 200;Qu̩bec (Qu̩bec);G1P 4S9; 418-781-0191;
Eurofins EnvironeX;601, 602, 603, 604, 605;Capitale Nationale;477;4495, boulevard Wilfrid-Hamel, bureau 150;Qu̩bec (Qu̩bec);G1P 2J7; (418) 977-1220; (418) 614-9777
Nvira Environnement inc.;601, 603, 604, 605;Capitale Nationale;505;5165, rue John Molson, bureau 100;Qu̩bec (Qu̩bec);G1X 3X4; 1(877) 809-5478;
AGAT Laboratoires lt̩e;601, 603;Montr̩al;480;9770, route Transcanadienne;Montr̩al (Qu̩bec);H4S 1V9; (514) 337-1000; (514) 333-3046
Lab'eau-air-sol;601, 602, 603, 604, 605;Lanaudi̬re;492;86, rue de la Visitation;Saint-Charles-Borrom̩e (Qu̩bec);J6E 4M8; (450) 755-5575; (450) 759-1107
Pinchin Ltd.;601, 603, 604, 605;Ontario;495;2555, Meadowpine Blvd, Unit 2;Mississauga (Ontario);L5N 6C3; (905) 363-1318; (905) 363-0681
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
