Caracteristique,Valeur,Fin_prest_assurance_emploi,Perte_emp_sans_assurance_emploi,Prest_assurance_emploi_insuffi,Perte_du_conjoint,Fin_etudes_temps_complet,Revenus_insuffisants,Attente_revenus,Autres_raison
Programme,Programme d'aide sociale,657,972,445,176,217,1920,48,635
Programme,Programme de solidarité sociale,31,47,25,14,9,234,2,149
Programme,Programme inconnu,1,0,0,5,0,0,0,1
Type d'allocation,Prestation de base (incluant les hébergés),459,801,358,91,169,1628,23,514
Type d'allocation,Alloc. pour contraintes temporaires,189,166,83,85,47,282,23,119
Type d'allocation,Alloc. mixte (2 adultes avec cont. tempo.),9,5,4,0,1,10,2,2
Type d'allocation,Alloc. de solidarité sociale,31,47,25,14,9,230,2,134
Type d'allocation,Prestations de base Hébergés,0,0,0,0,0,4,0,15
Type d'allocation,Inconnu,1,0,0,5,0,0,0,1
Situation familiale,Personnes seules,562,846,389,98,155,1520,36,694
Situation familiale,Couples sans enfants,13,34,11,0,2,101,3,14
Situation familiale,Familles monoparentales,89,106,47,96,59,301,9,44
Situation familiale,Couples avec enfants,25,32,22,1,9,229,2,20
Situation familiale,Conjoint d'étudiant,0,1,1,0,1,3,0,13
Type de résidence,Locataire,397,559,261,87,133,621,32,232
Type de résidence,Locataire HLM ou coopérative,40,55,22,11,19,71,1,29
Type de résidence,Chambreur ou pensionnaire,206,349,161,90,69,1373,11,363
Type de résidence,Temporairement sans adresse,7,10,9,1,1,34,0,72
Type de résidence,Propriété,34,41,13,3,2,35,6,11
Type de résidence,En hébergement,5,5,4,2,2,20,0,78
Type de résidence,Inconnue,0,0,0,1,0,0,0,0
Région,01 - Bas-Saint-Laurent,23,37,16,4,5,27,3,14
Région,02 - Saguenay - Lac-St-Jean,24,61,17,6,16,54,2,26
Région,03 - Capitale-Nationale,44,92,25,13,18,72,3,92
Région,04 - Mauricie,31,50,21,6,17,50,3,34
Région,05 - Estrie,33,61,40,6,11,65,5,35
Région,06 - Île-de-Montréal,177,204,113,47,72,1260,11,255
Région,07 - Outaouais,31,32,50,10,10,76,2,28
Région,08 - Abitibi-Témiscamingue,13,27,7,9,5,17,0,12
Région,09 - Côte-Nord,13,22,5,2,3,10,1,9
Région,10 - Nord-du-Québec,2,7,2,0,1,4,0,5
Région,11 - Gaspésie - Îles-de-la-Madeleine,10,10,6,5,7,17,1,5
Région,12 - Chaudières-Appalaches,23,51,35,6,6,56,4,26
Région,13 - Laval,22,26,13,6,7,62,0,13
Région,14 - Lanaudière,34,65,20,10,7,78,5,37
Région,15 - Laurentides,48,62,21,20,13,33,2,64
Région,16 - Montérégie,136,166,63,35,22,181,7,87
Région,17 - Centre-du-Québec,25,46,15,10,6,32,1,25
Région,99 - Central,0,0,1,0,0,60,0,18
