Année,Secteur,N° de référence du GPC,Portée,Catégorie,Sous-catégorie,Activité,Description,CO2,CH4,N2O,Total en t éq.CO2,CO2(b),Qualité données,0
1990,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Approche de vente de carburant,0,2666724,11848,144676,2823248,0,L,0
1990,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Approche de vente de carburant,0,721994,539,16050,738583,0,L,0
1990,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,133092,171,15254,148517,0,L,0
1990,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,119399,615,2094,122108,0,M,0
1990,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,566785,1019,4641,572445,0,M,0
1990,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),28370,126,1539,30036,0,L,0
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,2631936,144869,21755,2798561,0,M,0
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,848933,578,2076,851587,0,M,0
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,794,19509,20302,149584,M,0
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,11,424,435,15979,M,0
2015,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,83395,119,9834,93349,0,L,0
2015,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,319859,758,2855,323472,0,L,0
2015,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,805107,547,7011,812665,0,L,0
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),25419,1399,210,27028,0,M,0
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,8199,6,20,8224,0,M,0
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,8,188,196,1445,M,0
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,0,4,4,154,M,0
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,2425736,133519,20051,2579306,0,M,0
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,739035,503,1808,741346,0,M,0
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,29,60,90,137865,M,0
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,0,1,2,13910,M,0
2016,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,78024,112,9215,87351,0,L,0
2016,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,358594,851,3179,362623,0,L,0
2016,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,804705,563,7028,812296,0,L,0
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),22960,1264,190,24413,0,M,0
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,6995,5,17,7017,0,M,0
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,0,1,1,1305,M,0
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,0,0,0,132,M,0
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,2574566,141711,21281,2737558,0,M,0
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,782499,533,1914,784945,0,M,0
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,672,16519,17191,126657,M,0
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,10,391,401,14728,M,0
2017,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,86843,124,10203,97169,0,L,0
2017,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,379312,899,3301,383511,0,L,0
2017,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,888740,580,7729,897049,0,L,0
2017,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),24841,1367,205,26413,0,M,0
2017,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,7550,5,18,7574,0,M,0
2017,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,6,159,166,1222,M,0
2017,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,0,4,4,142,M,0
2018,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,0,0,3619240,0,H,0
2018,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,113462,161,13276,126899,0,L,0
2018,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,403626,964,3379,407968,0,L,0
2018,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,976388,527,8372,985287,0,L,0
2018,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),21560,1187,178,22925,0,M,0
2018,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,6809,5,17,6830,0,M,0
2018,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,6,138,144,1061,M,0
