VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour février 2020,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1398648,2020-02-12,ANDRE ROUSSEAU,,"1 664,05 $",Avocat
,1398497,2020-02-11,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC (CPSSTQ),,"524,94 $",Service - Formation en développement interpersonnel/relationnel
,1393862,2020-02-11,CLINIQUE DE MEDECINE INDUSTRIELLE ET PREVENTIVE DU QUEBEC INC.,,"524,94 $",Médecin
,1400668,2020-02-20,"FRANCOIS G. FORTIER, AVOCAT-ARBITRE",,"1417,33$",Avocat
,1398719,2020-02-12,GESTION MANON CLEROUX INC.,,"5 879,30 $",Conseiller en ressources humaines
,1398615,2020-02-12,TOTALMED SOLUTIONS SANTE INC.,,"4 199,50 $",Médecin
"BAUDIN, CYRIL",1399823,2020-02-18,3289419 CANADA (COLLINS),,"158,73 $","Bottes, souliers et couvres-chaussure"
,1396514,2020-02-03,ACKLANDS - GRAINGER INC.,,"190,87 $","Articles, accessoires et équipement de bureau"
,1401655,2020-02-26,BUREAU EN GROS,,"1 828,17 $",Ordinateur et accessoire
,1396984,2020-02-04,COMPUGEN INC.,1163246,"2 113,60 $",Ordinateur et accessoire
,1397727,2020-02-07,,1163246,"2 210,99 $",Ordinateur et accessoire
,1397709,2020-02-07,GLOBEX COURRIER EXPRESS INTERNATIONAL INC.,1302177,"419,95 $","Service - Postal, messagerie"
,1396598,2020-02-03,INTER PROPANE INC.,,"2 624,69 $","Carburant ( essence, diesel, kérosène)"
,1383686,2020-02-03,KOMUTEL INC,,"860,90 $",Service - Téléphonie
,1397426,2020-02-06,LAVE AUTO 88 INC.,,"1 049,87 $",Service - Lavage de véhicules
,1398986,2020-02-13,MULTI-PRESSIONS L.C. INC.,,"1 049,87 $",Réparation/Entretien - Appareil d'entretien
,1398993,2020-02-13,,,"1 049,87 $",Réparation/Entretien - Appareil d'entretien
,1399867,2020-02-18,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,,"109,25 $","Teinture, vernis, laque et préservatif"
,1399053,2020-02-13,PRODUITS SANY,1048199,"390,97 $",Produits d'entretien ménager
,1399887,2020-02-18,TENAQUIP LIMITED,,"85,42 $","Huile, graisse et lubrifiant"
,,2020-02-18,,,"43,46 $",Accessoires et pièces de remplacement pour outil
,1401624,2020-02-26,,,"283,57 $",Outils manuels
,1401652,2020-02-26,,,"492,60 $",Équipement de protection
,1399638,2020-02-17,ULINE CANADA CORP,,"41 ,93 $",Attache-câble
,1401573,2020-02-26,,,"110,45 $",Équipement de protection
"BEAUCHEMIN, SONIA",1401632,2020-02-26,ATEDRA INC.,,"1 217,85 $",Service - Placement média publicitaire
,1400655,2020-02-20,BOO! DESIGN INC.,,"6 299,25 $",Service - Impression
,1400523,2020-02-20,CNW-TELBEC INC,,"1 144,36 $",Service - Diffusion
,1401635,2020-02-26,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,1339456,"871,40 $",Service - Destruction de documents
,1400636,2020-02-20,DISTRIBUTIONS LG INC.,,"1 049,87 $",Service - Distribution
,1397884,2020-02-26,LA CENTRALE A IMAGES INC.,,"3 149,61 $",Service - Photographie
,1397890,2020-02-07,LES MORDUS DE LA LANGUE INC.,,"1 049,87 $","Service - Rédaction, révision"
,1397886,2020-02-07,MARGARET SANKEY,,"2 099,74 $",Traducteur
,1400683,2020-02-20,MIDES PHOTOCOPIEURS & FAX,,"251,83 $","Réparation/Entretien - Photocopieur, télécopieur, imprimante et numériseur"
,1401565,2020-02-26,ROGERS COMMUNICATIONS CANADA INC.,1137408,"629,92 $",Service - Téléphonie cellulaire
,1400516,2020-02-20,VIDEOTRON LTEE,,"545,93 $",Service - Télédiffusion
"BEDARD, LUCIE",1397492,2020-02-06,AUAMQ (L'ASSOCIATION DES URBANISTES ET DES AMENAGISTES MUNICIPAUX DU QUEBEC),,"745,00 $",Frais - Adhésion et cotisation
,1399184,2020-02-13,BEC FIN INTERNATIONAL INC.,,"258,69 $",Service - Traiteur
,1399946,2020-02-18,SOCIETE CANADIENNE DES POSTES,,"9 448,87 $","Service - Postal, messagerie"
,1397630,2020-02-06,VIVRE EN VILLE,,"619,43 $","Frais - Inscription pour colloque, conférence, séminaire et congrès"
"BOUTIN, PIERRE",1397046,2020-02-04,DEVELOTECH INC.,,"10 498,75 $",Mobilier pour protection et sécurité
,1396605,2020-02-03,ROGERS COMMUNICATIONS CANADA INC.,1137408,"13 648,37 $",Appareil de communication
,1376505,2020-02-07,VORTEX STRUCTURES AQUATIQUES INTERNATIONALES INC,,"393 ,70 $",Accessoires de sport
"BROUSSEAU, HELENE",1400009,2020-02-18,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,1339456,"524,94 $",Service - Destruction de documents
"CARRIER, RAYMOND",1400576,2020-02-20,AUDIO CINE FILMS INC,,"488,19 $",Service - Droit d'auteur
,1398903,2020-02-13,AUVITEC LTEE,,"944,89 $",Location - Équipement d'éclairage et de sonorisation
,1381634,2020-02-27,BIBLIO RPL LTEE,,"21 ,00 $",Service - Transport de colis (Frais de transport)
,1394127,2020-02-27,,,"16,80 $",Service - Transport de colis (Frais de transport)
,1397413,2020-02-06,,,"622,52 $","Articles, accessoires et équipement de bureau"
,1397692,2020-02-07,,,"734,91 $",Articles de papeterie
,1401974,2020-02-27,,,"328,19$","Articles, accessoires et équipement de bureau"
,1400427,2020-02-20,BOO! DESIGN INC.,,"5 249,37 $",Service - Impression
,1401977,2020-02-27,BRAULT & BOUTHILLIER LTEE,,"1 505,21 $",Composante électronique
,1402011,2020-02-27,,,"2 099,75 $","Matériel pour loisir, jeu"
,1401971,2020-02-27,DESCHAMPS IMPRESSION INC.,,"540,69 $",Matériel pour communication graphique
,1398900,2020-02-13,L'AGENCE STATION BLEUE INC.,,"7 874,06 $",Service - Artiste musical
,1398362,2020-02-11,LOCATION SAUVAGEAU INC.,,"4 552,26 $",Service - Transport automobile
,1401965,2020-02-27,MAGASINS BEST BUY LTEE,,"189,18 $","Serveur, équipement de réseau"
,1401324,2020-02-25,MAHEU & MAHEU INC.,,"1 070,87 $","Service - Extermination, fumigation"
,1397428,2020-02-06,R.M. LEDUC & CIE INC.,,"1 046,90 $","Articles, accessoires et équipement de bureau"
,1397712,2020-02-07,,,"2 099,75 $",Articles de papeterie
,1397717,2020-02-07,ROULEAUX DE PAPIER & RUBANS J.L. INC.,,"1 574,81 $",Articles de papeterie
,1397721,2020-02-07,TECHNO-GESTASS LTEE,,"1 574,81 $",Appareil électronique
,1397713,2020-02-07,ULINE CANADA CORP,,"2 099,75 $",Équipement de manutention
,1402006,2020-02-27,VIDEOTRON LTEE.,,"892,39 $","Service - Accès internet, ligne téléinformatique"
,1397714,2020-02-07,VOXEL FACTORY INC.,,"1 574,81 $",Ordinateur et accessoire
"CHAMBEROT, ROBERT",1397431,2020-02-06,BRODART CANADA COMPAGNY,,"110,27 $","Articles, accessoires et équipement de bureau"
"DESJARDINS, STEVE",1397482,2020-02-06,CAPREA EXPERTS IMMOBILIERS INC.,1347295,"1 023,63 $",Évaluateur agréé
,1397483,2020-02-06,,1347295,"1 023,63 $",Évaluateur agréé
,1397486,2020-02-06,,1347295,"1 023,63 $",Évaluateur agréé
,1401443,2020-02-25,,1347295,"1 023,63 $",Évaluateur agréé
,1401452,2020-02-25,,1347295,"1 023,63 $",Évaluateur agréé
,1400092,2020-02-19,COMPUGEN INC.,1163303,"513 ,01 $",Ordinateur et accessoire
,1399938,2020-02-18,C.P.U. DESIGN INC.,1164102,"1 980,27 $",Ordinateur et accessoire
"GAUDREAULT, GUYLAINE",1400022,2020-02-18,ADDISON ELECTRONIQUE MONTREAL,,"560,87 $",Appareil électronique
,1398861,2020-02-12,COMPUGEN INC.,1163303,"513 ,01 $",Ordinateur et accessoire
,1397787,2020-02-07,C.P.U. DESIGN INC.,,"1 280,20 $",Ordinateur et accessoire
,1401898,2020-02-27,GORL'EAU INC.,,"39 895,25 $",Service - Inspection.de conduites
,1397474,2020-02-06,GROUPE SOLOTECH INC.,,"1 679,80 $",Fil et câble électrique
,1398853,2020-02-12,IGF AXIOM INC.,1209642,"12 842,60 $",Ingénieur civil - Circulation et transport
,1400933,2020-02-21,MAGASINS BEST BUY LTEE,,"450,39 $",Appareil électronique
,1400935,2020-02-21,,,"450,39 $",Appareil électronique
,1401598,2020-02-26,MORNEAU SHEPELL LTE,1310883,"18 897,75 $","Conseiller, programme d'aide aux employés"
,1401564,2020-02-26,ROGERS COMMUNICATIONS CANADA INC.,1137408,"1 049,87 $",Service - Téléphonie cellulaire
,1382595,2020-02-11,SITE INTEGRATION PLUS INC.,,"519,69$","Système de contrôle, de surveillance et d'incendie"
"GAUDREAULT, SONIA",1399903,2020-02-18,BIBLIOTHECA CANADA INC.,,"12 510,75 $",Service - Soutien informatique
