VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juillet 2020,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1410941,2020-07-09,GESTION P3P,,"787,41$",Service - Formation en développement interpersonnel/relationnel
"BAUDIN, CYRIL",1423823,2020-07-27,COMPUGEN INC.,1163303,"140,31$",Ordinateur et accessoires
,1423832,2020-07-27,ECO-GRAFFITI INC,,"3858,29$",Produits d'entretien ménager
,1423351,2020-07-23,PPG REVETEMENTS ARCHITECTURAUX CANADA INC,,"262,50$",Accessoires et fournitures de peinture
,1423898,2020-07-28,PRODUITS SANY,1048199,"205,77$",Produits d'entretien ménager
,1423981,2020-07-28,,1048199,"177,53$",Produits du papier
,1424196,2020-07-29,TENAQUIP LIMITED,,"737,12$",Équipement de protection
"BEAUCHEMIN, SONIA",1401632,2020-07-27,ATEDRA INC.,,"913,13$",Service - Placement média publicitaire
,1421197,2020-07-10,LES MEDAILLES LANAUDIERE,1222533,"314,96$",Service - Recensement et délivrance de licences
,1403762,2020-07-21,TABASKO COMMUNICATIONS INC,,"3149,62$","Service - Infographie, graphisme"
"CARRIER, RAYMOND",1397692,2020-07-15,BIBLIO RPL LTEE,,"2309,72$",Articles de papeterie
,1366454,2020-07-30,BRAULT & BOUTHILLIER LTEE,,"13,12$",Matériel artistique
,1391459,2020-07-21,CHARLES BOIVIN,,"62,99$",Réparation/Entretien - Équipement de scène
,1391562,2020-07-21,,,"62,99 $",Réparation/Entretien - Équipement de scène
,1423332,2020-07-23,C.P.U. DESIGN INC.,,"131,66$",Ordinateur et accessoires
,,2020-07-23,,1164102,"1693,09$",Ordinateur et accessoires
,1414292,2020-07-09,LES COUVRE-PLANCHERS SOLATHEQUE INC,,"4698,19$",Entrepreneur en bâtiments de tout genre
,1421122,2020-07-10,LES PAYSAGISTES DAMY & PAT INC,,"1469,82$",Service - Entretien paysager
