Poste,3,6,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,non
2023-01-06,,,x,x,,,,,,,,Smog
2023-01-15,,,,x,,,,,,,,non
2023-01-27,,x,,,,,,,,,,non
2023-02-01,,,x,,,,,x,,,,non
2023-02-12,x,,,,,,,,,,,non
2023-02-20,,,x,,,,,,,,,non
2023-02-26,,,,x,,,,,,x,,non
2023-02-27,x,,x,x,,,x,,,,,non
2023-04-27,,,,x,,,,,,,x,non
2023-05-25,,,,,x,,,,,,,non
2023-05-26,,,,,x,,,,,,,non
2023-06-01,x,,,x,,,,,,,,non
2023-06-02,,x,,,,,,,,,,non
2023-06-05,x,x,x,x,x,x,x,x,x,x,x,non
2023-06-06,x,x,x,x,x,x,x,x,x,x,x,oui
2023-06-07,,,,x,,,,,,,,oui
2023-06-15,x,x,x,x,x,x,,x,x,x,x,non
2023-06-16,x,x,x,x,x,x,x,x,x,x,x,oui
2023-06-25,x,x,x,x,x,x,x,x,x,x,x,oui
2023-06-26,x,x,x,x,x,x,x,x,x,x,x,oui
2023-06-29,,,,,,,,,,x,x,oui
2023-06-30,x,x,x,x,x,x,x,x,x,x,x,non
2023-07-01,x,x,x,x,x,x,x,x,x,x,x,oui
2023-07-02,x,,,,,x,,,,,x,oui
2023-07-17,x,x,,x,x,x,,x,,,x,non
2023-07-18,x,x,,x,,x,,,,,x,oui
2023-07-19,,,,,,,,,,,x,oui
2023-07-26,,,,x,,x,,,,x,x,non
2023-07-30,,,,,,x,,,,,,non
2023-08-06,x,,,,,x,x,,x,,,non
2023-08-07,x,,,,,,,,,,,non
2023-12-01,,,,x,,,,,,,,non
2023-12-25,,x,x,x,x,x,x,x,,x,,non
2023-12-26,x,x,x,x,x,x,x,x,,x,,non
