Poste,,3,7,13,17,28,50,55,66,80,99,Smog
Date,,,,,,,,,,,,
2015-01-06,,x,x,,x,,,,,PM2_5 Non mesuré,,non
2015-01-07,,x,,,x,,,,,PM2_5 Non mesuré,,non
2015-01-12,,,,,,,,x,,PM2_5 Non mesuré,,non
2015-01-14,,x,x,x,x,x,x,x,x,PM2_5 Non mesuré,x,oui
2015-01-15,,x,x,x,x,x,x,x,x,PM2_5 Non mesuré,x,oui
2015-01-18,,,,,,x,,,x,PM2_5 Non mesuré,,non
2015-01-19,,,x,,,x,,x,x,PM2_5 Non mesuré,,oui
2015-01-21,,,,,,,,x,,PM2_5 Non mesuré,,non
2015-01-22,,x,,x,,x,,,,PM2_5 Non mesuré,,oui
2015-01-23,,,,x,,,,,,,,non
2015-01-24,,,,x,x,,,,,,,non
2015-01-28,,,,,,x,,,,,,non
2015-02-03,,,,x,,,,,,,,non
2015-02-04,,,x,x,x,x,x,x,x,,,oui
2015-02-05,,x,x,,x,x,x,x,,,,oui
2015-02-10,,,,x,,,,,,,,non
2015-02-12,,,,x,,,,,,,,non
2015-02-17,,,,,,,,x,,,,non
2015-02-18,,x,,,x,,,x,,,x,oui
2015-02-22,,,,x,,x,x,,,,,non
2015-02-25,,,,x,,,,,,,,non
2015-02-26,,,,x,,,,,,,,non
2015-03-07,,,,x,,,,,,,,non
2015-03-08,,,,x,,x,,,,,,non
2015-03-16,,,,,,,,x,,,,non
2015-03-17,,,,,,,,x,,,,non
2015-03-24,,,,x,,,,,,,,non
2015-03-26,,,,x,,,,,,,,non
2015-04-16,,,,x,,,,,,,,non
2015-04-17,,,,x,,,,,,,,non
2015-04-22,,,,x,,,,,,,,non
2015-05-07,,,,x,,,,,,,,non
2015-05-08,,,,,,,,OZONE,,,,non
2015-05-09,,,,x,,,,,,,,non
2015-05-16,,,,x,x,,,,,,,non
2015-05-17,,,,,x,,,,,,,non
2015-06-12,,,,x,,,,,,,,non
2015-07-04,,,,,,,x,,,,,non
2015-07-05,,,,,,,x,,,,,non
2015-07-09,,,,x,,,,,,,,non
2015-07-13,,,x,,x,,,,,,,non
2015-07-18,,,,x,,,,,,,,non
2015-07-21,,,,x,,,,,,,,non
2015-07-26,,,,x,,,,,,,,non
2015-07-29,,,,,,,x,,,,,non
2015-07-30,,,,,,,x,,,,,non
2015-08-15,,,,x,,,,,,,,non
2015-08-17,,,,x,,,,,,,,non
2015-08-18,,,,x,,,,,,,,non
2015-08-19,,,,,x,,,,,,,non
2015-09-01,,,,x,,,,,,,,non
2015-09-02,,,,x,,,,,,,,non
2015-09-09,,,,x,,,,,,,,non
2015-09-18,,,,x,,,,,,,,non
2015-09-19,,,,x,,,,,,,,non
2015-09-28,,,,x,,,,,,,,non
2015-10-15,,,,x,,,,,,,,non
2015-11-24,,,,x,,,,,,,,non
2015-11-25,,,,,,,,x,,,,non
2015-11-30,,,,x,,,,,,,,non
2015-12-07,,,,x,,,,,,,,non
2015-12-10,,,,x,,,,,,,,non
2015-12-17,,,,x,,,,,,,,non
2015-12-31,,,,,,x,,,,,,non
