ï»¿Situation_familiale,Nombre_denfants_dans_la_famille,Nombre_de_beneficiaires_ages_de_moins_de_25_ans,Nombre_de_beneficiaires_ages_de_25_a_34_ans ,Nombre_de_beneficiaires_ages_de_moins_de_35_a_44_ans,Nombre_de_beneficiaires_ages_de_45_ans_ou_plus,Nombre_de_beneficiaires_de_sexe_feminin,Nombre_de_beneficiaires_de_sexe_masculin,Nombre_de_beneficiaires_total
Familles_biparentales,1,7125,67648,75593,82353,222493,10226,232719
Familles_biparentales,2,2716,71985,154136,53321,269942,12216,282158
Familles_biparentales,3,554,22098,58406,13244,87997,6305,94302
Familles_biparentales,4_ou_plus,90,7870,19636,3406,27865,3137,31002
Familles_monoparentales,1,5131,28579,52502,49370,104648,30934,135582
Familles_monoparentales,2,1247,18516,49874,21877,67179,24335,91514
Familles_monoparentales,3,196,5080,13287,3785,17443,4905,22348
Familles_monoparentales,4_ou_plus,20,1618,3522,668,4919,909,5828
Familles_biparentales_et_monoparentales,1,12256,96227,128095,131723,327141,41160,368301
Familles_biparentales_et_monoparentales,2,3963,90501,204010,75198,337121,36551,373672
Familles_biparentales_et_monoparentales,3,750,27178,71693,17029,105440,11210,116650
Familles_biparentales_et_monoparentales,4_ou_plus,110,9488,23158,4074,32784,4046,36830
