FOURNISSEUR,RÉPARTITION,SERVICE,DIRECTION,NO DE DOSSIER,OBJET,NO DÉCISION,DATE SIGNATURE,MONTANT
SECURO VISION INC,,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,DIRECTION DE L'APPROVISIONNEMENT,1136133001,CONCLURE AVEC LA FIRME SÉCURO VISION INC. UNE ENTENTE-CADRE D'UNE DURÉE DE TRENTE-SIX (36) MOIS AVEC DEUX (2) POSSIBILITÉS DE PROLONGATION DE DOUZE (12) MOIS POUR LA FOURNITURE SUR DEMANDE DE LUNETTES DE SÉCURITÉ DE TYPE PRESCRIPTION ET DE SERVICES CONNEXES SUITE À L'APPEL D'OFFRES PUBLIC 13-12700. (MONTANT EXTIMÉ DE L'ENTENTE 115 837.25 $ TAXES INCLUSES),CE13 0562,5/8/2013,115837.00
911 PRO INC.,100 % AGGLOMÉRATION,SERVICE DE POLICE DE LA VILLE DE MONTRÉAL,DIRECTION DES OPÉRATIONS - ACTIVITÉS DE SOUTIEN,1134472005,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ, À ""911 PRO INC."", FOURNISSEUR UNIQUE, POUR LA FOURNITURE DE LAMPES BALADEUSES DE MARQUE WHELEN, POUR LES BESOINS DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL, AUX PRIX DE SA SOUMISSION, SOIT POUR UNE SOMME MAXIMALE DE 27 890,81 $, TAXES INCLUSES",CE13 1038,8/28/2013,27891.00
EXCELSA TECHNOLOGIES CONSULTING INC.,"DÉPENSES MIXTES D'ACTIVITÉS D'ADMINISTRATION GÉNÉRALE 51,9 %",SERVICE DES TECHNOLOGIES DE L’INFORMATION,DIRECTION,1136075002,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À EXCELSA TECHNOLOGIES CONSULTING INC., POUR L'ACQUISITION DE SERVICES PROFESSIONNELS D'ARCHITECTURE DE PROCESSUS DANS LE CADRE DE LA RÉALISATION DU PROJET GESTION DES SERVICES TI POUR UNE SOMME MAXIMALE DE 85 943,81 $, TAXES INCLUSES - APPEL D'OFFRES SUR INVITATION # 13-12616 - 4 SOUMISSIONNAIRES / APPROUVER UN PROJET DE CONVENTION À CETTE FIN",CE13 1050,8/26/2013,85494.00
LES SYSTÈMES HÉRA ÉVOLUTION INC.,100 % AGGLOMÉRATION,SERVICE DE POLICE DE LA VILLE DE MONTRÉAL,DIRECTION DES OPÉRATIONS - ACTIVITÉS DE SOUTIEN,1130206004,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 27 594 $, TAXES INCLUSES, POUR LE CONTRAT À LES SYSTÈMES D'INFORMATION HÉRA ÉVOLUTION INC., POUR LA FOURNITURE D'UN SERVICE DE TECHNICIENS, SPÉCIALISTES DE LA BASE DE DONNÉES INTEGRATED DATA MANAGEMENT SYSTEM DE LA COMPAGNIE CA DU CANADA, POUR UNE PÉRIODE D'UN AN, À COMPTER DE LA DATE D'OCTROI DU CONTRAT OU D'UN MAXIMUM DE 200 HEURES, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 27 594 $ À 55 188 $ (TAXES INCLUSES).",CE13 1051,8/28/2013,27594.00
GROUPE ABS INC.,ENTENTE CADRE. RÉPARTITION SELON UTILISATION,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1133855003,"CONCLURE DES ENTENTES CADRES AVEC LES FIRMES LES SERVICES EXP INC. (MONTANT ESTIMÉ: 430 794,08$) ET GROUPE ABS INC. (MONTANT ESTIMÉ: 240 200,02$) POUR UNE DURÉE DE 36 MOIS POUR DES FORAGES ET ESSAIS SPÉCIAUX SUR DEMANDE SUITE À L'APPEL D'OFFRES PUBLIC NO 13-12941 (5 SOUMISSIONNAIRES).",CE13 1129,8/28/2013,240200.00
LES SERVICES EXP INC.,ENTENTE CADRE. RÉPARTITION SELON UTILISATION,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1133855003,"CONCLURE DES ENTENTES CADRES AVEC LES FIRMES LES SERVICES EXP INC. (MONTANT ESTIMÉ: 430 794,08$) ET GROUPE ABS INC. (MONTANT ESTIMÉ: 240 200,02$) POUR UNE DURÉE DE 36 MOIS POUR DES FORAGES ET ESSAIS SPÉCIAUX SUR DEMANDE SUITE À L'APPEL D'OFFRES PUBLIC NO 13-12941 (5 SOUMISSIONNAIRES).",CE13 1129,8/28/2013,430794.00
DUBO ÉLECTRIQUE LTÉE,100 % AGGLOMÉRATION,SERVICE DE SÉCURITÉ INCENDIE DE MONTRÉAL,DIRECTION DE LA PRÉVENTION ET DE LA PLANIFICATION,1135361002,"ACCORDER UN CONTRAT À LA FIRME DUBO ÉLECTRIQUE LTÉE., POUR LA FOURNITURE D'AVERTISSEURS DE FUMÉE À PILE AU LITHIUM, POUR UNE PÉRIODE DE DOUZE (12) MOIS, POUR UNE SOMME MAXIMALE DE 74 503,80 $ TAXES INCLUSES - APPEL D'OFFRES SUR INVITATION 13-13004 - (1 SOUMISSIONNAIRE)",CE13 1130,8/28/2013,74504.00
AÉROPORTS DE MONTRÉAL,100 % AGGLOMÉRATION,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DE L'ENVIRONNEMENT,1134390001,"APPROUVER LE PROJET DE CONVENTION ENTRE LA VILLE DE MONTRÉAL ET LA CORPORATION AÉROPORTS DE MONTRÉAL RELATIVEMENT À LA PERMISSION D'OCCUPATION D'UN TERRAIN POUR Y INSTALLER UNE STATION MOBILE D'ÉCHANTILLONNAGE DE L'AIR AMBIANT AU COÛT DE 1$ PAR ANNÉE, RENOUVELABLE ANNUELLEMENT ET CE, AUSSI LONGTEMPS QUE LES MESURES SERONT JUGÉES NÉCESSAIRES.",CE13 1140,8/28/2013,1.00
RECYCLAGE ÉCOSOLUTIONS INC.,100 % AGGLOMÉRATION,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DE L'ENVIRONNEMENT,1134730003,"ACCORDER UN CONTRAT À L'ENTREPRISE RECYCLAGE ÉCOSOLUTIONS INC. POUR LE TRAITEMENT DES APPAREILS ÉLECTROMÉNAGERS EN FIN DE VIE UTILE CONTENANT DES HALOCARBURES, POUR UNE PÉRIODE DE 24 MOIS, POUR UNE SOMME MAXIMALE DE 90 736.83 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC NO. 13-12937- 1 SEUL SOUMISSIONNAIRE.",CE13 1178,8/28/2013,90736.00
BLACK ET MACDONALD,"7,4 % AGGLOMÉRATION. 92,6 % VILLE",SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1136040004,"ACCORDER UN CONTRAT À BLACK ET MCDONALD, POUR LE PROJET DE REMPLACEMENT DE VOLETS MOTORISÉS DANS 10 BÂTIMENTS AVEC TRAVAUX CONNEXES, POUR UNE SOMME MAXIMALE DE 125 052.21 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC (5626) - (2 SOUMISSIONNAIRES)",CE13 1181,8/28/2013,125052.00
"APPLIED RESEARCH ASSOCIATES, INC.",100 % AGGLOMÉRATION,SERVICE DE POLICE DE LA VILLE DE MONTRÉAL,DIRECTION DES OPÉRATIONS - SERVICES AUX CITOYENS,1134254002,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ, À « APPLIED RESEARCH ASSOCIATES INC. », FOURNISSEUR UNIQUE, POUR LA FOURNITURE D'UNE CAMÉRA TACTIQUE MOBILE (POINTMAN) POUR LES BESOINS DU GROUPE TACTIQUE D'INTERVENTION DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL, POUR UNE SOMME MAXIMALE DE 29 683,17 $ US, TAXES INCLUSES.",CE13 1262,8/28/2013,29683.00
FIRME ICOR TECHNOLOGY INC.,100 % AGGLOMÉRATION,SERVICE DE POLICE DE LA VILLE DE MONTRÉAL,DIRECTION DES OPÉRATIONS - SERVICES AUX CITOYENS,1132610002,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ À LA FIRME ICOR TECHNOLOGY INC., FOURNISSEUR UNIQUE, POUR EFFECTUER DES RÉPARATIONS OBLIGATOIRES ET L'OPTIMISATION RECOMMANDÉE SUR LE ROBOT DE DÉSAMORÇAGE D'ENGINS EXPLOSIFS, AUX PRIX DE SA SOUMISSION, SOIT POUR UNE SOMME MAXIMALE DE 24 990,00 $, TAXES INCLUSES, CONFORMÉMENT À L'OFFRE DE SERVICE DE CETTE FIRME EN DATE DU 2 JUILLET 2013.",CE13 1263,8/28/2013,25000.00
A SYS RÉALISATIONS,"69,32 % AGGLOMÉRATION. 18,68 % VILLE. 12 % ARRONDISSEMENTS",SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DES IMMEUBLES,1134512003,"EXERCER LES OPTIONS DE PROLONGATION PRÉVUES AUX CONTRATS POUR LE DÉNEIGEMENT D'ÉDIFICES VILLE ET SPVM AVEC LES FIRMES ""LES ENTREPRISES CANBEC CONSTRUCTION INC."", ""A SYS RÉALISATIONS"", ""LES ENTREPRISES MICHEL GAUTHIER INC."" (CE10 1717), POUR LA PÉRIODE COMPRISE ENTRE LES MOIS D’OCTOBRE À DÉCEMBRE 2013. AUTORISER À CETTE FIN UNE DÉPENSE DE 140 958,27 $, MAJORANT AINSI LE MONTANT TOTAL DES CONTRATS DE 1 074 046.71 $ À 1 215 005,00 $, TAXES INCLUSES.",CE13 1264,8/29/2013,47747.00
