Région administrative,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Abitibi-Témiscamingue–Nord-du-Québec,14,20,8,19,7
Bas-Saint-Laurent–Gaspésie–Îles-de-la-Madeleine,54,40,52,38,44
Capitale-Nationale,16,15,13,16,9
Centre-du-Québec,59,51,51,45,59
Chaudière-Appalaches,78,59,82,86,71
Estrie,55,41,24,32,31
Laurentides,18,11,15,14,25
Mauricie,12,18,18,17,11
Montérégie,87,120,89,115,85
Montréal–Laval–Lanaudière,25,23,19,20,24
Outaouais,18,12,8,7,5
Saguenay–Lac-Saint-Jean–Côte-Nord,30,17,21,17,11
