Nom_d'entreprise,Adresse,Ville,Province,Code_postal,Numero_de_telephone,Type_de_traitement
,,,,,,
Liste des entreprises ayant realise des travaux de traitement in situ de sols et d'eaux souterraines contamines au Quebec1,,,,,,
,,,,,,
Periode visee: 1er janvier 2017 au 31 decembre 2022,,,,,,
,,,,,,
ABi Enviro-Solutions,"556, rue Doris, Greenfield Park",Quebec,Quebec,J4V1Z3,514-616-1657,"Bioventilation, Oxydation_chimique, Barriere_permeable_reactive"
AECOM inc.,"85, rue Sainte-Catherine Ouest",Montreal,Quebec,H2X3P4,514 287-8500,"Bioventilation, Oxydation_chimique"
Akifer inc.,"1990, rue Cyrille-Duquet, bureau 210",Quebec,Quebec,G1N4K8,418-872-1161,"Bioventilation, Oxydation_chimique"
Arcadis Canada Inc,"825,boulevard Guimond, suite 120",Longueuil,Quebec,J4G2M7,450-674-2207,"Bioventilation, Extraction multiphase/pompage et traitement"
EnGlobe Corp.,"505,boul.du parc technologique, suite 200",Quebec,Quebec,G1P4S9,418-653-4422,"Biostimulation, Oxydation_chimique"
Enutech Inc.,"2255-A, rue Dandurand",Montreal,Quebec,H2G1Z3,514 630-1869,"Bioaugmentation, Oxydation_chimique, Reduction_chimique, Barriere_permeable_reactive, Extraction_multiphase/pompage et traitement"
"Enviro Services Inc,","589, rue Saint-Jean-Baptiste",Terrebonne,Quebec,J6W4R2,514-944-4069,Reduction_chimique
Gestenv inc.,"6300, avenue du Parc, bureau 420",Montreal,Quebec,H2V4H8,514-277-0812,"Bioaugmentation, Oxydation_chimique, Extraction multiphase/pompage et traitement"
GHD Consultants Ltee,"4600, boul. de la Cote-Vertu",Saint-Laurent,Quebec,H4S1C7,514 333-5151,"Bioventilation, Volatilisation, Reduction_chimique, Extraction multiphase/pompage et traitement"
Groupe Axor inc.,"1555, rue Peel, bureau 1100",Montreal,Quebec,H3A3L8,(514) 937-3737,"Bioventilation, Oxydation_chimique"
Laforge Environnement Inc,"1375, boulevard Lionel-Boulet, local 101",Varennes,Quebec,J3X1P7,1 866 219-8179,"Bioaugmentation, Oxydation_chimique"
Northex Environnement inc.,"699, montee de la Pomme d'or",Contrecoeur,Quebec,J0L 1C0,450-587-8877,Oxydation_chimique
Nvira Environnement inc.,"5165 Rue John Molson #100, ",Quebec,Quebec,G1X3X4,1-877-809-5478,Oxydation_chimique
Sanexen Services Environnementaux Inc.,"9935, rue de Chateauneuf, Entree 1, Bureau 200  ",Brossard,Quebec,J4Z3V4,450-466-2123,"Bioventilation-biobarbotage, Oxydation_chimique"
Solroc inc.,"4000, rue Griffith",Saint-Laurent,Quebec,H4T1A8,514-737-6541,Bioaugmentation
Stantec Inc,"1260 Boul.Lebourgneuf, Suite 250",Quebec ,Quebec,G2K2G2,418-626-1688,"Oxydation_chimique, Desorption thermique "
Technorem Inc.,"4701, rue Louis-B-Mayer",Laval,Quebec,H7P6G5,450-681-4749,"Bioventilation, Oxydation_chimique, Extraction_multiphase/pompage et traitement, Lessivage"
Tecosol inc.,"99, boulevard des hauts-Bois, suite 209",Ste-Julie,Quebec,J3E3J9,450-922-1410,Oxydation_chimique
Terrapex Environnement ltee,"3615A, rue Isabelle",Brossard,Quebec,J4Y2R2,450-444-3255,"Bioventilation-biobarbotage, Oxydation_chimique, Extraction_multiphase/pompage et traitement, Lessivage, Desorption thermique"
Wood Canada ltee,"1425, route Transcanadienne, bureau 400",Dorval,Quebec,H9P2W9,514-684-5555,Barriere_permeable_reactive
WSP Canada Inc.,"1600, boul. Rene-Levesque Ouest, 11e etage",Montreal,Quebec,H3H1P9,514-340-0046,"Bioventilation, Volatilisation, Oxydation_chimique, Extraction_multiphase/pompage et traitement, Desorption thermique"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"1 Cette liste a ete etablie a partir des donnees extraites du systeme de gestion des operations du MELCC.  Elle a uniquement pour objet les travaux de rehabilitation autorises ou approuves par le MELCC dans le cadre dâune autorisation (art. 22 de la LQE) ou dâun plan de rehabilitation (art. 31.43, 31.51, 31.54 et 31.57 de la LQE).  Toutes erreurs ou omissions doivent Ãªtre signalees Ã  : MÃ©lanie LongprÃ©-Girard ing. M.Sc. Direction des lieux contamines, melanie.longpre-girard@environnement.gouv.qc.ca",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
