NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01 Bas-Saint-Laurent,21121,10,3126,11,29,129,2,4,35,1,43,202,2,13,6,17,0,0,24751,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
2,Soins physiques et psychiatriques de courte durée,02 Saguenay-Lac-Saint-Jean,7,32295,1548,25,28,234,4,8,38,2,6,18,6,6,10,26,0,1,34262,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
3,Soins physiques et psychiatriques de courte durée,03 Capitale-Nationale,92,116,68693,169,51,323,12,6,41,0,25,744,13,16,13,71,0,1,70386,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
4,Soins physiques et psychiatriques de courte durée,04 Mauricie et Centre-du-Québ,32,515,2090,51342,1970,1822,10,8,17,1,11,222,13,83,41,513,0,0,58690,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
5,Soins physiques et psychiatriques de courte durée,05 Estrie,9,24,144,494,45899,1147,5,2,17,2,14,430,14,20,14,759,0,0,48994,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
6,Soins physiques et psychiatriques de courte durée,06 Montréal,31,44,147,110,170,180594,43,13,8,0,21,29,1970,1870,450,1269,0,2,186771,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
7,Soins physiques et psychiatriques de courte durée,07 Outaouais,9,17,56,28,38,1442,27304,47,4,2,3,15,18,11,421,59,0,2,29476,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
8,Soins physiques et psychiatriques de courte durée,08 Abitibi-Témiscamingue,3,6,26,12,18,1686,79,14889,0,14,0,7,2,8,36,41,0,3,16830,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
9,Soins physiques et psychiatriques de courte durée,09 Côte-Nord,141,339,2443,19,32,92,6,1,9107,0,5,22,5,3,2,13,0,1,12231,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
10,Soins physiques et psychiatriques de courte durée,10-17 ET 18,4,236,106,1,10,1734,23,1152,2,1517,0,5,1,3,8,4,2533,593,7932,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
11,Soins physiques et psychiatriques de courte durée,11 Gaspésie-Îles-de-la-Madele,723,7,2417,8,18,139,2,1,9,0,10091,49,6,6,11,22,0,0,13509,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
12,Soins physiques et psychiatriques de courte durée,12 Chaudière-Appalaches,171,39,8573,141,323,195,2,6,18,1,10,31534,8,7,12,35,0,0,41075,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
13,Soins physiques et psychiatriques de courte durée,13 Laval,8,7,27,20,28,16065,16,3,3,1,2,9,21940,290,1128,115,0,1,39663,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
14,Soins physiques et psychiatriques de courte durée,14 Lanaudière,28,33,76,403,47,8826,6,4,8,0,19,13,2160,36849,2301,217,0,0,50990,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
15,Soins physiques et psychiatriques de courte durée,15 Laurentides,28,31,81,50,80,10499,162,21,7,4,10,18,4137,795,42007,183,0,1,58114,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
16,Soins physiques et psychiatriques de courte durée,16 Montérégie,48,81,165,728,1818,27631,28,15,11,0,28,42,168,221,205,101505,0,0,132694,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
17,Soins physiques et psychiatriques de courte durée,NON-ATTRIBUÉE,132,63,1168,106,191,4167,182,59,59,1,42,55,109,59,123,364,6,4,6890,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
18,Soins physiques et psychiatriques de courte durée,TOTAL RÉGION DE TRAITEMENT,22587,33863,90886,53667,50750,256725,27886,16239,9384,1546,10330,33414,30572,40260,46788,105213,2539,609,833258,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
19,Soins en chirurgie d'un jour,01 Bas-Saint-Laurent,9812,2,696,0,9,49,1,1,1,0,95,214,1,3,0,7,0,0,10891,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
20,Soins en chirurgie d'un jour,02 Saguenay-Lac-Saint-Jean,3,14976,826,6,8,96,0,3,0,0,0,45,0,2,4,15,0,0,15984,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
21,Soins en chirurgie d'un jour,03 Capitale-Nationale,29,99,30539,145,46,174,7,3,7,1,6,1119,10,10,6,32,0,0,32233,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
