NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,19545,17,2686,8,31,161,1,4,43,1,21,193,2,5,10,31,0,0,22759,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,2,30611,1419,21,14,272,2,4,44,6,3,20,3,2,9,36,1,1,32470,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,41,124,64430,137,79,285,11,13,53,4,20,654,4,11,18,56,1,0,65941,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,15,500,2045,46929,1618,2362,8,7,28,2,15,254,22,90,39,530,0,0,54464,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
5,Soins physiques et psychiatriques de courte durée,05--Estrie,6,14,162,642,30800,488,4,6,11,2,4,472,5,6,5,398,0,0,33025,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
6,Soins physiques et psychiatriques de courte durée,06--Montréal,24,56,168,99,126,167338,36,10,20,2,27,44,1851,1601,413,1614,1,1,173431,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,1,14,55,26,40,1212,24593,56,6,3,5,23,23,7,438,68,0,0,26570,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,1,9,36,12,25,1507,45,15060,3,15,3,2,11,4,22,27,0,1,16783,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,110,389,2129,15,19,122,1,1,8615,2,17,43,1,5,3,13,0,0,11485,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,2,281,119,4,6,1432,22,1125,2,1690,0,3,0,0,5,8,2111,603,7413,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,882,3,2113,7,21,176,3,0,24,0,9647,44,1,15,6,29,0,0,12971,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,178,28,9387,157,358,211,3,5,13,2,7,30525,7,7,3,40,0,0,40931,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
