NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,20567,9,2911,15,28,164,2,0,20,0,39,186,1,3,7,15,0,0,23967,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,5,30887,1564,26,28,258,3,6,32,7,2,22,4,6,4,21,0,1,32876,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,71,98,67740,141,48,285,11,4,32,3,24,754,5,6,21,68,0,1,69312,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,12,540,2042,48212,1706,2364,8,17,22,1,8,248,20,65,35,555,0,0,55855,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
5,Soins physiques et psychiatriques de courte durée,05--Estrie,3,17,136,588,30372,407,2,7,6,3,6,483,8,6,14,373,0,0,32431,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
6,Soins physiques et psychiatriques de courte durée,06--Montréal,23,54,183,95,108,172182,32,10,6,0,20,34,1942,1681,387,1574,0,0,178331,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,7,8,55,31,36,1161,24503,59,0,1,8,15,18,3,397,87,0,0,26389,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,2,7,44,8,17,1476,55,15112,3,18,1,4,6,2,26,27,0,6,16814,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,111,394,2170,13,17,100,5,0,8415,2,13,46,5,5,4,15,0,0,11315,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,1,254,106,2,4,1542,17,1162,0,1533,0,4,0,1,5,10,2433,696,7770,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
