NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,19695,12,2555,16,30,159,0,3,34,1,28,221,4,7,7,22,0,1,22795,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,3,31117,1429,17,29,252,4,3,25,8,3,15,2,5,4,36,0,0,32952,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,59,112,63172,132,72,282,8,8,54,4,19,552,5,16,22,38,0,0,64555,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,31,501,2003,46228,1599,2398,9,4,20,6,7,275,16,76,42,488,0,0,53703,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
5,Soins physiques et psychiatriques de courte durée,05--Estrie,4,20,142,578,30382,503,3,4,7,1,5,481,4,6,10,401,0,0,32551,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
6,Soins physiques et psychiatriques de courte durée,06--Montréal,33,67,170,95,167,166734,32,11,9,4,27,40,1854,1549,398,1698,0,1,172889,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,4,20,61,17,29,1106,23411,61,1,2,4,23,17,14,369,70,0,0,25209,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,0,4,43,7,36,1585,52,15431,1,15,0,2,8,4,28,24,1,1,17242,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,126,382,2079,7,9,132,1,2,8929,0,5,42,2,8,1,13,0,0,11738,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,1,254,106,3,11,1343,4,1243,1,1623,0,7,2,2,10,5,1654,611,6880,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
