NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,19598,12,2797,17,28,151,1,4,40,0,35,205,4,5,5,21,0,0,22923,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,4,30633,1500,30,23,266,1,5,48,3,2,24,1,3,7,33,0,2,32585,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,67,112,65807,141,49,305,9,8,31,2,28,678,9,9,18,45,0,1,67319,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,17,501,2114,47948,1758,2365,11,4,25,2,16,271,11,89,30,503,0,0,55665,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
5,Soins physiques et psychiatriques de courte durée,05--Estrie,8,12,162,561,30903,492,6,5,11,2,1,469,2,9,20,418,0,0,33081,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
6,Soins physiques et psychiatriques de courte durée,06--Montréal,26,50,152,94,123,169560,43,10,9,2,21,41,1868,1685,388,1598,0,0,175670,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,7,9,77,28,31,1101,24729,50,3,5,3,21,20,13,369,63,0,1,26530,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,1,6,44,5,23,1490,53,15607,4,24,0,1,1,2,21,37,0,1,17320,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,116,409,2097,24,23,126,3,1,8342,1,13,46,1,6,7,15,0,0,11230,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,0,249,127,8,7,1522,7,1110,0,1667,2,9,5,5,6,16,2253,549,7542,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
