NUMEROTATION,TYPE_DE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,"Soins physiques et psychiatriques de courte durée","01 Bas-Saint-Laurent",19066,9,3035,16,22,110,2,1,35,2,37,140,3,1,7,15,1,0,22502,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
2,"Soins physiques et psychiatriques de courte durée","02 Saguenay-Lac-Saint-Jean",8,27871,1420,16,16,166,3,6,41,2,2,19,1,10,6,15,0,1,29603,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
3,"Soins physiques et psychiatriques de courte durée","03 Capitale-Nationale",80,81,66236,162,53,224,5,6,75,4,19,495,5,12,18,53,3,1,67532,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
4,"Soins physiques et psychiatriques de courte durée","04 Mauricie et Centre-du-Québ",23,441,1981,48215,1704,1823,10,4,27,1,9,200,15,120,35,362,1,0,54971,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
5,"Soins physiques et psychiatriques de courte durée","05 Estrie",19,13,145,534,42228,1102,7,5,22,4,8,349,20,30,12,825,1,0,45324,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
6,"Soins physiques et psychiatriques de courte durée","06 Montréal",37,26,129,84,142,154300,28,10,15,3,18,23,1771,1564,388,1076,11,2,159627,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
7,"Soins physiques et psychiatriques de courte durée","07 Outaouais",11,6,53,27,60,1340,20776,32,5,0,0,6,19,14,301,75,0,1,22726,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
8,"Soins physiques et psychiatriques de courte durée","08 Abitibi-Témiscamingue",4,6,31,13,25,1396,25,13906,5,15,0,4,6,3,17,15,0,4,15475,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
9,"Soins physiques et psychiatriques de courte durée","09 Côte-Nord",65,319,2235,13,20,94,0,2,8416,0,10,10,0,4,5,6,0,0,11199,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
10,"Soins physiques et psychiatriques de courte durée","10-17 ET 18",0,241,117,9,11,2013,16,1023,1,1410,0,2,3,1,0,1,2582,353,7783,"Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
