NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée ,01--Bas-Saint-Laurent,20746,10,2984,15,14,168,1,1,26,0,26,214,1,6,8,21,0,0,24241,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
2,Soins physiques et psychiatriques de courte durée ,02--Saguenay - Lac-Saint-Jean,5,30754,1525,24,22,215,8,7,18,5,2,30,1,5,5,27,0,1,32654,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
3,Soins physiques et psychiatriques de courte durée ,03--Capitale-Nationale,71,105,67260,179,83,324,5,18,50,2,11,734,7,17,14,53,0,0,68933,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
4,Soins physiques et psychiatriques de courte durée ,04--Mauricie et Centre-du-Québec,10,504,2013,48687,1774,2317,8,4,16,4,10,243,15,81,31,484,0,0,56201,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
5,Soins physiques et psychiatriques de courte durée ,05--Estrie,8,14,153,543,30776,485,5,7,3,0,7,457,11,4,14,390,0,1,32878,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
6,Soins physiques et psychiatriques de courte durée ,06--Montréal,30,60,169,109,132,171101,32,9,15,2,30,30,1910,1915,390,1507,1,3,177445,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
7,Soins physiques et psychiatriques de courte durée ,07--Outaouais,5,14,54,22,28,1330,26264,26,3,0,8,17,21,10,411,71,0,5,28289,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
8,Soins physiques et psychiatriques de courte durée ,08--Abitibi-Témiscamingue,1,4,47,3,17,1502,53,15473,3,28,0,3,3,7,36,32,0,0,17212,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
9,Soins physiques et psychiatriques de courte durée ,09--Côte-Nord,108,360,2180,19,10,121,1,2,8775,1,17,42,4,6,1,18,0,0,11665,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
10,Soins physiques et psychiatriques de courte durée ,10  17 et 18,3,259,123,3,5,1555,30,1131,2,1502,1,3,1,3,5,8,2542,660,7836,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
11,Soins physiques et psychiatriques de courte durée ,11--Gaspésie - Îles-de-la-Madeleine,795,3,2021,7,7,160,1,0,16,0,10000,56,5,9,4,28,0,0,13112,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
12,Soins physiques et psychiatriques de courte durée ,12--Chaudière-Appalaches,253,29,9341,154,330,210,3,3,10,2,6,29898,3,6,3,37,0,0,40288,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
13,Soins physiques et psychiatriques de courte durée ,13--Laval,11,14,29,17,16,16078,7,4,4,0,6,12,20795,241,1259,137,0,0,38630,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
14,Soins physiques et psychiatriques de courte durée ,14--Lanaudière,20,26,77,474,37,9000,9,8,7,0,19,19,2812,31561,2256,269,0,0,46594,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
15,Soins physiques et psychiatriques de courte durée ,15--Laurentides,24,37,60,47,61,10446,174,23,9,3,11,10,4400,575,39300,244,0,0,55424,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
16,Soins physiques et psychiatriques de courte durée ,16--Montérégie,48,79,227,716,3220,28364,27,19,13,3,46,48,213,210,199,108221,0,0,141653,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
