NUMEROTATION,TYPE_DE_SOINS,REGION,NBR_ACCOUCH_ET_CESARIEN,NBR_CESARIENNES,NBR_NAISS_VIVANT,NBR_MORTINAISSANC,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,"Soins physiques et psychiatriques de courte durée","01 Bas-Saint-Laurent",1449,386,1467,4,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
2,"Soins physiques et psychiatriques de courte durée","02 Saguenay-Lac-Saint-Jean",2223,586,2242,8,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
3,"Soins physiques et psychiatriques de courte durée","03 Capitale-Nationale",7579,2321,7676,61,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
4,"Soins physiques et psychiatriques de courte durée","04 Mauricie et Centre-du-Québec",4304,915,4325,26,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
5,"Soins physiques et psychiatriques de courte durée","05 Estrie",4107,1030,4155,32,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
6,"Soins physiques et psychiatriques de courte durée","06 Montréal",24829,7714,25039,297,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
7,"Soins physiques et psychiatriques de courte durée","07 Outaouais",2379,605,2392,13,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
8,"Soins physiques et psychiatriques de courte durée","08 Abitibi-Témiscamingue",1548,355,1565,10,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
9,"Soins physiques et psychiatriques de courte durée","09 Côte-Nord",706,161,719,1,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
10,"Soins physiques et psychiatriques de courte durée","10-17 ET 18",306,58,306,2,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
11,"Soins physiques et psychiatriques de courte durée","11 Gaspésie-Îles-de-la-Madeleine",591,179,595,3,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
12,"Soins physiques et psychiatriques de courte durée","12 Chaudière-Appalaches",3316,934,3326,11,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
13,"Soins physiques et psychiatriques de courte durée","13 Laval",3790,909,3844,4,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
14,"Soins physiques et psychiatriques de courte durée","14 Lanaudière",4061,965,4081,18,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
15,"Soins physiques et psychiatriques de courte durée","15 Laurentides",3861,930,3869,21,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
16,"Soins physiques et psychiatriques de courte durée","16 Montérégie",10086,2402,10170,44,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
17,"Soins physiques et psychiatriques de courte durée","TOTAL PROVINCIAL",75135,20450,75771,555,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
18,"Soins en chirurgie d'un jour","03 Capitale-Nationale",1,0,0,1,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
19,"Soins en chirurgie d'un jour","05 Estrie",17,1,0,17,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
20,"Soins en chirurgie d'un jour","06 Montréal",1,0,0,1,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
21,"Soins en chirurgie d'un jour","TOTAL PROVINCIAL",19,1,0,19,"Titre du rapport « S15  Distribution des accouchements, césariennes, naissances vivantes, mortinaissances, selon la région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les interventions qui constituent des abandons sont exclues."
