NUMEROTATION,TYPE_SOINS,REGION,NBR_ACCOUCH_ET_CESARIEN,NBR_CESARIENNES,NBR_NAISS_VIVANT,NBR_MORTINAISSANC,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1 
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,1877,438,1891,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,2765,653,2802,5,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,8563,2177,8685,52,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,4799,958,4833,20,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
5,Soins physiques et psychiatriques de courte durée,05--Estrie,2979,560,3037,12,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
6,Soins physiques et psychiatriques de courte durée,06--Montréal,28094,7274,28445,197,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,2784,735,2811,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,1949,468,1970,2,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,926,176,933,3,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,323,59,321,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,595,158,600,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,3282,730,3304,5,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
13,Soins physiques et psychiatriques de courte durée,13--Laval,4570,935,4601,17,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,3976,729,4007,5,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,3945,829,3973,11,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,12960,2860,13059,27,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
17,Soins physiques et psychiatriques de courte durée,TOTAL PROVINCIAL,84387,19739,85272,372,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
