ï»¿caracteristique,Details,n-2016-2017,n-2017-2018,n-2018-2019,n-2019-2020,n-2020-2021,n-2021-2022
Pays de naissance,PÃ©rou,330,298,348,365,358,512
Pays de naissance,Philippines,1173,1312,1527,1581,1358,1728
Pays de naissance,Pologne,52,44,64,52,39,45
Pays de naissance,Portugal,17,17,17,27,24,21
Pays de naissance,Puerto-Rico,*,*,*,*,*,*
Pays de naissance,Qatar,*,9,11,15,14,12
Pays de naissance,RÃ©publique centrafricaine,115,66,60,84,86,84
Pays de naissance,RÃ©publique dominicaine,276,273,282,252,226,323
Pays de naissance,RÃ©publique tchÃ¨que,7,*,6,8,*,8
Pays de naissance,Roumanie,402,267,231,187,131,124
Pays de naissance,Royaume-Uni,*,6,9,6,*,7
Pays de naissance,Russie,298,284,250,227,178,204
Pays de naissance,Rwanda,65,58,46,69,63,80
Pays de naissance,Saint-Christophe-et-NiÃ©vÃ¨s,*,0,*,0,0,0
Pays de naissance,Sainte-Lucie,11,9,12,9,*,*
Pays de naissance,Saint-Martin,0,0,0,*,0,0
Pays de naissance,Salvador,182,221,259,258,182,208
Pays de naissance,Samoa occidentales,*,0,0,0,0,0
Pays de naissance,SÃ©nÃ©gal,41,33,27,26,22,46
Pays de naissance,Serbie,11,9,21,37,30,20
Pays de naissance,Serbie et MontÃ©nÃ©gro,*,*,*,*,*,*
Pays de naissance,Seychelles,0,*,0,0,*,*
Pays de naissance,Sierra Leone,11,13,8,11,*,7
Pays de naissance,Singapour,12,6,10,9,12,13
Pays de naissance,Sint-Maarten,0,0,*,*,0,0
Pays de naissance,Slovaquie,8,10,*,5,6,9
Pays de naissance,SlovÃ©nie,0,*,*,*,*,*
Pays de naissance,Somalie,*,15,16,6,6,8
Pays de naissance,Soudan,11,59,65,93,51,51
Pays de naissance,Soudan du Sud,0,0,*,*,0,0
Pays de naissance,Sri Lanka,184,217,234,228,145,184
Pays de naissance,St-Vincent-et-les-Grenadines,50,33,34,20,11,18
Pays de naissance,SuÃ¨de,8,*,5,9,7,5
Pays de naissance,Suisse,7,5,7,7,8,8
Pays de naissance,Suriname,*,*,*,*,*,*
Pays de naissance,Swaziland,0,0,0,*,*,*
Pays de naissance,Syrie,4253,4170,4095,3489,2410,2148
Pays de naissance,Tadjikistan,11,17,13,9,7,7
Pays de naissance,Taiwan,62,94,89,107,81,96
Pays de naissance,Tanzanie,32,41,33,38,33,24
Pays de naissance,Tchad,23,31,41,44,37,51
Pays de naissance,TchÃ©coslovaquie,*,*,*,5,*,*
Pays de naissance,Territoires palestiniens,0,0,0,*,0,*
Pays de naissance,ThaÃ¯lande,61,67,76,79,79,84
Pays de naissance,Tibet,0,*,*,*,*,0
Pays de naissance,Togo,11,20,20,17,13,14
Pays de naissance,TrinitÃ©-et-Tobago,19,25,25,30,15,16
Pays de naissance,Tunisie,170,169,194,240,342,554
Pays de naissance,TurkmÃ©nistan,5,9,*,*,5,*
Pays de naissance,Turquie,133,167,212,219,204,240
Pays de naissance,Ukraine,445,442,411,307,261,266
Pays de naissance,Union soviÃ©tique,155,158,126,120,109,114
Pays de naissance,Uruguay,7,5,9,15,17,14
Pays de naissance,Venezuela,559,545,617,731,643,652
Pays de naissance,ViÃªt Nam,344,345,370,562,571,690
Pays de naissance,YÃ©men,15,60,75,64,44,67
Pays de naissance,Yougoslavie,6,10,10,*,6,7
Pays de naissance,Zambie,*,8,10,*,*,*
Pays de naissance,Zimbabwe,6,15,28,24,15,19
Pays de naissance,Non disponible,160,142,94,71,68,128
