CODE,NOM,DESI_ABR,POP
04030,La Martre,M,216
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,P,2
23015,Notre-Dame-des-Anges,P,345
39020,Saint-Rémi-de-Tingwick,M,456
NR020,Le Rocher-Percé,TR,0
NR060,Avignon,TR,0
NR981,Minganie,TR,0
NR982,Le Golfe-du-Saint-Laurent,TR,0
R2102,Régie intermunicipale du transport adapté de la Vallée du Richelieu,RgI,
R4134,Régie du Service de sécurité incendie de la Vallée de la Rouge,RgI,
R4916,Régie intermunicipale de prévention et de protection incendie d'Ayer's Cliff et de Hatley,RgI,
R4920,Régie intermunicipale d'incendie Bellechasse-Sud,RgI,
