"Categorie","Debut","Fin","Titulaire","NomLieu","Adresse","Ville","CodePostal"
"RECRE","2022-10-12","2025-10-11","A LA DÃTENTE, CLUB DE L'AGE D'OR DE MONT ROLLAND","Centre culturel et communautaire","1200, rue Claude GrÃ©goire","Sainte-AdÃ¨le","J8B1E9"
"RECRE","2021-09-14","2024-09-13","ALTERNATIVE - CENTREGENS","Alternative Centregens","582 Chemin du Coteau-Rouge","Longueuil","J4J1Y6"
"SS_GES","2023-12-01","2026-11-30","ALTERNATIVES COMMUNAUTAIRES D'HABITATION ET D'INTERVENTION DE MILIEU","Salle GÃ©rard-Loiselle","2381, rue De Biencourt","MontrÃ©al","H4E1V2"
"SS_GES","2023-06-01","2026-05-31","AMBASSADEURS DE LA VALLÃE","Salle des 50 ans et plus","91, rue du CollÃ¨ge","Amqui","G5J2Y9"
"SS_GES","2021-12-01","2024-11-30","AMUSEMENTS SAINT-DAMASE INC.","Salle du Citoyen","5, Place de l'Ãglise","Saint-Damase-de-L'Islet","G0R2X0"
"AV_GES","2021-12-01","2024-11-30","APPARTEMENTS SUPERVISÃS LE TRANSIT","Bingo Saint-Eustache","510, rue Dufour","Saint-Eustache","J7R0C3"
"GES","2021-12-01","2024-11-30","ARÃNA DE REPENTIGNY LTÃE","ArÃ©na de Repentigny","80, boul. Brien","Repentigny","J6A5K7"
"FOURN","2024-06-09","2027-06-08","ARROW GAMES CORPORATION","","","",""
"RECRE","2022-06-17","2025-06-16","ASSOCIATION CAMPEURS CAMPING VALLÃE BLEUE (ACCVB)","Salle Communautaire Camping VallÃ©e Bleue","50 rue Haman","Lac-Brome","J0E2P0"
"RECRE","2024-05-31","2027-05-30","ASSOCIATION CAMPING KINOJÃVIS","Salle camping KinojÃ©vis","6570 rang de la Marina","Rouyn-Noranda","J0Z1K0"
"RECRE","2021-10-14","2024-10-13","ASSOCIATION COMMUNAUTAIRE DES AÃNÃS DU CAP","Centre communautaire des Ormeaux","300, rue Chapleau","Trois-RiviÃ¨res","G8W1Z9"
"RECRE","2024-05-24","2027-05-23","ASSOCIATION CULTURELLE DES GENS DE MILAN","Salle Communautaire de Milan","405, rang Sainte-Marie","Milan","G0Y1E0"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION DE BASEBALL AMATEUR DE LACHINE INC.","Bingo Lachine","2005, rue Saint-Antoine Ouest","MontrÃ©al","H8S4L2"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION DE BASEBALL AMATEUR DE VALLEYFIELD INC.","Centre Notre-Dame-de-Bellerive","84, rue Marquette","Salaberry-de-Valleyfield","J6S3C4"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION DE BASKETBALL WEST ISLAND LAKERS","Bingo Lachine","2005, rue Saint-Antoine Ouest","MontrÃ©al","H8S4L2"
"RECRE","2022-07-05","2025-07-04","ASSOCIATION DE CHASSE ET PÃCHE DE LA MINERVE INC.","Salle communautaire de La Minerve","91, chemin des Fondateurs","La Minerve","J0T1S0"
"RECRE","2022-06-25","2025-06-24","ASSOCIATION DE CHASSE ET PÃCHE DE PLESSISVILLE INC.","Camping chasse et pÃªche Plessisville","1617, chemin des Chalets","Saint-Pierre-Baptiste","G0P1K0"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION DE HOCKEY MINEUR DE LA PRAIRIE","Palladium de Brossard","9525, boul. Taschereau","Brossard","J4Y2J3"
"RECRE","2021-09-06","2024-09-05","ASSOCIATION DE L'ÃGE D'OR, BOIS-DES-FILION","Chalet des Citoyens des Bois-des-Filion","30, MontÃ©e Gagnon","Bois-des-Filion","J6Z4N9"
"RECRE","2023-01-17","2026-01-16","ASSOCIATION DE LOCATAIRE DE CHARLEMAGNE","Salle communautaire","155, Antonio-Mercier","Charlemagne","J5Z3S5"
"RECRE","2021-09-06","2024-09-05","ASSOCIATION DE LOCATAIRES ET LOISIRS DE L'ÃGE D'OR DU MANOIR AIMÃ-LÃONARD","Salle Aime LÃ©onard","6800, boul. Gouin Est","MontrÃ©al","H1G6J8"
"RECRE","2024-06-18","2027-06-17","ASSOCIATION DE LOISIRS  CAMPING LES CÃDRES INC.","Salle communautaire du Camping les CÃ¨dres","658, Route 219","Saint-Jean-sur-Richelieu","J2Y1C4"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION DE RINGUETTE DE REPENTIGNY","ArÃ©na de Repentigny","80, boul. Brien","Repentigny","J6A5K7"
"SS_GES","2022-06-01","2025-05-31","ASSOCIATION DES BÃNÃVOLES","Centre Colombien Roger Verreault","204, rue Bellevue Ouest","Les MÃ©chins","G0J1T0"
"GES","2023-06-01","2026-05-31","ASSOCIATION DES BINGOS DE VICTORIAVILLE INC.","Bingos Victoriaville (Grande Place des Bois Francs)","1111, boulevard Jutras Est , Local 59A","Victoriaville","G6S1C1"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION DES CARDIAQUES DE LA MAURICIE INC.","Salle  O 503","503, boulevard du Saint-Maurice","Trois-RiviÃ¨res","G9A3P1"
"RECRE","2022-08-28","2025-08-27","ASSOCIATION DES FUTURS RETRAITÃES ET RETRAITÃS DE LA TUQUE (LUCARNE)","Centre social municipal de La Tuque","525, Saint-EugÃ¨ne, local 002","La Tuque","G9X2T5"
"RECRE","2022-12-08","2025-12-07","ASSOCIATION DES HABITATIONS DROLET","Salle Communautaire Habitation Drolet","825, avenue Laurier Est","MontrÃ©al","H2T1G4"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION DES HANDICAPÃS DE SAINT-LUC","Bingo communautaire HR","186, boul. Saint-Joseph","Saint-Jean-sur-Richelieu","J3B1W7"
"RECRE","2022-01-04","2025-01-03","ASSOCIATION DES LOCATAIRES DE LA MAISON ADÃLARD LANGEVIN","Salle Commune AdÃ©lard Langevin","1830, rue Saint Germain","MontrÃ©al","H1W3X8"
"RECRE","2021-10-01","2024-09-30","ASSOCIATION DES LOCATAIRES DE LA RÃSIDENCE CHOMEDEY INC.","Salle communautaire de la RÃ©sidence Chomedey","1085, boul. Chomedey","Laval","H7V3T1"
"RECRE","2023-01-13","2026-01-12","ASSOCIATION DES LOCATAIRES DE LA VILLA DU CENTENAIRE","Salle communautaire de la Villa du Centenaire","117, rue de la Villa","Les MÃ©chins","G0J1T0"
"RECRE","2023-09-11","2026-09-10","ASSOCIATION DES LOCATAIRES DE L'HABITATION LAPORTE","Salle communautaire Laporte","11720, rue Notre-Dame Est","MontrÃ©al","H1B5M4"
"RECRE","2024-01-18","2027-01-17","ASSOCIATION DES LOCATAIRES DE L'OFFICE D'HABITATION DU KAMOURASKA EST","local 1","710 rue BeausÃ©jour","Saint-Alexandre-de-Kamouraska","G0L2G0"
"RECRE","2024-01-18","2027-01-17","ASSOCIATION DES LOCATAIRES DE L'OFFICE D'HABITATION DU KAMOURASKA EST","local 3","0 rue Chamberland","Saint-Philippe-de-NÃ©ri","G0L4A0"
"RECRE","2024-01-18","2027-01-17","ASSOCIATION DES LOCATAIRES DE L'OFFICE D'HABITATION DU KAMOURASKA EST","local 5","607 Avenue Saint-Martin","Saint-Pascal","G0L3Y0"
"RECRE","2024-01-18","2027-01-17","ASSOCIATION DES LOCATAIRES DE L'OFFICE D'HABITATION DU KAMOURASKA EST","local 6","80 Avenue Morel","Kamouraska","G0L1M0"
"RECRE","2024-01-18","2027-01-17","ASSOCIATION DES LOCATAIRES DE L'OFFICE D'HABITATION DU KAMOURASKA EST","local 4","703 rue Du Couvent","Sainte-HÃ©lÃ¨ne","G0L3J0"
"RECRE","2024-01-18","2027-01-17","ASSOCIATION DES LOCATAIRES DE L'OFFICE D'HABITATION DU KAMOURASKA EST","local 2","13 rue De La Fabrique","Mont-Carmel","G0L1W0"
"RECRE","2021-11-05","2024-11-04","ASSOCIATION DES LOCATAIRES DE L'OFFICE MUNICIPAL LANDRIENNE","Salle communautaire","173, Ave  Principale Est","Landrienne","J0Y1V0"
"RECRE","2023-05-07","2026-05-06","ASSOCIATION DES LOCATAIRES DE PINCOURT","Salle Communautaire","114 Duhamel","Pincourt","J7V4C8"
"RECRE","2023-11-27","2026-11-26","ASSOCIATION DES LOCATAIRES DES H.L.M. DE LOUISEVILLE","Salle Communautaire HLM De Louiseville","140, rue Bauil","Louiseville","J5V2R6"
"RECRE","2024-04-28","2027-04-27","ASSOCIATION DES LOCATAIRES DES PIONNIERS","Salle communautaire (sous-sol)","1360, des Pionniers","L'Ancienne-Lorette","G2E4M9"
"RECRE","2022-11-04","2025-11-03","ASSOCIATION DES LOCATAIRES DU 1175 SAINT-VALLIER OUEST","Salle Communautaire","1175, Saint-Vallier Ouest","QuÃ©bec","G1N1G8"
"RECRE","2023-11-07","2026-11-06","ASSOCIATION DES LOCATAIRES DU MANOIR ARTHUR SAUVÃ","Salle Manoir Arthur SauvÃ©","5543, boul. Arthur-SauvÃ©","Laval","H7R3X4"
"RECRE","2022-01-18","2025-01-17","ASSOCIATION DES LOCATAIRES DU MANOIR DES CHÃTEAUX","Salle commmunautaire","3275, des ChÃ¢teaux","Laval","H7V3T3"
"RECRE","2024-01-07","2027-01-06","ASSOCIATION DES LOCATAIRES EN ACTION HLM VICTORIAVILLE-WARWICK","Salle communautaire","65, Ermitage","Victoriaville","G6P8X3"
"RECRE","2022-09-08","2025-09-07","ASSOCIATION DES LOCATAIRES JOLIBOURG II","Salle Communautaire","5025, 5e Avenue Ouest","QuÃ©bec","G1H6X9"
"RECRE","2023-06-28","2026-06-27","ASSOCIATION DES LOISIRS CAMPING DOMAINE AU GRAND R","Bivouac","761, rue des Prairies","Trois-RiviÃ¨res","G8W2E5"
"RECRE","2021-10-30","2024-10-29","ASSOCIATION DES LOISIRS DE GARTHBY & BEAULAC INC.","Salle des Loisirs","3, rue St-FranÃ§ois","Beaulac-Garthby","G0Y1B0"
"RECRE","2023-05-05","2026-05-04","ASSOCIATION DES LOISIRS DU CAMPING SENTINELLE DU PARC INC.","Salle communautaire du Camping Domaine Sentinelle","1410 chemin Barrette (route 131)","Saint-FÃ©lix-de-Valois","J0K2M0"
"RECRE","2024-01-04","2027-01-03","ASSOCIATION DES LOISIRS DU HAVRE SOLEIL","Salle communautaire","450, Boulevard du Havre","Salaberry-de-Valleyfield","J6S5J2"
"RECRE","2021-11-09","2024-11-08","ASSOCIATION DES LOISIRS SEIZE-CENT","La Grande Salle","1600, rue Legendre Est","MontrÃ©al","H2M2K7"
"GES","2023-06-01","2026-05-31","ASSOCIATION DES ORGANISMES DE BINGOS DE ROUYN-NORANDA","Bingo du Cuivre","75, avenue Mercier","Rouyn-Noranda","J9X4X3"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION DES PARENTS D'ENFANTS HANDICAPÃS (APEH) INC.","Salle  O 503","503, boulevard du Saint-Maurice","Trois-RiviÃ¨res","G9A3P1"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION DES PARENTS D'ENFANTS HANDICAPÃS DE DRUMMOND INC.","Bingo Drummond","600, rue Cormier","Drummondville","J2C5C4"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION DES PERSONNES HANDICAPÃES PHYSIQUES ET SENSORIELLES SECTEUR JOLIETTE","Les Entreprises Jolodium inc.","12, rue Richelieu","Notre-Dame-des-Prairies","J6E7J9"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION DES PERSONNES HANDICAPÃES PHYSIQUES RIVE-NORD INC.","ArÃ©na de Repentigny","80, boul. Brien","Repentigny","J6A5K7"
"RECRE","2023-10-10","2026-10-09","ASSOCIATION DES POMPIERS DE SCOTSTOWN","Centre communautaire Scotstown","101, chemin Victoria Ouest","Scotstown","J0B3B0"
"RECRE","2022-03-29","2025-03-28","ASSOCIATION DES RÃSIDANTS DU BOISÃ NOTRE-DAME","Salle de rÃ©ception","3055, boul Notre-Dame","Laval","H7V4C6"
"RECRE","2021-09-13","2024-09-12","ASSOCIATION DES RÃSIDENTS DU 1500 MONTÃE MONETTE-VIMONT","ThÃ©Ã¢tre des Marronniers","1500, MontÃ©e Monette","Laval","H7M5C9"
"RECRE","2021-11-28","2024-11-27","ASSOCIATION DES RÃSIDENTS DU ST-PATRICK","Salle des ActivitÃ©s","100, Grande-AllÃ©e, Est, bur. 100","QuÃ©bec","G1R5N2"
"RECRE","2021-09-15","2024-09-14","ASSOCIATION DES RÃSIDENTS MAISON BADEAU SAUVÃ","Salle commune","680, boul. Ste-Croix","MontrÃ©al","H4L5J6"
"RECRE","2023-03-01","2026-02-28","ASSOCIATION DES RETRAITÃS DE CMC ÃLECTRONIQUE INC.","Compagnie Marconi Canada (CafÃ©tÃ©ria)","600, boul. Dr Frederik Phillips","MontrÃ©al","H4M2S9"
"RECRE","2023-02-22","2026-02-21","ASSOCIATION DES RETRAITÃS DU BOCAGE","Salle AndrÃ©e","58 Des Bouleaux","Notre-Dame-des-Prairies","J6E1B8"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION DU BASEBALL MINEUR DE CAP-DE-LA-MADELEINE INC.","Salle  O 503","503, boulevard du Saint-Maurice","Trois-RiviÃ¨res","G9A3P1"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION DU HOCKEY MINEUR DE POINTE-AUX-TREMBLES","Salle Bingo P.A.T.","11911, rue sherbrooke est","MontrÃ©al","H1B1C6"
"AV_GES","2024-06-01","2026-05-31","ASSOCIATION DU HOCKEY MINEUR DE SOULANGES","Centre Notre-Dame-de-Bellerive","84, rue Marquette","Salaberry-de-Valleyfield","J6S3C4"
"AV_GES","2022-06-01","2025-05-31","ASSOCIATION DU HOCKEY MINEUR DES SIEURS DE LONGUEUIL INC.","Bingo Longueuil","1591, boulevard Roland-Therrien","Longueuil","J4J5C5"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION DU HOCKEY SUR GLACE DE LACHINE INC.","Bingo Lachine","2005, rue Saint-Antoine Ouest","MontrÃ©al","H8S4L2"
"RECRE","2023-09-05","2026-09-04","ASSOCIATION ÃTUDIANTE DE L'ÃTS","Salle VidÃ©otron","1220, rue Notre-Dame Ouest","MontrÃ©al","H3C1K5"
"RECRE","2024-01-15","2027-01-14","ASSOCIATION FÃMININE D'ÃDUCATION ET D'ACTION SOCIALE","Centre communautaire","378, rue FranÃ§ois Bilodeau","Sainte-Jeanne-d'Arc","G0W1E0"
"RECRE","2022-10-18","2025-10-17","ASSOCIATION GÃNÃRALE DES ÃTUDIANTES ET ÃTUDIANTS DU CEGEP DE JONQUIÃRE","CafÃ©tÃ©ria du CÃ©gep de JonquiÃ¨re","2505, rue Saint-Hubert","Saguenay","G7X7W2"
"RECRE","2023-11-30","2026-11-29","ASSOCIATION GÃNÃRALE ÃTUDIANTE DU CÃGEP DU VIEUX MONTRÃAL","CafÃ© Exode","384-255, rue Ontario Est","MontrÃ©al","H2X1X2"
"RECRE","2024-08-01","2027-07-31","ASSOCIATION HORIZON ROSEMÃRE","Centre Horizon Rosemere","202, av. de la Grande-CÃ´te","RosemÃ¨re","J7A1J4"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION LAVALLOISE POUR LA DÃFICIENCE INTELLECTUELLE ET LE TROUBLE DU SPECTRE DE L'AUTISME (ALEDIA)","Bingo Saint-Vincent-de-Paul","4464, boul. de la Concorde Est","Laval","H7C2R4"
"RECRE","2022-05-29","2025-05-28","ASSOCIATION LOISIRS CAMPING KELLY","Salle Communautaire","2795, rue du Camping","Sainte-Julienne","J0K2T0"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION MIDI QUARANTE INC.","Bingo Saint-Vincent-de-Paul","4464, boul. de la Concorde Est","Laval","H7C2R4"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION POUR AINÃS RÃSIDANT Ã LAVAL","Bingo Saint-Vincent-de-Paul","4464, boul. de la Concorde Est","Laval","H7C2R4"
"RECRE","2022-05-15","2025-05-14","ASSOCIATION RÃCRÃATIVE CHOISY INC","Salle Communautaire du camping Choisy","209, Route 201","Rigaud","J0P1P0"
"SS_GES","2023-06-01","2026-05-31","ASSOCIATION RECREATIVE CLUB LATUQUOIS INC.","Club Latuquois","1529, chemin Fitzpatrick","La Tuque","G9X3N7"
"RECRE","2023-12-12","2026-12-11","ASSOCIATION RÃCRÃATIVE DE CADILLAC","Mezzanine ArÃ©na de Cadillac","50, rue Gildor-Roy","Rouyn-Noranda","J0Y1C0"
"SS_GES","2022-12-01","2025-11-30","ASSOCIATION RÃCRÃATIVE DE STE-LUCIE-DES-LAURENTIDES INC.","Salle communautaire","2024, chemin des Hauteurs","Sainte-Lucie-des-Laurentides","J0T2J0"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION RÃGIONALE DE SOCCER DE LAVAL","Les Galeries Laval","1545, boul. le Corbusier","Laval","H7S2K6"
"RECRE","2023-10-06","2026-10-05","ASSOCIATION RENAISSANCE DES APPALACHES","Chevalier de Colomb de Black Lake","951, rue Christophe Colomb","Thetford Mines","G6H2B5"
"RECRE","2023-11-24","2026-11-23","ASSOCIATION RINGUETTE SAINTE-MARIE","Centre communautaire St-ElzÃ©ar","707, rue Principale","Saint-ElzÃ©ar","G0S2J2"
"SS_GES","2024-06-01","2027-05-31","ASSOCIATION SPORTIVE DE SAINT-CYPRIEN","Salle communautaire Alcide-Ouellet","185, rue Principal","Saint-Cyprien","G0L2P0"
"AV_GES","2021-12-01","2024-11-30","ASSOCIATION SPORTIVE LAVAL-EST INC.","Bingo Saint-Vincent-de-Paul","4464, boul. de la Concorde Est","Laval","H7C2R4"
"AV_GES","2023-06-01","2026-05-31","ASSOCIATION SPORTIVE ST-LUC","Bingo communautaire HR","186, boul. Saint-Joseph","Saint-Jean-sur-Richelieu","J3B1W7"
"AV_GES","2022-06-01","2025-05-31","ATELIER LES MAINS VERTES","Bingo Longueuil","1591, boulevard Roland-Therrien","Longueuil","J4J5C5"
"AV_GES","2021-12-01","2024-11-30","AU JARDIN DE LA FAMILLE DE FABREVILLE INC.","Les Galeries Laval","1545, boul. le Corbusier","Laval","H7S2K6"
"AV_GES","2021-12-01","2024-11-30","AVIRON LACHINE","Bingo Lachine","2005, rue Saint-Antoine Ouest","MontrÃ©al","H8S4L2"
"SS_GES","2023-06-01","2026-05-31","AYDELU  INCORPORÃE","Centre Aydelu","94, rue du Patrimoine","Gatineau","J9H5E6"
"AV_GES","2021-12-01","2024-11-30","BASEBALL JUNIOR ST-EUSTACHE INC.","Bingo Saint-Eustache","510, rue Dufour","Saint-Eustache","J7R0C3"
"GES","2023-06-01","2026-05-31","BINGO COMMUNAUTAIRE HR","Bingo communautaire HR","186, boul. Saint-Joseph","Saint-Jean-sur-Richelieu","J3B1W7"
"GES","2021-12-01","2024-11-30","BINGO DE LA CAPITALE S.E.N.C.","Bingo de la Capitale","100, rue Chabot, suite 150","QuÃ©bec","G1M1K2"
"GES","2021-12-01","2024-11-30","BINGO DES GALERIES LAVAL INC.","Les Galeries Laval","1545, boul. le Corbusier","Laval","H7S2K6"
"GES","2021-12-01","2024-11-30","BINGO DES LAURENTIDES INC.","Bingo des Laurentides","500, boul. des Laurentides","Saint-JÃ©rÃ´me","J7Z4M2"
"GES","2023-06-01","2026-05-31","BINGO DRUMMOND","Bingo Drummond","600, rue Cormier","Drummondville","J2C5C4"
"RECRE","2021-11-29","2024-11-28","BINGO ENTRAIDE POLTIMORE QC","Salle municipale de Denholm","419, chemin du Poisson-Blanc","Denholm","J8N9C8"
"GES","2021-12-01","2024-11-30","BINGO P.A.T.  INC.","Salle Bingo P.A.T.","11911, rue sherbrooke est","MontrÃ©al","H1B1C6"
"GES","2021-12-01","2024-11-30","BINGO ST-EUSTACHE INC.","Bingo Saint-Eustache","510, rue Dufour","Saint-Eustache","J7R0C3"
"RECRE","2024-01-25","2027-01-24","BONJOUR AUJOURD'HUI ET APRÃS INC.","Pavillion BoisÃ© Papineau","3235 Boulevard Saint-Martin Est","Laval","H7E5G8"
"RECRE","2024-01-25","2027-01-24","BONJOUR AUJOURD'HUI ET APRÃS INC.","Bonjour Aujourd'hui et AprÃ¨s","800 Montrose","Laval","H7E3M5"
"MEDIA","2021-10-01","2024-09-30","CÃBLE COMMUNAUTAIRE DE BEAUCE INC.","CÃ¢ble Communautaire Beauce Inc.","595 E, 9e Avenue","Beauceville","G5X1J3"
"AV_GES","2024-06-01","2026-05-31","CAFÃ DES DEUX PAINS DE VALLEYFIELD INC.","Centre Notre-Dame-de-Bellerive","84, rue Marquette","Salaberry-de-Valleyfield","J6S3C4"
"RECRE","2024-06-15","2027-06-14","CAMPING DE LA MER - COMITÃ DES LOISIRS","Salle Gaby Beaulieu et Chapiteau","72, rue Chouinard","Pointe-Lebel","G0H1N0"
"RECRE","2023-06-03","2026-06-02","CAMPING D.F.E.","La grange du Domaine de la frontiÃ¨re enchantÃ©e","474, route Covey Hill","Havelock","J0S2C0"
"RECRE","2024-07-12","2027-07-11","CAMPING LATUQUOIS","Salle communautaire Le Rendez-Vous","14, rue Domaine Morency","La Tuque","G9X3P2"
"RECRE","2022-07-01","2025-06-30","CAMPING LE MARQUIS","Salle communautaire Camping le Marquis","1630 rue Notre-Dame","Saint-Sulpice","J5W3V5"
"AV_GES","2021-12-01","2024-11-30","CAMP ""O"" CARREFOUR INC.","Bingo de la Capitale","100, rue Chabot, suite 150","QuÃ©bec","G1M1K2"
"AV_GES","2023-06-01","2026-05-31","CAMP SCOUGUI","Bingo Drummond","600, rue Cormier","Drummondville","J2C5C4"
"AV_GES","2023-06-01","2026-05-31","CARREFOUR ACCÃS LOISIRS INC.","Bingo Sherbrooke","4201, boulevard Bertrand-Fabi","Sherbrooke","J1N1X5"
"AV_GES","2023-06-01","2026-05-31","CARREFOUR D'ENTRAIDE DRUMMOND INC.","Bingo Drummond","600, rue Cormier","Drummondville","J2C5C4"
"AV_GES","2021-12-01","2024-11-30","CARREFOUR JEUNESSE-EMPLOI DE MARQUETTE","Bingo Lachine","2005, rue Saint-Antoine Ouest","MontrÃ©al","H8S4L2"
"RECRE","2024-01-26","2027-01-25","CARREFOUR PARENFANTS","Le Tambour Ste-Cath","4264 rue Sainte Catherine Est","MontrÃ©al","H1V1X6"
"SS_GES","2022-06-01","2025-05-31","CASA SOPHIA","Espace Sophia","20, rue de l'Ãglise","Sainte-Sophie-d'Halifax","G0P1L0"
"RECRE","2022-01-05","2025-01-04","CENTRE 50 +  ANJOU-LOUIS-RIEL","Salle Magnus Poirier","6825 est, Rue Sherbrooke","MontrÃ©al","H1N1C7"
"RECRE","2021-10-03","2024-10-02","CENTRE ACTION GÃNÃRATIONS DES AÃNÃS DE LA VALLÃE-DE-LA-LIÃVRE","Salle des Chevaliers de Colomb","121, chemin du Pont de Bois","Val-des-Bois","J0X3C0"
"RECRE","2021-10-03","2024-10-02","CENTRE ACTION GÃNÃRATIONS DES AÃNÃS DE LA VALLÃE-DE-LA-LIÃVRE","Centre Communautaire","125 rue Bourget","Thurso","J0X3B0"
"RECRE","2021-10-03","2024-10-02","CENTRE ACTION GÃNÃRATIONS DES AÃNÃS DE LA VALLÃE-DE-LA-LIÃVRE","Centre communautaire salle Eva Boucher","181, rue Joseph","Gatineau","J8L1G6"
