clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle sans soutien public du revenu,Région,01 - Bas-Saint-Laurent,1465,1825,2026,2618
Individu - clientèle sans soutien public du revenu,Région,02 - Saguenay - Lac-St-Jean,2455,2929,3875,4772
Individu - clientèle sans soutien public du revenu,Région,03 - Capitale-Nationale,6696,8139,9090,11364
Individu - clientèle sans soutien public du revenu,Région,04 - Mauricie,1885,2411,2779,3616
Individu - clientèle sans soutien public du revenu,Région,05 - Estrie,2636,3283,3551,4591
Individu - clientèle sans soutien public du revenu,Région,06 - Île-de-Montréal,23932,29706,32517,41761
Individu - clientèle sans soutien public du revenu,Région,07 - Outaouais,3153,3598,4196,4923
Individu - clientèle sans soutien public du revenu,Région,08 - Abitibi-Témiscamingue,1415,1859,1894,2597
Individu - clientèle sans soutien public du revenu,Région,09 - Côte-Nord,949,1107,1251,1493
Individu - clientèle sans soutien public du revenu,Région,10 - Nord-du-Québec,179,202,239,273
Individu - clientèle sans soutien public du revenu,Région,11 - Gaspésie - Îles-de-la-Madeleine,1169,1466,1555,2083
Individu - clientèle sans soutien public du revenu,Région,12 - Chaudière-Appalaches,2745,3453,3346,4432
Individu - clientèle sans soutien public du revenu,Région,13 - Laval,3132,3933,4784,6037
Individu - clientèle sans soutien public du revenu,Région,14 - Lanaudière,2060,2519,2589,3313
Individu - clientèle sans soutien public du revenu,Région,15 - Laurentides,3748,4423,5426,6447
Individu - clientèle sans soutien public du revenu,Région,16 - Montérégie,12785,15181,17245,21156
Individu - clientèle sans soutien public du revenu,Région,17 - Centre-du-Québec,1514,1908,2249,3030
Individu - clientèle sans soutien public du revenu,Sexe,Femme,36147,44240,50032,63246
Individu - clientèle sans soutien public du revenu,Sexe,Homme,35373,43094,48580,61260
Individu - clientèle sans soutien public du revenu,Groupe d'âge,Moins de 20 ans,11586,14289,15287,19035
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 20 à 24 ans,12964,16016,17464,22044
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 25 à 29 ans,9557,11739,12832,16202
