clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle sans soutien public du revenu,Région,01 - Bas-Saint-Laurent,1458,1732,2059,2526
Individu - clientèle sans soutien public du revenu,Région,02 - Saguenay - Lac-St-Jean,2335,2722,3539,4304
Individu - clientèle sans soutien public du revenu,Région,03 - Capitale-Nationale,6249,7495,8427,10477
Individu - clientèle sans soutien public du revenu,Région,04 - Mauricie,2412,2777,3243,3822
Individu - clientèle sans soutien public du revenu,Région,05 - Estrie,2294,2779,3175,3926
Individu - clientèle sans soutien public du revenu,Région,06 - Île-de-Montréal,22379,26851,30404,37584
Individu - clientèle sans soutien public du revenu,Région,07 - Outaouais,3060,3449,4052,4669
Individu - clientèle sans soutien public du revenu,Région,08 - Abitibi-Témiscamingue,1352,1656,1940,2372
Individu - clientèle sans soutien public du revenu,Région,09 - Côte-Nord,908,1065,1211,1455
Individu - clientèle sans soutien public du revenu,Région,10 - Nord-du-Québec,228,244,287,318
Individu - clientèle sans soutien public du revenu,Région,11 - Gaspésie - Îles-de-la-Madeleine,1104,1311,1578,1960
Individu - clientèle sans soutien public du revenu,Région,12 - Chaudière-Appalaches,2887,3423,3560,4417
Individu - clientèle sans soutien public du revenu,Région,13 - Laval,2553,2992,3499,4233
Individu - clientèle sans soutien public du revenu,Région,14 - Lanaudière,1999,2420,2471,3153
Individu - clientèle sans soutien public du revenu,Région,15 - Laurentides,3859,4330,5652,6420
Individu - clientèle sans soutien public du revenu,Région,16 - Montérégie,12818,14456,17099,19891
Individu - clientèle sans soutien public du revenu,Région,17 - Centre-du-Québec,1710,2054,2395,3091
Individu - clientèle sans soutien public du revenu,Sexe,Femme,35284,41398,48548,58685
Individu - clientèle sans soutien public du revenu,Sexe,Homme,33930,39822,46043,55933
Individu - clientèle sans soutien public du revenu,Groupe d'âge,Moins de 20 ans,11807,13426,15381,17684
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 20 à 24 ans,13281,15379,17609,20828
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 25 à 29 ans,9020,10694,12187,14821
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 30 à 34 ans,9146,10909,12753,15480
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 35 à 39 ans,7684,9296,10993,13588
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 40 à 44 ans,5354,6630,7530,9547
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 45 à 49 ans,3872,4855,5289,6756
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 50 à 54 ans,3805,4671,5230,6641
Individu - clientèle sans soutien public du revenu,Groupe d'âge,55 ans et plus,5750,6671,7619,9273
Individu - clientèle sans soutien public du revenu,Groupe d'âge,35 ans et moins,44846,51974,60570,72038
