clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle sans soutien public du revenu,Région,01 - Bas-Saint-Laurent,783,1036,1124,1496
Individu - clientèle sans soutien public du revenu,Région,02 - Saguenay - Lac-St-Jean,1281,1604,1848,2326
Individu - clientèle sans soutien public du revenu,Région,03 - Capitale-Nationale,3909,4960,6031,7466
Individu - clientèle sans soutien public du revenu,Région,04 - Mauricie,1738,2063,2422,2947
Individu - clientèle sans soutien public du revenu,Région,05 - Estrie,1623,2139,2243,3074
Individu - clientèle sans soutien public du revenu,Région,06 - Île-de-Montréal,17616,22720,23762,31340
Individu - clientèle sans soutien public du revenu,Région,07 - Outaouais,2575,3078,3638,4434
Individu - clientèle sans soutien public du revenu,Région,08 - Abitibi-Témiscamingue,822,1103,1116,1533
Individu - clientèle sans soutien public du revenu,Région,09 - Côte-Nord,1048,1176,1198,1381
Individu - clientèle sans soutien public du revenu,Région,10 - Nord-du-Québec,198,213,267,293
Individu - clientèle sans soutien public du revenu,Région,11 - Gaspésie - Îles-de-la-Madeleine,559,739,770,1037
Individu - clientèle sans soutien public du revenu,Région,12 - Chaudière-Appalaches,1535,1971,1916,2509
Individu - clientèle sans soutien public du revenu,Région,13 - Laval,2177,2757,3080,4079
Individu - clientèle sans soutien public du revenu,Région,14 - Lanaudière,1616,1980,2093,2618
Individu - clientèle sans soutien public du revenu,Région,15 - Laurentides,2453,2961,3349,4081
Individu - clientèle sans soutien public du revenu,Région,16 - Montérégie,7928,9740,10467,13179
Individu - clientèle sans soutien public du revenu,Région,17 - Centre-du-Québec,1114,1393,1656,2125
Individu - clientèle sans soutien public du revenu,Sexe,Femme,24001,30480,33417,43334
Individu - clientèle sans soutien public du revenu,Sexe,Homme,24697,30732,33563,42584
Individu - clientèle sans soutien public du revenu,Groupe d'âge,Moins de 20 ans,9913,12389,12526,15843
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 20 à 24 ans,7974,10274,10603,13887
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 25 à 29 ans,4826,6208,6701,8658
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 30 à 34 ans,5748,7319,8220,10554
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 35 à 39 ans,6242,7965,8947,11584
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 40 à 44 ans,4698,6055,6812,8889
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 45 à 49 ans,2894,3661,4092,5271
Individu - clientèle sans soutien public du revenu,Groupe d'âge,De 50 à 54 ans,2214,2829,3004,3903
Individu - clientèle sans soutien public du revenu,Groupe d'âge,55 ans et plus,4572,5370,6075,7329
Individu - clientèle sans soutien public du revenu,Groupe d'âge,35 ans et moins,29504,37332,39794,51228
Individu - clientèle sans soutien public du revenu,Groupe d'âge,36 ans et plus,19253,24002,27186,34690
Individu - clientèle sans soutien public du revenu,Famille monoparentale,Oui,2391,3109,3281,4290
Individu - clientèle sans soutien public du revenu,Famille monoparentale,Non,46366,58194,63697,81621
Individu - clientèle sans soutien public du revenu,Famille monoparentale,Inconnue,1,6,2,7
Individu - clientèle sans soutien public du revenu,Scolarité,Primaire,1797,2375,2559,3478
Individu - clientèle sans soutien public du revenu,Scolarité,Secondaire I à IV,13474,16878,17508,22367
Individu - clientèle sans soutien public du revenu,Scolarité,Secondaire V,9465,11822,12306,15705
Individu - clientèle sans soutien public du revenu,Scolarité,Collégial,5562,6973,7450,9484
Individu - clientèle sans soutien public du revenu,Scolarité,Universitaire,13135,16688,19257,25077
Individu - clientèle sans soutien public du revenu,Scolarité,Inconnue,5827,7275,7900,9807
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Aucun diplôme,20523,25614,26458,33722
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Secondaire - DES,3510,4691,4973,6782
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Secondaire - DEP,1738,2180,2512,3234
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Secondaire - ASP,91,113,124,162
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Collégial - AEC,696,892,1091,1442
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Collégial - DEC général,617,835,914,1252
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Collégial - DEC professionnel,992,1417,1511,2149
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Universitaire - Certificat,152,223,206,330
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Universitaire - Baccalauréat,1970,2670,3117,4305
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1096,1424,1806,2389
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Inconnu,17975,22158,24268,30151
Individu - clientèle sans soutien public du revenu,Personne handicapée,Oui,4158,5972,6295,9327
Individu - clientèle sans soutien public du revenu,Personne handicapée,Non,44647,55420,60685,76591
Individu - clientèle sans soutien public du revenu,Autochtone,Oui,577,692,770,930
Individu - clientèle sans soutien public du revenu,Autochtone,Non,31873,40940,45451,59400
Individu - clientèle sans soutien public du revenu,Autochtone,Inconnu,16248,19580,20759,25588
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Né au Canada,25064,31795,33016,42735
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,8052,10331,13026,16911
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,4966,6389,6840,9056
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Inconnu,10671,12809,14098,17216
Individu - clientèle sans soutien public du revenu,Statut au début de la participation,Sans soutien public du revenu,48698,61212,66980,85918
