NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,  NOMBRE_DEPARTS  ,  JOURS_HOSPIT_TOTAL  ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Touriste,80, 129    , 784    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
2,Soins physiques et psychiatriques de courte durée,Touriste,81, 114    , 1 396    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
3,Soins physiques et psychiatriques de courte durée,Touriste,82, 18    , 87    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
4,Soins physiques et psychiatriques de courte durée,Touriste,83, 38    , 255    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
5,Soins physiques et psychiatriques de courte durée,Touriste,84, 1 004    , 5 929    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
6,Soins physiques et psychiatriques de courte durée,Touriste,85, 57    , 401    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
7,Soins physiques et psychiatriques de courte durée,Touriste,86, 1 169    , 8 992    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
8,Soins physiques et psychiatriques de courte durée,Touriste,87, 21    , 198    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
9,Soins physiques et psychiatriques de courte durée,Touriste,88, 61    , 601    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
10,Soins physiques et psychiatriques de courte durée,Touriste,91, 228    , 1 308    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
