NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,NOMBRE_DE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,"Soins physiques et psychiatriques de courte durée","TOURISTE","00080 Alberta",125,1169,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
2,"Soins physiques et psychiatriques de courte durée","TOURISTE","00081 Colombie-Britannique",114,687,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
3,"Soins physiques et psychiatriques de courte durée","TOURISTE","00082 Île-du-Prince-Édouard",14,193,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
4,"Soins physiques et psychiatriques de courte durée","TOURISTE","00083 Manitoba",37,857,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
5,"Soins physiques et psychiatriques de courte durée","TOURISTE","00084 Nouveau-Brunswick",674,4185,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
6,"Soins physiques et psychiatriques de courte durée","TOURISTE","00085 Nouvelle-Écosse",56,821,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
7,"Soins physiques et psychiatriques de courte durée","TOURISTE","00086 Ontario",1099,13822,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
8,"Soins physiques et psychiatriques de courte durée","TOURISTE","00087 Saskatchewan",26,253,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
9,"Soins physiques et psychiatriques de courte durée","TOURISTE","00088 Terre-Neuve-et-Labrador",65,248,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
10,"Soins physiques et psychiatriques de courte durée","TOURISTE","00090 Yukon",6,19,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
