NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,NOMBRE_DE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,"Soins physiques et psychiatriques de courte durée","TOURISTE","00080 Alberta",168,1318,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
2,"Soins physiques et psychiatriques de courte durée","TOURISTE","00081 Colombie-Britannique",130,2245,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
3,"Soins physiques et psychiatriques de courte durée","TOURISTE","00082 Île-du-Prince-Édouard",30,305,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
4,"Soins physiques et psychiatriques de courte durée","TOURISTE","00083 Manitoba",43,335,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
5,"Soins physiques et psychiatriques de courte durée","TOURISTE","00084 Nouveau-Brunswick",1060,5237,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
6,"Soins physiques et psychiatriques de courte durée","TOURISTE","00085 Nouvelle-Écosse",91,2116,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
7,"Soins physiques et psychiatriques de courte durée","TOURISTE","00086 Ontario",1163,9556,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
8,"Soins physiques et psychiatriques de courte durée","TOURISTE","00087 Saskatchewan",29,415,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
9,"Soins physiques et psychiatriques de courte durée","TOURISTE","00088 Terre-Neuve-et-Labrador",99,727,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
10,"Soins physiques et psychiatriques de courte durée","TOURISTE","00089 Territoires du Nord-Ouest",5,7,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
11,"Soins physiques et psychiatriques de courte durée","TOURISTE","00090 Yukon",5,10,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
12,"Soins physiques et psychiatriques de courte durée","TOURISTE","00091 États-Unis (USA)",256,1472,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
13,"Soins physiques et psychiatriques de courte durée","TOURISTE","00092 Autre pays",3776,15868,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
14,"Soins physiques et psychiatriques de courte durée","TOURISTE","00093 Nunavut",32,156,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
15,"Soins physiques et psychiatriques de courte durée","TOURISTE","AUTRES",3,7,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
16,"Soins physiques et psychiatriques de courte durée","TOTAL TOURISTE"," ",6890,39774,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
17,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07005 SAINTE-MARGUERITE-MARIE",20,108,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
18,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07010 SAINTE-FLORENCE",51,201,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
19,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07018 CAUSAPSCAL",322,1725,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
20,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07025 ALBERTVILLE",16,82,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
21,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07030 SAINT-LEON-LE-GRAND",124,614,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
22,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07035 SAINT-ZENON-DU-LAC-HUMQUI",44,194,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
23,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07040 SAINTE-IRENE",33,107,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
24,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07047 AMQUI",811,4183,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
25,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07057 LAC-AU-SAUMON",176,824,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
26,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07065 SAINT-ALEXANDRE-DES-LACS",45,202,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
27,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07070 SAINT-THARCISIUS",66,396,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
28,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07075 SAINT-VIANNEY",41,152,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
29,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07080 VAL-BRILLANT",142,1012,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
30,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07085 SAYABEC",287,1407,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
31,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07090 SAINT-CLEOPHAS",43,182,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
32,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07095 SAINT-MOISE",74,351,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
33,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07100 SAINT-NOEL",91,409,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
34,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07105 SAINT-DAMASE",37,209,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
35,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07902 ROUTHIERVILLE",7,24,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
36,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08005 LES MECHINS",176,761,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
37,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08010 SAINT-JEAN-DE-CHERBOURG",36,219,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
38,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08015 GROSSES-ROCHES",52,258,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
39,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08023 SAINTE-FELICITE",246,1158,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
40,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08030 SAINT-ADELME",61,195,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
41,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08035 SAINT-RENE-DE-MATANE",181,715,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
42,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08040 SAINTE-PAULE",40,145,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
43,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08053 MATANE",2317,11479,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
44,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08065 SAINT-LEANDRE",52,316,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
45,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08073 SAINT-ULRIC",194,811,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
46,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08080 BAIE-DES-SABLES",104,552,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
47,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09005 LA REDEMPTION",27,67,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
48,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09010 SAINT-CHARLES-GARNIER",34,192,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
49,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09015 LES HAUTEURS",79,399,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
50,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09020 SAINTE-JEANNE-D'ARC",21,119,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
51,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09025 SAINT-GABRIEL-DE-RIMOUSKI",140,795,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
52,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09030 SAINT-DONAT",77,385,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
53,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09035 SAINTE-ANGELE-DE-MERICI",106,480,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
54,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09040 PADOUE",24,77,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
55,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09048 METIS-SUR-MER",48,246,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
56,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09055 SAINT-OCTAVE-DE-METIS",38,231,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
57,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09060 GRAND-METIS",22,97,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
58,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09065 PRICE",238,1560,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
59,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09070 SAINT-JOSEPH-DE-LEPAGE",89,759,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
60,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09077 MONT-JOLI",890,6689,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
61,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09085 SAINTE-FLAVIE",106,778,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
62,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09092 SAINTE-LUCE",312,3545,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
63,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10005 ESPRIT-SAINT",54,287,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
64,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10010 LA TRINITE-DES-MONTS",52,414,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
65,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10015 SAINT-NARCISSE-DE-RIMOUSKI",112,398,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
66,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10025 SAINT-MARCELLIN",41,200,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
67,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10030 SAINT-ANACLET-DE-LESSARD",313,1567,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
68,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10043 RIMOUSKI",5507,34941,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
69,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10060 SAINT-VALERIEN",78,296,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
70,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10070 SAINT-FABIEN",239,1495,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
71,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10075 SAINT-EUGENE-DE-LADRIERE",56,263,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
72,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11005 SAINT-CLEMENT",40,153,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
73,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11010 SAINT-JEAN-DE-DIEU",153,764,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
74,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11015 SAINTE-RITA",24,73,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
