NUMEROTATION,TYPE_DE_SOINS,REGION, MUNICIPALITE , NOMBRE_DEPARTS , JOURS_HOSPIT_TOTAL ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Touriste, 80    , 100    , 1 226    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
2,Soins physiques et psychiatriques de courte durée,Touriste, 81    , 132    , 1 219    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
3,Soins physiques et psychiatriques de courte durée,Touriste, 82    , 17    , 71    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
4,Soins physiques et psychiatriques de courte durée,Touriste, 83    , 54    , 369    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
5,Soins physiques et psychiatriques de courte durée,Touriste, 84    , 1 010    , 5 477    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
6,Soins physiques et psychiatriques de courte durée,Touriste, 85    , 66    , 926    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
7,Soins physiques et psychiatriques de courte durée,Touriste, 86    , 1 283    , 9 947    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
8,Soins physiques et psychiatriques de courte durée,Touriste, 87    , 22    , 180    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
9,Soins physiques et psychiatriques de courte durée,Touriste, 88    , 83    , 516    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
10,Soins physiques et psychiatriques de courte durée,Touriste, 91    , 210    , 1 143    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
11,Soins physiques et psychiatriques de courte durée,Touriste, 92    , 2 201    , 8 741    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
12,Soins physiques et psychiatriques de courte durée,Touriste, 93    , 29    , 125    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
13,Soins physiques et psychiatriques de courte durée,Touriste, Autres , 5    , 49    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
14,Soins physiques et psychiatriques de courte durée,Touriste, Total Touriste , 5 212    , 29 989    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
15,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent, 7 005    , 25    , 116    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
