NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,NOMBRE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Touriste,80,117,936,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
2,Soins physiques et psychiatriques de courte durée,Touriste,81,111,952,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
3,Soins physiques et psychiatriques de courte durée,Touriste,82,12,86,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
4,Soins physiques et psychiatriques de courte durée,Touriste,83,44,381,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
5,Soins physiques et psychiatriques de courte durée,Touriste,84,999,5938,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
6,Soins physiques et psychiatriques de courte durée,Touriste,85,65,1118,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
7,Soins physiques et psychiatriques de courte durée,Touriste,86,1330,9113,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
8,Soins physiques et psychiatriques de courte durée,Touriste,87,24,217,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
9,Soins physiques et psychiatriques de courte durée,Touriste,88,74,443,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
10,Soins physiques et psychiatriques de courte durée,Touriste,89,8,68,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
11,Soins physiques et psychiatriques de courte durée,Touriste,90,5,6,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
12,Soins physiques et psychiatriques de courte durée,Touriste,91,221,1211,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
13,Soins physiques et psychiatriques de courte durée,Touriste,92,1756,8514,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
14,Soins physiques et psychiatriques de courte durée,Touriste,93,59,269,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
15,Soins physiques et psychiatriques de courte durée,Touriste,Autres,1,2,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
16,Soins physiques et psychiatriques de courte durée,Touriste,Total Touriste,4826,29254,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
17,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7005,18,96,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
18,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7010,82,637,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
19,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7018,307,1823,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
20,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7025,21,111,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
21,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7030,108,562,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
22,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7035,47,165,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
23,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7040,39,238,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
24,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7047,849,5085,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
25,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7057,223,1352,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
26,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7065,33,168,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
27,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7070,44,191,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
28,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7075,73,410,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
29,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7080,151,969,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
30,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7085,243,1631,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
31,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7090,34,254,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
32,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7095,74,485,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
33,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7100,82,440,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
34,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7105,63,305,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
35,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7902,9,48,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
36,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8005,151,869,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
37,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8010,29,165,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
38,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8015,92,744,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
39,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8023,214,1292,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
40,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8030,67,358,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
41,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8035,127,469,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
42,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8040,23,78,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
43,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8053,2106,13175,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
44,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8065,50,246,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
45,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8073,208,1258,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
46,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8080,72,499,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
47,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9005,35,128,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
48,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9010,40,291,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
49,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9015,87,436,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
50,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9020,30,223,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
51,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9025,137,710,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
52,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9030,73,433,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
53,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9035,131,936,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
54,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9040,28,166,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
55,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9048,69,590,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
56,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9055,48,249,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
57,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9060,31,300,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
58,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9065,275,1769,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
59,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9070,51,346,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
60,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9077,909,7452,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
61,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9085,93,490,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
62,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9092,325,2424,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
63,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10005,66,359,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
64,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10010,35,217,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
65,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10015,88,580,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
66,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10025,27,173,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
67,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10030,272,1496,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
68,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10043,4816,34692,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
69,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10060,72,326,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
70,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10070,183,1209,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
71,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10075,49,341,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
72,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11005,41,188,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
73,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11010,184,920,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
74,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11015,21,150,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
75,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11020,12,70,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
76,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11025,17,110,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
77,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11030,48,317,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
78,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11035,40,427,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
79,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11040,353,2638,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
80,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11045,15,89,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
81,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11050,57,684,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
82,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11055,43,298,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
83,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12005,135,1129,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
84,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12010,145,1354,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
85,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12015,347,2119,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
86,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12020,100,466,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
87,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12025,25,134,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
88,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12030,99,543,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
89,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12035,31,125,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
90,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12043,178,1694,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
91,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12045,6,20,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
92,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12057,16,169,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
93,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12065,123,1021,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
94,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12072,2084,20137,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
95,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12080,97,747,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
96,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12804,162,1064,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
97,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13005,369,2495,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
98,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13010,38,342,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
99,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13015,84,335,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
100,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13020,61,428,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
101,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13025,201,1495,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
102,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13030,57,280,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
103,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13035,33,221,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
