NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,NOMBRE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Touriste,80,119,995,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
2,Soins physiques et psychiatriques de courte durée,Touriste,81,129,1090,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
3,Soins physiques et psychiatriques de courte durée,Touriste,82,15,138,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
4,Soins physiques et psychiatriques de courte durée,Touriste,83,46,293,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
5,Soins physiques et psychiatriques de courte durée,Touriste,84,1042,6904,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
6,Soins physiques et psychiatriques de courte durée,Touriste,85,66,472,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
7,Soins physiques et psychiatriques de courte durée,Touriste,86,1241,9099,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
8,Soins physiques et psychiatriques de courte durée,Touriste,87,38,608,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
9,Soins physiques et psychiatriques de courte durée,Touriste,88,87,598,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
10,Soins physiques et psychiatriques de courte durée,Touriste,89,5,17,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
11,Soins physiques et psychiatriques de courte durée,Touriste,90,8,17,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
12,Soins physiques et psychiatriques de courte durée,Touriste,91,239,1291,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
13,Soins physiques et psychiatriques de courte durée,Touriste,92,1900,8654,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
14,Soins physiques et psychiatriques de courte durée,Touriste,93,37,124,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
15,Soins physiques et psychiatriques de courte durée,Touriste,Total Touriste,4972,30300,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
16,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7005,22,118,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
17,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7010,64,354,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
18,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7018,372,2416,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
19,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7025,32,226,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
20,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7030,119,832,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
21,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7035,57,234,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
22,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7040,31,139,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
23,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7047,821,4841,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
24,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7057,211,1154,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
25,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7065,36,260,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
26,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7070,35,168,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
27,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7075,63,281,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
28,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7080,145,739,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
29,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7085,282,1423,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
30,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7090,42,274,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
31,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7095,58,259,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
32,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7100,57,256,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
33,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7105,72,472,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
34,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8005,158,758,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
35,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8010,42,110,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
36,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8015,69,339,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
37,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8023,148,695,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
38,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8030,40,251,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
39,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8035,147,850,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
40,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8040,29,162,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
41,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8053,2092,13580,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
