IdentifiantContrat,NumeroContrat,TypeContrat,AnneeContrat,NoResolution,IdentifiantArrondissement,ArrondissementCode,Arrondissement,DescriptionType,Entreprise
1253,"AHU-101","Déneigement","2019-2023","CM19 1024",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","A. &  O. Gendron inc."
1254,"AHU-102","Déneigement","2020-2023","CM20 0626",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Groupe Imog Inc."
1255,"AHU-103","Déneigement","2020-2023","CM20 0626",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","9115-7883 Québec inc. / Sig-Nature"
1256,"AHU-104","Déneigement","2019-2023","CM19 0916",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Canbec Construction"
1257,"AHU-105","Déneigement","2019-2023","CM19 0919",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Groupe Imog Inc."
1258,"AHU-106","Déneigement","2019-2023","CM19 0919",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Entrepreneurs Bucaro inc."
1259,"AHU-107","Déneigement","2019-2023","CM19 0916",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Entrepreneurs Bucaro inc."
1260,"AHU-201","Transport","2021-2023","CM21 0727",22,"AHU","Ahuntsic-Cartierville","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Deneigement Cyrbault Inc. - 341795"
1261,"AHU-202","Transport","2021-2023","CM21 0727",22,"AHU","Ahuntsic-Cartierville","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Deneigement Cyrbault Inc. - 341795"
1262,"AHU-RE","Régie","2018-2099","",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté par la régie","AHU - Ville de Montréal - Régie"
1263,"ANJ-101","Déneigement","2021-2023","CM21 1191",9,"ANJ","Anjou","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Déneigement Fontaine Gadbois inc"
1264,"ANJ-RE","Régie","2021-2030","",9,"ANJ","Anjou","Contrat exécuté par la régie","ANJ - Ville de Montréal - Régie"
1265,"CDN-111","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Canbec Construction"
1266,"CDN-112","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","NMP Golf Construction Inc."
1267,"CDN-113","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1268,"CDN-114","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1269,"CDN-115","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1270,"CDN-116","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1271,"CDN-RE","Régie","2017-2099","",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté par la régie","CDN - Ville de Montréal - Régie"
1272,"EXT-MTQ","Transport","2017-2024","",34,"MTQ","Ministère du transport du Québec","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Ministère des transports du Québec (MTQ)"
1273,"EXT-SVM","Transport","2013-2028","",35,"SVM","Soc. de gestion des neiges Ville-Marie inc.","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Société de gestion des neiges Ville-Marie Inc. (Roxboro)"
1274,"EXT-WES","Transport","2017-2025","",33,"WES","Ville de Westmount","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Ville de Westmount"
1275,"IBI-RE","Régie","2018-2019","",8,"IBI","L'Île-Bizard–Sainte-Geneviève","Contrat exécuté par la régie","IBI - Ville de Montréal - Régie"
1276,"LAB-01","Déneigement","2010-2099","",6,"LAB","Laboratoire-test","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","LAB Entrp"
1277,"LAC-102","Déneigement","2021-2025","CM21 0775",15,"LAC","Lachine","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Pavages D'Amour inc."
1278,"LAC-104","Déneigement","2021-2025","CM21 0775",15,"LAC","Lachine","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Marina matériaux et équipements"
1279,"LAC-RE","Régie","2018-2099","",15,"LAC","Lachine","Contrat exécuté par la régie","LAC - Ville de Montréal - Régie"
1280,"LAS-RE","Régie","2018-2099","",16,"LAS","LaSalle","Contrat exécuté par la régie","LAS - Ville de Montréal - Régie"
