IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;NoResolution;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
681;AHU-101;Déneigement;2019-2023;CM19 1024;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
682;AHU-102;Déneigement;2019-2020;CM19 0554;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
683;AHU-103;Déneigement;2019-2020;CM19 0554;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
684;AHU-RE;Régie;2018-2019;;22;AHU;Ahuntsic / Cartierville;Contrat exécuté par la régie;AHU - Ville de Montréal - Régie
686;ANJ-05;Déneigement;2019-2020;CM19 0555;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
687;ANJ-06;Déneigement;2015-2020;CA15 12254;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Services Uniques J.M. Inc.
688;ANJ-07;Déneigement;2019-2020;CM19 0555;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
689;ANJ-301;Transport;2019-2020;CM19 1025;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
690;ANJ-302;Transport;2019-2020;CM19 1025;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
691;ANJ-303;Transport;2019-2020;CM19 1025;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
692;ANJ-304;Transport;2019-2020;CM19 1025;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
693;ANJ-308;Transport;2019-2020;CM19 1025;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
694;ANJ-RE;Régie;2018-2019;;9;ANJ;Anjou;Contrat exécuté par la régie;ANJ - Ville de Montréal - Régie
696;CDN-105;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;NMP Golf Construction Inc.
697;CDN-106;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
698;CDN-107;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
699;CDN-108;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
700;CDN-109;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
701;CDN-110;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
702;CDN-301;Transport;2019-2020;CM19 1025;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
703;CDN-RE;Régie;2017-2018;;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté par la régie;CDN - Ville de Montréal - Régie
704;EXT-AMT;Transport;2017-2018;;36;AMT;Agence métropolitaine de transport;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;AMT 
705;EXT-MTQ;Transport;2017-2018;;34;MTQ;Ministère du transport du Québec;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ministère des transports du Québec (MTQ)
