IdentifiantContrat,NuméroContrat,TypeContrat,AnneeContrat,IdentifiantArrondissement,ArrondissementCode,Arrondissement,DescriptionType,Entreprise
77,AHU-11,Déneigement,2012-2017,22,AHU,Ahuntsic / Cartierville,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",A. &  O. Gendron inc.
78,AHU-19,Déneigement,2015-2017,22,AHU,Ahuntsic / Cartierville,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Pépinière Michel Tanguay Inc.
80,AHU-12,Déneigement,2012-2017,22,AHU,Ahuntsic / Cartierville,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",A. &  O. Gendron inc.
81,AHU-13,Transport,2014-2017,22,AHU,Ahuntsic / Cartierville,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Ent. De transp. Charco Ltée
82,AHU-14,Transport,2014-2019,22,AHU,Ahuntsic / Cartierville,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Gestion Yvan Pion inc.
83,AHU-15,Déneigement,2015-2017,22,AHU,Ahuntsic / Cartierville,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Transport Rosemont inc.
84,AHU-16,Transport,2014-2019,22,AHU,Ahuntsic / Cartierville,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Gestion Yvan Pion inc.
85,AHU-17,Déneigement,2015-2017,22,AHU,Ahuntsic / Cartierville,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Transport Rosemont inc.
86,AHU-18,Déneigement,2012-2017,22,AHU,Ahuntsic / Cartierville,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Tr. Gilbert Hamelin inc.
99,AHU-RE,Régie,2015-2016,22,AHU,Ahuntsic / Cartierville,Contrat exécuté par la régie,AHU - Ville de Montréal - Régie
100,ANJ-01,Transport,2015-2016,9,ANJ,Anjou,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
102,ANJ-05,Déneigement,2014-2019,9,ANJ,Anjou,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Les Entrepreneurs Bucaro inc.
115,ANJ-06,Déneigement,2015-2016,9,ANJ,Anjou,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Services Uniques J.M. Inc.
107,ANJ-RE,Régie,2015-2016,9,ANJ,Anjou,Contrat exécuté par la régie,ANJ - Ville de Montréal - Régie
112,ANJ-07,Déneigement,2014-2019,9,ANJ,Anjou,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Les Entrepreneurs Bucaro inc.
144,CDN-71,Transport,2015-2016,25,CDN,Côte-des-Neiges / Notre-Dame-de-Grâce,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
145,CDN-72,Déneigement,2013-2016,25,CDN,Côte-des-Neiges / Notre-Dame-de-Grâce,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",C.M.S. Ent. Généraux inc.
146,CDN-73,Déneigement,2014-2015,25,CDN,Côte-des-Neiges / Notre-Dame-de-Grâce,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",C.M.S. Ent. Généraux inc.
147,CDN-74,Déneigement,2014-2015,25,CDN,Côte-des-Neiges / Notre-Dame-de-Grâce,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",C.M.S. Ent. Généraux inc.
209,CDN-RE,Régie,2015-2016,25,CDN,Côte-des-Neiges / Notre-Dame-de-Grâce,Contrat exécuté par la régie,CDN - Ville de Montréal - Régie
188,IBI-01,Transport,2015-2016,8,IBI,L'Île Bizard / Sainte-Geneviève,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
98,IBI-RE,Régie,2015-2016,8,IBI,L'Île Bizard / Sainte-Geneviève,Contrat exécuté par la régie,IBI - Ville de Montréal - Régie
106,LAC-02,Déneigement,2011-2016,15,LAC,Lachine,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Catalogna et frères Ltée
111,LAC-03,Transport,2015-2016,15,LAC,Lachine,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
153,LAC-RE,Régie,2015-2016,15,LAC,Lachine,Contrat exécuté par la régie,LAC - Ville de Montréal - Régie
89,LAC-04,Déneigement,2011-2016,15,LAC,Lachine,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Marina matériaux et équipements
130,LAS-01,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
131,LAS-03,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
132,LAS-05,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
133,LAS-06,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
134,LAS-07,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
135,LAS-08,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
136,LAS-09,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
137,LAS-10,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
138,LAS-13,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
139,LAS-50,Transport,2011-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
193,LAS-RE,Transport,2015-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,LAS - Ville de Montréal - Régie
182,LAS-99,Transport,2015-2016,16,LAS,LaSalle,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,LAS - Ville de Montréal - Régie
184,MHM-42,Déneigement,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Déneigement Moderne inc.
185,MHM-43,Déneigement,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Déneigement Moderne inc.
195,MHM-RE,Transport,2015-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,MHM - Ville de Montréal - Régie
154,MHM-41,Déneigement,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Déneigement Moderne inc.
155,MHM-44,Déneigement,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",J.L. Michon Transport inc
156,MHM-45,Transport,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,9124-4277 Québec inc. (Noël et Fils)
157,MHM-46,Transport,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,J.L. Michon Transport inc
158,MHM-47,Transport,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Tr. en vrac St-Hyacinthe
159,MHM-48,Transport,2011-2016,21,MHM,Mercier / Hochelaga / Maisonneuve,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,J.L. Michon Transport inc
148,MTN-02,Déneigement,2013-2018,14,MTN,Montréal-Nord,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",J.M. Gagné inc.
197,MTN-RE,Transport,2015-2016,14,MTN,Montréal-Nord,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,MTN - Ville de Montréal - Régie
141,MTN-03,Transport,2015-2016,14,MTN,Montréal-Nord,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
173,MTN-01,Déneigement,2013-2018,14,MTN,Montréal-Nord,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Deneigement Cybault Inc. - 341795
128,OUT-01,Transport,2012-2016,7,OUT,Outremont,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Environnement Routier NRJ Inc.
183,OUT-RE,Régie,2015-2016,7,OUT,Outremont,Contrat exécuté par la régie,OUT - Ville de Montréal - Régie
176,PMR-51,Déneigement,2011-2016,20,PMR,Plateau Mont-Royal,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Les Ent. Michaudville inc
177,PMR-52,Déneigement,2011-2016,20,PMR,Plateau Mont-Royal,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Les Ent. Michaudville inc
178,PMR-55,Transport,2015-2016,20,PMR,Plateau Mont-Royal,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Martin Lefebvre Transport Inc.
