IdentifiantContrat,NumeroContrat,TypeContrat,AnneeContrat,NoResolution,IdentifiantArrondissement,ArrondissementCode,Arrondissement,DescriptionType,Entreprise
1382,"AHU-RE","Régie","2018-2099","",22,"AHU","Ahuntsic-Cartierville","Contrat exécuté par la régie","AHU - Ville de Montréal - Régie"
1383,"ANJ-309",,"2024-2025","CM24 1118 ",9,"ANJ","Anjou",,"Transvrac Montréal - Laval Inc"
1384,"ANJ-310",,"2024-2025","CM24 1118 ",9,"ANJ","Anjou",,"Transvrac Montréal - Laval Inc"
1385,"ANJ-311",,"2024-2025","CM24 1118 ",9,"ANJ","Anjou",,"Transvrac Montréal - Laval Inc"
1386,"ANJ-312",,"2024-2025","CM24 1118 ",9,"ANJ","Anjou",,"Transvrac Montréal - Laval Inc"
1387,"ANJ-RE","Régie","2021-2030","",9,"ANJ","Anjou","Contrat exécuté par la régie","ANJ - Ville de Montréal - Régie"
1388,"CDN-111","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Canbec Construction"
1389,"CDN-112","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","NMP Golf Construction Inc."
1390,"CDN-113","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1391,"CDN-114","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1392,"CDN-115","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1393,"CDN-116","Déneigement","2022-2026","CM22 0772",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","C.M.S. Ent. Généraux inc."
1394,"CDN-301",,"2024-2025","CM24 1118 ",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce",,"Transvrac Montréal - Laval Inc"
1395,"CDN-RE","Régie","2017-2099","",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat exécuté par la régie","CDN - Ville de Montréal - Régie"
1396,"EXT-MTQ","Transport","2017-2024","",34,"MTQ","Ministère du transport du Québec","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Ministère des transports du Québec (MTQ)"
1397,"EXT-SVM","Transport","2013-2028","",35,"SVM","Soc. de gestion des neiges Ville-Marie inc.","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Société de gestion des neiges Ville-Marie Inc. (Roxboro)"
