IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;NoResolution;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
1123;AHU-101;Déneigement;2019-2023;CM19 1024;22;AHU;Ahuntsic-Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
1124;AHU-102;Déneigement;2020-2023;CM20 0626;22;AHU;Ahuntsic-Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
1125;AHU-103;Déneigement;2020-2023;CM20 0626;22;AHU;Ahuntsic-Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;9115-7883 Québec inc. / Sig-Nature
1126;AHU-104;Déneigement;2019-2023;CM19 0916;22;AHU;Ahuntsic-Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Canbec Construction
1127;AHU-105;Déneigement;2019-2023;CM19 0919;22;AHU;Ahuntsic-Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
1128;AHU-106;Déneigement;2019-2023;CM19 0919;22;AHU;Ahuntsic-Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
1129;AHU-107;Déneigement;2019-2023;CM19 0916;22;AHU;Ahuntsic-Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
1130;AHU-201;Transport;2021-2023;CM21 0727;22;AHU;Ahuntsic-Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Deneigement Cyrbault Inc. - 341795
1131;AHU-202;Transport;2021-2023;CM21 0727;22;AHU;Ahuntsic-Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Deneigement Cyrbault Inc. - 341795
1132;AHU-RE;Régie;2018-2099;;22;AHU;Ahuntsic-Cartierville;Contrat exécuté par la régie;AHU - Ville de Montréal - Régie
1133;ANJ-101;Déneigement;2021-2023;CM21 1191;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Fontaine Gadbois inc
1134;ANJ-309;Transport;2022-2023;CE22 1500;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1135;ANJ-310;Transport;2022-2023;CE22 1500;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1136;ANJ-311;Transport;2022-2023;CE22 1500;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1137;ANJ-312;Transport;2022-2023;CE22 1500;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1138;ANJ-RE;Régie;2021-2030;;9;ANJ;Anjou;Contrat exécuté par la régie;ANJ - Ville de Montréal - Régie
1139;CDN-301;Transport;2022-2023;CE22 1500;25;CDN;Côte-des-Neiges–Notre-Dame-de-Grâce;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1140;CDN-RE;Régie;2017-2099;;25;CDN;Côte-des-Neiges–Notre-Dame-de-Grâce;Contrat exécuté par la régie;CDN - Ville de Montréal - Régie
1141;EXT-MTQ;Transport;2017-2024;;34;MTQ;Ministère du transport du Québec;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ministère des transports du Québec (MTQ)
1142;EXT-SVM;Transport;2013-2028;;35;SVM;Soc. de gestion des neiges Ville-Marie inc.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Société de gestion des neiges Ville-Marie Inc. (Roxboro)
1143;EXT-WES;Transport;2017-2024;;33;WES;Ville de Westmount;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ville de Westmount
1144;IBI-301;Transport;2022-2023;CE22 1500;8;IBI;L'Île-Bizard–Sainte-Geneviève;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1145;IBI-RE;Régie;2018-2019;;8;IBI;L'Île-Bizard–Sainte-Geneviève;Contrat exécuté par la régie;IBI - Ville de Montréal - Régie
1146;LAB-01;Déneigement;2010-2099;;6;LAB;Laboratoire-test;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;LAB Entrp
1147;LAC-102;Déneigement;2021-2025;CM21 0775;15;LAC;Lachine;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
1148;LAC-104;Déneigement;2021-2025;CM21 0775;15;LAC;Lachine;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Marina matériaux et équipements
1149;LAC-305;Transport;2022-2023;CE22 1500;15;LAC;Lachine;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1150;LAC-306;Transport;2022-2023;CE22 1500;15;LAC;Lachine;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1151;LAC-RE;Régie;2018-2099;;15;LAC;Lachine;Contrat exécuté par la régie;LAC - Ville de Montréal - Régie
1152;LAS-321;Transport;2022-2023;CE22 1500;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1153;LAS-323;Transport;2022-2023;CE22 1500;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1154;LAS-325;Transport;2022-2023;CE22 1500;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1155;LAS-326;Transport;2022-2023;CE22 1500;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
1156;LAS-327;Transport;2022-2023;CE22 1500;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
