IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
223;AHU-14;Transport;2014-2019;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Yvan Pion inc.
224;AHU-15;Déneigement;2015-2017;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
225;AHU-16;Transport;2014-2019;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Yvan Pion inc.
226;AHU-17;Déneigement;2015-2017;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
227;AHU-18;Déneigement;2012-2017;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Tr. Gilbert Hamelin inc.
228;AHU-19;Déneigement;2015-2017;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pépinière Michel Tanguay Inc.
229;AHU-RE;Régie;2016-2017;22;AHU;Ahuntsic / Cartierville;Contrat exécuté par la régie;AHU - Ville de Montréal - Régie
296;AHU-101;Déneigement;2016-2019;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
297;AHU-102;Déneigement;2016-2019;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
298;AHU-103;Déneigement;2016-2019;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
364;EXT-AMT;NULL;2016-2017;36;AMT;Agence métropolitaine de transport;NULL;AMT 
299;ANJ-301;Transport;2016-2017;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
300;ANJ-302;Transport;2016-2017;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
301;ANJ-303;Transport;2016-2017;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
302;ANJ-304;Transport;2016-2017;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
303;ANJ-308;Transport;2016-2017;9;ANJ;Anjou;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
231;ANJ-05;Déneigement;2014-2019;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
232;ANJ-06;Déneigement;2015-2020;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Services Uniques J.M. Inc.
233;ANJ-07;Déneigement;2014-2019;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
234;ANJ-RE;Régie;2016-2017;9;ANJ;Anjou;Contrat exécuté par la régie;ANJ - Ville de Montréal - Régie
236;CDN-72;Déneigement;2013-2018;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
237;CDN-73;Déneigement;2013-2018;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
238;CDN-74;Déneigement;2014-2015;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
239;CDN-RE;Régie;2016-2017;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté par la régie;CDN - Ville de Montréal - Régie
304;CDN-301;Transport;2016-2017;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
305;IBI-301;Transport;2016-2017;8;IBI;L'Île Bizard / Sainte-Geneviève;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
241;IBI-RE;Régie;2016-2017;8;IBI;L'Île Bizard / Sainte-Geneviève;Contrat exécuté par la régie;IBI - Ville de Montréal - Régie
243;LAC-RE;Régie;2016-2017;15;LAC;Lachine;Contrat exécuté par la régie;LAC - Ville de Montréal - Régie
306;LAC-102;Déneigement;2016-2020;15;LAC;Lachine;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
307;LAC-104;Déneigement;2016-2020;15;LAC;Lachine;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Marina matériaux et équipements
308;LAC-301;Transport;2016-2017;15;LAC;Lachine;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
