IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;NoResolution;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
977;AHU-101;Déneigement;2019-2023;CM19 1024;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
978;AHU-102;Déneigement;2020-2023;CM20 0626;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
979;AHU-103;Déneigement;2020-2023;CM20 0626;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;9115-7883 Québec inc. / Sig-Nature
980;AHU-104;Déneigement;2019-2023;CM19 0916;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Canbec Construction
981;AHU-105;Déneigement;2019-2023;CM19 0919;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
982;AHU-106;Déneigement;2019-2023;CM19 0919;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
983;AHU-107;Déneigement;2019-2023;CM19 0916;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
984;AHU-201;Transport;2021-2023;CM21 0727;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Deneigement Cyrbault Inc. - 341795
985;AHU-202;Transport;2021-2023;CM21 0727;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Deneigement Cyrbault Inc. - 341795
986;AHU-RE;Régie;2018-2099;;22;AHU;Ahuntsic / Cartierville;Contrat exécuté par la régie;AHU - Ville de Montréal - Régie
988;ANJ-101;Déneigement;2021-2023;CM21 1191;9;ANJ;Anjou;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Fontaine Gadbois inc
