IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;NoResolution;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
833;AHU-101;Déneigement;2019-2023;CM19 1024;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
834;AHU-102;Déneigement;2020-2023;CM20 0626;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
835;AHU-103;Déneigement;2020-2023;CM20 0626;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;9115-7883 Québec inc. / Sig-Nature
836;AHU-104;Déneigement;2019-2023;CM19 0916;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Canbec Construction
837;AHU-105;Déneigement;2019-2023;CM19 0919;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
838;AHU-106;Déneigement;2019-2023;CM19 0919;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
839;AHU-107;Déneigement;2019-2023;CM19 0916;22;AHU;Ahuntsic / Cartierville;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
840;AHU-201;Transport;2019-2021;CM19 1111;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Deneigement Cybault Inc. - 341795
841;AHU-202;Transport;2019-2021;CM19 1023;22;AHU;Ahuntsic / Cartierville;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;GROUPE TMD
842;AHU-RE;Régie;2018-2019;;22;AHU;Ahuntsic / Cartierville;Contrat exécuté par la régie;AHU - Ville de Montréal - Régie
845;ANJ-RE;Régie;2018-2019;;9;ANJ;Anjou;Contrat exécuté par la régie;ANJ - Ville de Montréal - Régie
847;CDN-105;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;NMP Golf Construction Inc.
848;CDN-106;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
849;CDN-107;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
850;CDN-108;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
851;CDN-109;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
852;CDN-110;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
853;CDN-301;Transport;2020-2021;CM20 1030;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
854;CDN-RE;Régie;2017-2018;;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté par la régie;CDN - Ville de Montréal - Régie
855;EXT-MTQ;Transport;2017-2018;;34;MTQ;Ministère du transport du Québec;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ministère des transports du Québec (MTQ)
856;EXT-SVM;Transport;2013-2028;;35;SVM;Soc. de gestion des neiges Ville-Marie inc.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Société de gestion des neiges Ville-Marie Inc. (Roxboro)
857;EXT-WES;Transport;2017-2018;;33;WES;Ville de Westmount;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ville de Westmount
859;IBI-301;Transport;2020-2021;CM20 1030;8;IBI;L'Île Bizard / Sainte-Geneviève;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
860;IBI-RE;Régie;2018-2019;;8;IBI;L'Île Bizard / Sainte-Geneviève;Contrat exécuté par la régie;IBI - Ville de Montréal - Régie
861;LAB-0;Transport;2013-2020;;6;LAB;Laboratoire-test;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;LAB Entrp
