Année,Nom_min,NDAT,NHAT,NHPLP
2012,Affaires municipales et Occupation du territoire,1,0,707
2012,"Agriculture, Pêcheries et Alimentation",3,968,4140.68
2012,Assemblée nationale,1,84,841.66
2012,Bureau d'audiences publiques sur l'environnement,0,0,0
2012,Centre de services partagés du Québec,3,1986,3426.23
2012,Commissaire au lobbyisme,0,0,0
2012,Commission administrative des régimes de retraite et d'assurances,0,0,23.05
2012,Commission d'accès à l'information,0,0,0
2012,Commission de la fonction publique,0,0,0
2012,Commission de l'équité salariale,0,0,210
2012,Commission de protection du territoire agricole du Québec,0,0,0
2012,Commission des droits de la personne et des droits de la jeunesse,1,420,1407
2012,Commission des lésions professionnelles,0,0,14
2012,Commission des normes du travail,0,0,193.5
2012,Commission des relations du travail,0,0,0
2012,Commission des transports du Québec,0,0,0
2012,Conseil de gestion de l'assurance parentale,0,0,0
2012,Conseil du statut de la femme,0,0,5.5
2012,Conseil exécutif,0,0,0
2012,Conseil supérieur de la langue française,0,0,0
2012,Culture et Communications,0,0,0
2012,Curateur public,0,0,3724
2012,"Développement durable, Environnement et Luttre contre les changements climatiques",2,1190,1888
2012,"Développement économique, Innovation et Exportation",0,0,21
2012,Directeur des poursuites criminelles et pénales,1,885.5,486.88
2012,Directeur général des élections,1,105,0
2012,"Éducation, Loisir et Sport",0,0,1384
2012,Emploi et Solidarité sociale,8,2030,11361.5
2012,Énergie et Ressources naturelles,18,3430,8505.11
2012,Famille,0,0,4018
2012,Finances,0,0,0
2012,"Immigration, Diversité et Inclusion",0,0,4998
2012,Institut de la statistique du Québec,0,0,3422.3
2012,Institut de tourisme et d'hôtellerie du Québec,0,0,1023
2012,Justice,5,773.8,4897.59
2012,La Financière agricole du Québec,1,262.3,859.3
2012,Office de la protection du consommateur,0,0,0
2012,Office des personnes handicapées du Québec,0,0,0
2012,Office des professions du Québec,0,0,0
2012,Office québécois de la langue française,1,49,49
2012,Protecteur du citoyen,0,0,0
2012,Régie de l'assurance maladie du Québec,0,0,594
2012,Régie des rentes du Québec,2,77,413
2012,Régie du bâtiment du Québec,0,0,1932
2012,Relations Internationales et Francophonie,0,0,1589
2012,Santé et Services sociaux,0,0,0
2012,Secrétariat du Conseil du trésor,0,0,391.5
2012,Sécurité publique,115,40424,53928
2012,Société de l'assurance automobile du Québec,8,1312,14244
2012,Société d'habitation du Québec,0,0,742
2012,Sûreté du Québec,68,19734,81905.5
2012,Tourisme,0,0,980
2012,Transports,66,19341,35910.55
2012,Travail,0,0,259
2012,Tribunal administratif du Québec,0,0,0
2012,Vérificateur général,0,0,0
2013-2014,Affaires municipales et Occupation du territoire,1,812,1931.86014
2013-2014,"Agriculture, Pêcheries et Alimentation",4,1455.5,4385.85945
2013-2014,Assemblée nationale,1,7,3415.54626
2013-2014,Bureau d'audiences publiques sur l'environnement,0,0,0
2013-2014,Centre de services partagés du Québec,4,2032.75,3436.54871
2013-2014,Commissaire au lobbyisme,0,0,4.38312
2013-2014,Commission administrative des régimes de retraite et d'assurances,0,0,12.05358
2013-2014,Commission d'accès à l'information,0,0,0
2013-2014,Commission de la fonction publique,0,0,0
2013-2014,Commission de l'équité salariale,0,0,0
2013-2014,Commission de protection du territoire agricole du Québec,0,0,0
2013-2014,Commission des droits de la personne et des droits de la jeunesse,1,718,104.82962
2013-2014,Commission des lésions professionnelles,0,0,62.64209
2013-2014,Commission des normes du travail,2,455,1500.67071
2013-2014,Commission des relations du travail,0,0,34.88233
2013-2014,Commission des transports du Québec,0,0,0
2013-2014,Conseil de gestion de l'assurance parentale,0,0,0
2013-2014,Conseil du statut de la femme,0,0,11.50569
2013-2014,Conseil exécutif,0,0,91.68026
2013-2014,Conseil supérieur de la langue française,0,0,0
2013-2014,Culture et Communications,0,0,0
2013-2014,Curateur public,0,0,107.56907
2013-2014,"Développement durable, Environnement et Luttre contre les changements climatiques",19,4186,9497.67315
2013-2014,"Développement économique, Innovation et Exportation",0,0,0
2013-2014,Directeur des poursuites criminelles et pénales,1,546,768.14178
2013-2014,Directeur général des élections,0,0,168.0196
2013-2014,"Éducation, Loisir et Sport",0,0,249.83784
2013-2014,Emploi et Solidarité sociale,5,1351,11057.15072
2013-2014,Énergie et Ressources naturelles,12,3378,5139.75609
2013-2014,"Enseignement supérieur, Recherche et Science",0,0,19.54141
2013-2014,Famille,1,108,1478.93774
2013-2014,Finances,0,0,0
2013-2014,"Immigration, Diversité et Inclusion",2,322,3602.01149
2013-2014,Institut de la statistique du Québec,0,0,56.06741
2013-2014,Institut de tourisme et d'hôtellerie du Québec,0,0,140.07721
2013-2014,Justice,1,388,5599.80106
2013-2014,La Financière agricole du Québec,1,430,423.51897
2013-2014,Office de la protection du consommateur,0,0,0
2013-2014,Office des personnes handicapées du Québec,1,13,544.05477
2013-2014,Office des professions du Québec,0,0,56.43267
2013-2014,Office québécois de la langue française,1,154,143.36455
2013-2014,Protecteur du citoyen,0,0,0
2013-2014,Régie de l'assurance maladie du Québec,2,318.75,666.5995
2013-2014,Régie des rentes du Québec,0,0,211.30291
2013-2014,Régie du bâtiment du Québec,2,994,1332.46848
2013-2014,Relations Internationales et Francophonie,0,0,855.80418
2013-2014,Santé et Services sociaux,0,0,0
2013-2014,Secrétariat du Conseil du trésor,0,0,65.7468
2013-2014,Sécurité publique,94,35569,50826.11163
2013-2014,Société de l'assurance automobile du Québec,12,3015,18070.50798
2013-2014,Société d'habitation du Québec,0,0,0
2013-2014,Sûreté du Québec,73,27499,54099.20649
2013-2014,Tourisme,0,0,29.03817
2013-2014,Transports,109,31241,44864.33791
2013-2014,Travail,1,325.5,20.27193
2013-2014,Tribunal administratif du Québec,0,0,0
2013-2014,Vérificateur général,0,0,0
2014-2015,Affaires municipales et Occupation du territoire,0,0,1263.43434
2014-2015,"Agriculture, Pêcheries et Alimentation",8,1810,5194.54509
2014-2015,Assemblée nationale,1,411,1481.67719
2014-2015,Bureau d'audiences publiques sur l'environnement,0,0,0
2014-2015,Centre de services partagés du Québec,8,3492.83,6903.23137
2014-2015,Commissaire au lobbyisme,0,0,3.28734
2014-2015,Commission administrative des régimes de retraite et d'assurances,0,0,187.56101
2014-2015,Commission d'accès à l'information,0,0,0
2014-2015,Commission de la fonction publique,0,0,0
2014-2015,Commission de l'équité salariale,0,0,0
2014-2015,Commission de protection du territoire agricole du Québec,0,0,0
2014-2015,Commission des droits de la personne et des droits de la jeunesse,0,0,83.82717
2014-2015,Commission des lésions professionnelles,0,0,42.91805
2014-2015,Commission des normes du travail,2,133,858.90889
2014-2015,Commission des relations du travail,0,0,0
2014-2015,Commission des transports du Québec,0,0,0
2014-2015,Conseil de gestion de l'assurance parentale,0,0,0
2014-2015,Conseil du statut de la femme,0,0,0
2014-2015,Conseil exécutif,0,0,536.20168
2014-2015,Conseil supérieur de la langue française,0,0,0
2014-2015,Culture et Communications,0,0,830.9665
2014-2015,Curateur public,0,0,87.47977
2014-2015,"Développement durable, Environnement et Luttre contre les changements climatiques",12,6546,2938.33407
2014-2015,"Développement économique, Innovation et Exportation",0,0,179.34266
2014-2015,Directeur des poursuites criminelles et pénales,1,1890,187.19575
2014-2015,Directeur général des élections,0,0,549.35104
2014-2015,"Éducation, Loisir et Sport",0,0,1561.4865
2014-2015,Emploi et Solidarité sociale,3,2356,10109.30102
2014-2015,Énergie et Ressources naturelles,5,1120,1490.07817
2014-2015,"Enseignement supérieur, Recherche et Science",0,0,0
2014-2015,Famille,2,172,414.93536
2014-2015,Finances,0,0,0
2014-2015,"Forêts, Faune et Parcs",6,1862,9536.9386
2014-2015,"Immigration, Diversité et Inclusion",1,49,3465.03899
2014-2015,Institut de la statistique du Québec,0,0,0
2014-2015,Institut de tourisme et d'hôtellerie du Québec,0,0,797.91047
2014-2015,Justice,0,0,3222.32372
2014-2015,La Financière agricole du Québec,0,0,161.07966
2014-2015,Office de la protection du consommateur,0,0,21.00245
2014-2015,Office des personnes handicapées du Québec,0,0,1.46104
2014-2015,Office des professions du Québec,0,0,0
2014-2015,Office québécois de la langue française,0,0,66.65995
2014-2015,Protecteur du citoyen,0,0,0
2014-2015,Régie de l'assurance maladie du Québec,4,819.5,2994.94937
2014-2015,Régie des rentes du Québec,0,0,434.84203
2014-2015,Régie du bâtiment du Québec,0,0,3244.96984
2014-2015,Relations Internationales et Francophonie,0,0,202.90193
2014-2015,Santé et Services sociaux,0,0,7.12257
2014-2015,Secrétariat du Conseil du trésor,0,0,3.46997
2014-2015,Sécurité publique,75,23856,55421.99558
2014-2015,Société de l'assurance automobile du Québec,7,792,15902.14199
2014-2015,Société d'habitation du Québec,0,0,0
2014-2015,Sûreté du Québec,44,18905,45296.98838
2014-2015,Tourisme,0,0,0
2014-2015,Transports,63,21259,44138.74892
2014-2015,Travail,0,0,0
2014-2015,Tribunal administratif du Québec,0,0,0
2014-2015,Vérificateur général,0,0,0
