PERIODE,CODE  MO,CODE  MO_RESP,MO_RESPONSABLE,MO,CATEGORIE_EMPLOI,STATUT,APLE,NB_INDIVIDUS,NB_INDIVIDUS_120,APA_ABS_120,COUTS_120,NB_INDIVIDUS_246,APA_ABS_246,COUTS_246,NB_INDIVIDUS_248,APA_ABS_248,COUTS_248,NB_INDIVIDUS_270,APA_ABS_270,NB_INDIVIDUS_249,APA_ABS_249,NB_INDIVIDUS_272,APA_ABS_272,NB_INDIVIDUS_077,APA_ABS_077
2011-2012,874,210,Finances et Économie,874-Fonds de financement,Professionnels et Enseignants,Régulier,"2,0927",3,2,"0,0172","1194,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,874,210,Finances et Économie,874-Fonds de financement,Professionnels et Enseignants,Régulier,"1,0003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,874,210,Finances et Économie,874-Fonds de financement,Techniciens,Occasionnel,"2,0007",2,1,"0,0077","274,64",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,874,210,Finances et Économie,874-Fonds de financement,Techniciens,Régulier,"0,2529",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,874,210,Finances et Économie,874-Fonds de financement,Personnel de bureau,Occasionnel,"0,9965",1,1,"0,0389","1243,79",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Haute direction et Cadres,Régulier,"1,0003",1,1,"0,023","1913,32",1,"0,046","3061,32",0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Haute direction et Cadres,Régulier,"2,0006",2,1,"0,0364","3942,77",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Haute direction et Cadres,Régulier,"2,0006",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Haute direction et Cadres,Régulier,"2,0006",2,1,"0,0038","319,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"1,0196",2,1,"0,0346","2021,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"11,3253",13,9,"0,2086","12399,07",0,0,0,0,0,0,1,"0,0019",0,0,1,"0,1992",0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"5,0015",5,5,"0,1898","14935,66",0,0,0,0,0,0,2,"0,0497",0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"3,0239",4,2,"0,0958","8128,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Occasionnel,"1,0003",1,1,"0,0419","2299,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Occasionnel,"1,8435",2,0,0,0,1,"0,3641","17269,7",0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"1,0848",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"2,8094",3,3,"0,067","4259,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"5,0016",5,5,"0,1621","12139,98",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Professionnels et Enseignants,Régulier,"2,4222",3,2,"0,0114","840,99",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Occasionnel,"1,0808",2,2,"0,0516","1624,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Occasionnel,"1,5677",3,2,"0,0306","953,98",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Occasionnel,"2,2305",3,3,"0,0114","403,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Occasionnel,"1,4027",2,2,"0,0172","638,14",1,"0,0268","660,35",0,0,0,1,"0,0077",0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"11,3485",14,9,"0,2101","9264,09",2,"1,5139","44320,34",0,0,0,1,"0,0023",0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"9,4284",10,10,"0,2968","13721,62",3,"0,4276","12956,76",0,0,0,3,"0,0082",0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"10,1757",11,9,"0,2647","12222,25",1,"0,2728","8398,14",1,"0,847","19557,2",0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"4,0012",4,4,"0,1331","6138,5",1,"0,0805","2300,78",0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Occasionnel,"2,7441",4,4,"0,0501","2029,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Occasionnel,"1,0003",1,0,0,0,1,"0,847","20945,85",1,"0,1533","2844,96",0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Occasionnel,"0,322",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"3,4837",4,2,"0,0459","1921,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"8,0023",8,6,"0,155","6794,62",1,"0,5174","12723,71",1,"0,4829","8909,18",0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"3,526",4,4,"0,0742","3319,53",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Techniciens,Régulier,"3,0009",3,3,"0,1363","6292,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Occasionnel,"3,2348",4,4,"0,037","1208,91",1,"0,0019","41,74",0,0,0,1,"0,0153",0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Occasionnel,"1,671",3,2,"0,0174","577,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Occasionnel,"1,0004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Occasionnel,"2,8056",3,3,"0,1565","6263,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Régulier,"1,0003",1,1,"0,0184","645,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Régulier,"2,0006",2,2,"0,0742","2875,21",0,0,0,0,0,0,1,"0,0312",0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Régulier,"2,8668",3,2,"0,0377",1552,1,"0,4292",11865,0,0,0,1,"0,012",0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Régulier,"1,1959",4,1,"0,0247","937,93",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Occasionnel,"1,1076",2,2,"0,0208","690,34",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Régulier,"4,0013",4,4,"0,1761","6994,46",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Régulier,"2,0006",2,0,0,0,1,"0,2875",7913,2,"0,9493","19653,78",0,0,1,"0,6906",0,0,0,0
2011-2012,878,400,Justice,878-Fonds des registres,Personnel de bureau,Régulier,"4,0012",4,3,"0,1719","7109,58",1,"0,5213","14392,98",0,0,0,1,"0,0126",0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Haute direction et Cadres,Régulier,"0,4982",2,1,"0,0038","325,83",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Haute direction et Cadres,Régulier,"1,2455",5,3,"0,0134","1342,27",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Haute direction et Cadres,Régulier,"0,7473",3,0,0,0,1,"0,0383","4495,49",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Haute direction et Cadres,Régulier,"0,2491",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Haute direction et Cadres,Régulier,"2,9892",12,2,"0,0191","2224,38",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Haute direction et Cadres,Régulier,"2,0695",9,2,"0,0134","1407,18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,2492",1,1,"0,0019","71,86",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,207",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,2491",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,2491",1,1,"0,0064","342,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"1,7444",7,4,"0,0451","2331,39",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"6,9298",28,21,"0,1353","9429,45",4,"0,4579","25932,89",1,"0,0077","269,75",1,"0,0175",0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"3,9861",16,14,"0,1127","7214,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"1,993",8,4,"0,0478","3213,64",1,"0,2261","11776,42",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,4982",2,1,"0,0019","71,97",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,9926",4,3,"0,0095","621,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,4982",2,2,"0,0033","231,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Occasionnel,"0,2491",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"0,7475",3,2,"0,0281","1420,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"5,2243",22,14,"0,0703","4643,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"7,1438",29,23,"0,15","10853,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Professionnels et Enseignants,Régulier,"4,2347",17,11,"0,0973","7186,41",1,"0,2491","11791,11",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Occasionnel,"1,031",5,3,"0,0114","373,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Occasionnel,"10,8614",44,34,"0,3376","12231,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Occasionnel,"5,9897",24,19,"0,1195","4483,15",1,"0,23","5891,63",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Occasionnel,"2,2421",9,5,"0,0423","1700,97",1,"0,2415","6648,17",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Occasionnel,"0,7475",3,1,"0,0077","274,64",0,0,0,1,"0,2491","4960,7",0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Régulier,"1,7859",8,4,"0,0264","1185,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Régulier,"4,0751",17,11,"0,0601","2702,78",0,0,0,1,"0,2491","5752,66",0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Régulier,"7,9786",32,20,"0,1822","8354,21",0,0,0,0,0,0,0,0,1,"0,2491",0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Régulier,"3,8828",15,10,"0,104","4818,44",1,"0,2529","7788,71",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Occasionnel,"1,9967",10,6,"0,0205","776,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Occasionnel,"2,7978",12,9,"0,0703","2533,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Régulier,"0,3489",2,1,"0,0052","178,26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Régulier,"2,7402",11,11,"0,0592","2761,47",1,"0,0038","121,08",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Techniciens,Régulier,"2,9892",12,7,"0,0327","1522,88",0,0,0,0,0,0,0,0,1,"0,2491",0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Occasionnel,"0,1227",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Occasionnel,"1,2633",5,4,"0,0276","1006,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Occasionnel,"0,9964",4,3,"0,0194","717,35",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Occasionnel,"0,7473",3,3,"0,0345","1322,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Régulier,"0,8073",4,2,"0,0016","62,06",1,"0,0422","1077,19",0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Régulier,"2,8586",11,8,"0,1774","7075,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Régulier,"1,2225",5,4,"0,0512","2022,55",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Occasionnel,"0,2491",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Occasionnel,"0,2492",1,1,"0,0033","105,71",0,0,0,0,0,0,0,0,0,0,0,0,0,0
