Année,Nom_min,NDAT,NHAT,NHPLP
2013-2014,Affaires municipales et Occupation du territoire,1,812,1931.86
2013-2014,"Agriculture, Pêcheries et Alimentation",4,1456,4385.86
2013-2014,Bureau d'audiences publiques sur l'environnement,0,0,0.00
2013-2014,Centre de services partagés du Québec,4,2033,3436.55
2013-2014,Commissaire au lobbyisme du Québec,0,0,4.38
2013-2014,Commission d'accès à l'information,0,0,0.00
2013-2014,Commission de la fonction publique,0,0,0.00
2013-2014,Commission de protection du territoire agricole du Québec,0,0,0.00
2013-2014,Commission des droits de la personne et des droits de la jeunesse,1,718,104.83
2013-2014,Commission des transports du Québec,0,0,0.00
2013-2014,Conseil de gestion de l'assurance parentale,0,0,0.00
2013-2014,Conseil du statut de la femme,0,0,11.51
2013-2014,Conseil exécutif,0,0,91.68
2013-2014,Conseil supérieur de la langue française,0,0,0.00
2013-2014,Culture et Communications,0,0,0.00
2013-2014,Curateur public du Québec,0,0,107.57
2013-2014,"Développement durable, Environnement et Lutte contre les changements climatiques",19,4186,9497.67
2013-2014,Directeur des poursuites criminelles et pénales,1,546,768.14
2013-2014,Directeur général des élections,0,0,168.02
2013-2014,"Économie, Science et Innovation",0,0,0.00
2013-2014,Éducation et Enseignement supérieur,0,0,269.38
2013-2014,Énergie et Ressources naturelles,12,3378,5139.76
2013-2014,Famille,1,108,1478.94
2013-2014,Finances,0,0,0.00
2013-2014,"Immigration, Diversité et Inclusion",2,322,3602.01
2013-2014,Institut de la statistique du Québec,0,0,56.07
2013-2014,Institut de tourisme et d'hôtellerie du Québec,0,0,140.08
2013-2014,Justice,1,388,5599.80
2013-2014,La Financière agricole du Québec,1,430,423.52
2013-2014,Office de la protection du consommateur,0,0,0.00
2013-2014,Office des personnes handicapées du Québec,1,13,544.05
2013-2014,Office des professions du Québec,0,0,56.43
2013-2014,Office québécois de la langue française,1,154,143.36
2013-2014,Protecteur du citoyen,0,0,0.00
2013-2014,Régie de l'assurance maladie du Québec,2,319,666.60
2013-2014,Régie du bâtiment du Québec,2,994,1332.47
2013-2014,Relations Internationales et Francophonie,0,0,855.80
2013-2014,Retraite Québec,0,0,223.36
2013-2014,Santé et Services sociaux,0,0,0.00
2013-2014,Secrétariat du Conseil du trésor et Administration gouvernementale,0,0,65.75
2013-2014,Sécurité publique,94,35569,50826.11
2013-2014,Société de l'assurance automobile du Québec,12,3015,18070.51
2013-2014,Société d'habitation du Québec,0,0,0.00
2013-2014,Sûreté du Québec,73,27499,54099.21
2013-2014,Tourisme,0,0,29.04
2013-2014,"Transport, Mobilité durable et Électrification des transports",109,31241,44864.34
2013-2014,"Travail, Emploi et Solidarité sociale",6,1677,11077.42
2013-2014,Tribunal administratif du Québec,0,0,0.00
