Attributs,Description courte et Format,Description longue,Domaine de valeurs
NOM_ARROND,Arrondissement de Montréal (NOM_ARROND) (Liste de valeur),Nom de l’arrondissement,
ID_TRC_PI,TRONCON_UNIFIE (ID_TRC_PI) (Numérique),"Numéro du tronçon unifié représentant un tronçon de géobase d’une intersection à une autre. Certains tronçons unifiés peuvent être générés soit par agrégation de deux ou plus tronçons de géobase, soit par segmentation d’un tronçon de géobase. ",
RUE,Rue (RUE) (Texte variable),Nom de la rue. Les tronçons unifiés désignés par l’appellation « Hors rue » représentent des tronçons virtuels (sans chaussée) en dessous desquels se trouvent des conduites souterraines.,
DE,De (DE) (Texte variable),Nom de la rue transversale au début du tronçon unifié.,
A,A (A) (Texte variable),Nom de la rue transversale en fin du tronçon unifié.,
LONGUEUR,Longueur TU (m) (LONGUEUR) (Numérique),Longueur du tronçon unifié.,
EP_NB_CND,EP_Nb conduite dans le TU (EP_NB_CND) (Numérique),Nombre total de conduites d'eau potable dans le tronçon unifié.,
EP_NB_BRIS,EP_Nb bris historique max. (EP_NB_BRIS) (Numérique),Nombre de bris historique de la conduite d'eau potable ayant le plus de bris depuis sa date d’installation.,
EP_TX_BRIS,EP_Taux de bris max. (Nb/km/an) (EP_TX_BRIS) (Numérique),Taux de bris de la conduite d'eau potable ayant le taux le plus élevé.,
EP_HIERAR,EP_Hiéra. EP Nb bris historique max (EP_HIERAR) (Liste de valeur),Hiérarchie de la conduite d'eau potable ayant le nombre de bris historique le plus élevé.,
EP_POSS_PL,EP_Possibilité d'entrées de service en plomb (EP_POSS_PL) (Liste de valeur),Possibilité de présence des entrées de service en plomb sur au moins une conduite d’eau potable. Ceci doit être validé sur le terrain.,
EP_DUR_VIE,EP_Durée de vie écoulée (EP_DUR_VIE) (Numérique),Âge de la conduite d'eau potable divisé par la durée de vie utile estimée.,
EP_JURIDI,EP_Juri. EP Nb bris historique max (EP_JURIDI) (Liste de valeur),Juridiction de la conduite d’eau potable ayant le plus de bris depuis sa date d’installation.,
EP_LNG_CND,EP_Longueur totale de conduite (m) (EP_LNG_CND) (Numérique),Sommation des longueurs de toutes les conduites d'eau potable dans le tronçon de rue.,
EP_NB_MTM,"EP_Nb conduite Statut ""Mauvais"" ou ""Très mauvais"" (EP_NB_MTM) (Numérique)",Nombre de conduite d'eau potable dans le tronçon de rue ayant un statut mauvais ou très mauvais.,
EU_NB_CND,EU_Nb conduite dans le TU (EU_NB_CND) (Numérique),Nombre total de conduites d'eaux usées dans le tronçon unifié.,
EU_OEPACP,EU_O&E PACP modifié inspectée max (EU_OEPACP) (Numérique),La plus élevée des cotes O&E sur l’ensemble des conduites d'eaux usées.,
EU_CIS,EU_CIS inspectée max. (EU_CIS) (Numérique),La plus élevée des cotes CIS sur l’ensemble des conduites d'eaux usées.,
EU_HIERAR,EU_Hiéra. EU CIS inspectée max (EU_HIERAR) (Liste de valeur),Hiérarchie de la conduite d’égout ayant la CIS maximale.,
EU_JURIDI,EU_Juri. EU CIS inspectée max (EU_JURIDI) (Liste de valeur),Juridiction de la conduite d’égout ayant la CIS maximale.,
EU_LNG_CND,EU_Longueur totale de conduite (m) (EU_LNG_CND) (Numérique),Sommation des longueurs de toutes les conduites d'eaux usées dans le tronçon de rue.,
EU_NB_MTM,"EU_Nb conduite Statut ""Mauvais"" ou ""Très mauvais"" (EU_NB_MTM) (Numérique)",Nombre de conduite d'eaux usées dans le tronçon de rue ayant un statut mauvais ou très mauvais.,
EPL_NB_CND,EPL_Nb conduite dans le TU (EPL_NB_CND) (Numérique),Nombre total de conduite d'eaux pluviales dans le tronçon unifié.,
EPL_OEPACP,EPL_O&E PACP modifié inspecté max (EPL_OEPACP) (Numérique),La plus élevée des cotes O&E sur l’ensemble des conduites d'eaux pluviales.,
EPL_CIS,EPL_CIS inspecté max. (EPL_CIS) (Numérique),La plus élevée des cotes CIS sur l’ensemble des conduites d'eaux pluviales.,
EPL_HIERAR,EPL_Hiéra. EPL CIS inspecté max (EPL_HIERAR) (Liste de valeur),Hiérarchie de la conduite d’égout ayant la CIS maximale.,
EPL_JURIDI,EPL_Juri. EPL CIS inspecté max (EPL_JURIDI) (Liste de valeur),Juridiction de la conduite d’égout ayant la CIS maximale.,
EPL_LNG_CD,EPL_Longueur totale de conduite (m) (EPL_LNG_CD) (Numérique),Sommation des longueurs de toutes les conduites d'eaux pluviales dans le tronçon de rue.,
EPL_NB_MTM,"EPL_Nb conduite Statut ""Mauvais"" ou ""Très mauvais"" (EPL_NB_MTM) (Numérique)",Nombre de conduite d'eaux pluviales dans le tronçon de rue ayant un statut mauvais ou très mauvais.,
CH_SUPERFI,CH_Superficie chaussée (m²) (CH_SUPERFI) (Numérique),Superficie de la chaussée en en mètre carré.,
